counter,region,service,endpoint,rps
1,us-east-1,slateingress,slateingress@GET@/hotels,105
1,us-east-1,slateingress,slateingress@POST@/user,104
1,us-east-1,slateingress,slateingress@GET@/recommendations,109
1,us-east-1,slateingress,slateingress@POST@/reservation,105
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,113
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,109
1,us-east-1,frontend,frontend@POST@/user,100
1,us-east-1,frontend,frontend@GET@/recommendations,109
1,us-east-1,frontend,frontend@POST@/reservation,107
1,us-east-1,frontend,frontend@GET@/hotels,105
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,110
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,207
1,us-east-1,user,user@POST@/user.User/CheckUser,215
1,us-east-1,search,search@POST@/search.Search/Nearby,110
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,100
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,102
1,us-central-1,slateingress,slateingress@POST@/user,108
1,us-central-1,slateingress,slateingress@GET@/recommendations,116
1,us-central-1,slateingress,slateingress@POST@/reservation,112
1,us-central-1,slateingress,slateingress@GET@/hotels,103
1,us-central-1,user,user@POST@/user.User/CheckUser,211
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,104
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,111
1,us-central-1,search,search@POST@/search.Search/Nearby,103
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,221
1,us-central-1,frontend,frontend@GET@/recommendations,110
1,us-central-1,frontend,frontend@POST@/reservation,117
1,us-central-1,frontend,frontend@POST@/user,105
1,us-central-1,frontend,frontend@GET@/hotels,105
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,109
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,109
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,109
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,247
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,241
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,537
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,243
1,us-west-1,search,search@POST@/search.Search/Nearby,239
1,us-west-1,frontend,frontend@POST@/user,890
1,us-west-1,frontend,frontend@GET@/recommendations,550
1,us-west-1,frontend,frontend@POST@/reservation,233
1,us-west-1,frontend,frontend@GET@/hotels,242
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,764
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,244
1,us-west-1,slateingress,slateingress@GET@/hotels,237
1,us-west-1,slateingress,slateingress@POST@/user,820
1,us-west-1,slateingress,slateingress@GET@/recommendations,515
1,us-west-1,slateingress,slateingress@POST@/reservation,245
1,us-west-1,user,user@POST@/user.User/CheckUser,1159
1,us-south-1,search,search@POST@/search.Search/Nearby,118
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,214
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,114
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,95
1,us-south-1,slateingress,slateingress@GET@/recommendations,108
1,us-south-1,slateingress,slateingress@POST@/reservation,112
1,us-south-1,slateingress,slateingress@POST@/user,106
1,us-south-1,slateingress,slateingress@GET@/hotels,95
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,109
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,107
1,us-south-1,frontend,frontend@POST@/user,114
1,us-south-1,frontend,frontend@GET@/recommendations,111
1,us-south-1,frontend,frontend@POST@/reservation,104
1,us-south-1,frontend,frontend@GET@/hotels,80
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,100
1,us-south-1,user,user@POST@/user.User/CheckUser,207
2,us-east-1,slateingress,slateingress@GET@/hotels,97
2,us-east-1,slateingress,slateingress@POST@/user,113
2,us-east-1,slateingress,slateingress@GET@/recommendations,102
2,us-east-1,slateingress,slateingress@POST@/reservation,103
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,99
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,102
2,us-east-1,frontend,frontend@POST@/user,113
2,us-east-1,frontend,frontend@GET@/recommendations,106
2,us-east-1,frontend,frontend@POST@/reservation,106
2,us-east-1,frontend,frontend@GET@/hotels,104
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,102
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,222
2,us-east-1,user,user@POST@/user.User/CheckUser,204
2,us-east-1,search,search@POST@/search.Search/Nearby,104
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,109
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,106
2,us-central-1,slateingress,slateingress@POST@/user,100
2,us-central-1,slateingress,slateingress@GET@/recommendations,103
2,us-central-1,slateingress,slateingress@POST@/reservation,112
2,us-central-1,slateingress,slateingress@GET@/hotels,110
2,us-central-1,user,user@POST@/user.User/CheckUser,208
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,103
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,106
2,us-central-1,search,search@POST@/search.Search/Nearby,107
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,208
2,us-central-1,frontend,frontend@GET@/recommendations,104
2,us-central-1,frontend,frontend@POST@/reservation,107
2,us-central-1,frontend,frontend@POST@/user,101
2,us-central-1,frontend,frontend@GET@/hotels,106
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,107
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,102
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,109
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,201
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,214
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,494
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,231
2,us-west-1,search,search@POST@/search.Search/Nearby,228
2,us-west-1,frontend,frontend@POST@/user,790
2,us-west-1,frontend,frontend@GET@/recommendations,519
2,us-west-1,frontend,frontend@POST@/reservation,234
2,us-west-1,frontend,frontend@GET@/hotels,208
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,727
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,216
2,us-west-1,slateingress,slateingress@GET@/hotels,226
2,us-west-1,slateingress,slateingress@POST@/user,791
2,us-west-1,slateingress,slateingress@GET@/recommendations,496
2,us-west-1,slateingress,slateingress@POST@/reservation,202
2,us-west-1,user,user@POST@/user.User/CheckUser,995
2,us-south-1,search,search@POST@/search.Search/Nearby,107
2,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,204
2,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,107
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,102
2,us-south-1,slateingress,slateingress@GET@/recommendations,104
2,us-south-1,slateingress,slateingress@POST@/reservation,107
2,us-south-1,slateingress,slateingress@POST@/user,106
2,us-south-1,slateingress,slateingress@GET@/hotels,105
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
2,us-south-1,frontend,frontend@POST@/user,107
2,us-south-1,frontend,frontend@GET@/recommendations,109
2,us-south-1,frontend,frontend@POST@/reservation,107
2,us-south-1,frontend,frontend@GET@/hotels,105
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,106
2,us-south-1,user,user@POST@/user.User/CheckUser,208
3,us-east-1,slateingress,slateingress@GET@/hotels,117
3,us-east-1,slateingress,slateingress@POST@/user,119
3,us-east-1,slateingress,slateingress@GET@/recommendations,117
3,us-east-1,slateingress,slateingress@POST@/reservation,115
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,117
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,116
3,us-east-1,frontend,frontend@POST@/user,107
3,us-east-1,frontend,frontend@GET@/recommendations,101
3,us-east-1,frontend,frontend@POST@/reservation,105
3,us-east-1,frontend,frontend@GET@/hotels,105
3,us-east-1,rate,rate@POST@/rate.Rate/GetRates,106
3,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,227
3,us-east-1,user,user@POST@/user.User/CheckUser,218
3,us-east-1,search,search@POST@/search.Search/Nearby,106
3,us-east-1,geo,geo@POST@/geo.Geo/Nearby,97
3,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,101
3,us-central-1,slateingress,slateingress@POST@/user,111
3,us-central-1,slateingress,slateingress@GET@/recommendations,97
3,us-central-1,slateingress,slateingress@POST@/reservation,98
3,us-central-1,slateingress,slateingress@GET@/hotels,97
3,us-central-1,user,user@POST@/user.User/CheckUser,209
3,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,106
3,us-central-1,rate,rate@POST@/rate.Rate/GetRates,102
3,us-central-1,search,search@POST@/search.Search/Nearby,107
3,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,215
3,us-central-1,frontend,frontend@GET@/recommendations,110
3,us-central-1,frontend,frontend@POST@/reservation,103
3,us-central-1,frontend,frontend@POST@/user,109
3,us-central-1,frontend,frontend@GET@/hotels,115
3,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,100
3,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,102
3,us-central-1,geo,geo@POST@/geo.Geo/Nearby,98
3,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,202
3,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,198
3,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,493
3,us-west-1,rate,rate@POST@/rate.Rate/GetRates,187
3,us-west-1,search,search@POST@/search.Search/Nearby,201
3,us-west-1,frontend,frontend@POST@/user,785
3,us-west-1,frontend,frontend@GET@/recommendations,477
3,us-west-1,frontend,frontend@POST@/reservation,190
3,us-west-1,frontend,frontend@GET@/hotels,205
3,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,673
3,us-west-1,geo,geo@POST@/geo.Geo/Nearby,206
3,us-west-1,slateingress,slateingress@GET@/hotels,188
3,us-west-1,slateingress,slateingress@POST@/user,802
3,us-west-1,slateingress,slateingress@GET@/recommendations,479
3,us-west-1,slateingress,slateingress@POST@/reservation,193
3,us-west-1,user,user@POST@/user.User/CheckUser,980
3,us-south-1,search,search@POST@/search.Search/Nearby,102
