Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65c85f5b6c-dt45q,consul,11,35
default,consul-65c85f5b6c-dt45q,istio-proxy,3,92
default,frontend-us-central-1-7f4bd6b88-f7ldl,hotel-reserv-frontend,142,8
default,frontend-us-central-1-7f4bd6b88-f7ldl,istio-proxy,298,95
default,frontend-us-central-1-7f4bd6b88-l8c9t,hotel-reserv-frontend,74,8
default,frontend-us-central-1-7f4bd6b88-l8c9t,istio-proxy,422,95
default,frontend-us-east-1-77b6c9ff68-8xn5h,hotel-reserv-frontend,131,8
default,frontend-us-east-1-77b6c9ff68-8xn5h,istio-proxy,229,92
default,frontend-us-east-1-77b6c9ff68-c8jxv,hotel-reserv-frontend,23,7
default,frontend-us-east-1-77b6c9ff68-c8jxv,istio-proxy,490,95
default,frontend-us-south-1-84f74c64f9-2w72j,hotel-reserv-frontend,114,8
default,frontend-us-south-1-84f74c64f9-2w72j,istio-proxy,198,94
default,frontend-us-south-1-84f74c64f9-rzjdp,hotel-reserv-frontend,162,8
default,frontend-us-south-1-84f74c64f9-rzjdp,istio-proxy,82,93
default,frontend-us-west-1-dd68d766f-hx9cb,hotel-reserv-frontend,124,11
default,frontend-us-west-1-dd68d766f-hx9cb,istio-proxy,927,103
default,frontend-us-west-1-dd68d766f-vslvk,hotel-reserv-frontend,535,12
default,frontend-us-west-1-dd68d766f-vslvk,istio-proxy,72,98
default,geo-us-central-1-6fbbb57fd8-l5xzh,hotel-reserv-geo,32,8
default,geo-us-central-1-6fbbb57fd8-l5xzh,istio-proxy,44,92
default,geo-us-central-1-6fbbb57fd8-rh7p9,hotel-reserv-geo,17,8
default,geo-us-central-1-6fbbb57fd8-rh7p9,istio-proxy,68,93
default,geo-us-east-1-77fb698bd6-8ftcx,hotel-reserv-geo,15,8
default,geo-us-east-1-77fb698bd6-8ftcx,istio-proxy,43,94
default,geo-us-east-1-77fb698bd6-mpvsq,hotel-reserv-geo,26,8
default,geo-us-east-1-77fb698bd6-mpvsq,istio-proxy,27,92
default,geo-us-south-1-78578fb444-jrfs7,hotel-reserv-geo,29,8
default,geo-us-south-1-78578fb444-jrfs7,istio-proxy,18,93
default,geo-us-south-1-78578fb444-z47m9,hotel-reserv-geo,11,8
default,geo-us-south-1-78578fb444-z47m9,istio-proxy,33,94
default,geo-us-west-1-c747b9497-9rlpr,hotel-reserv-geo,51,8
default,geo-us-west-1-c747b9497-9rlpr,istio-proxy,67,92
default,geo-us-west-1-c747b9497-h8vq2,hotel-reserv-geo,46,8
default,geo-us-west-1-c747b9497-h8vq2,istio-proxy,87,92
default,jaeger-98db78677-qcnhv,hotel-reserv-jaeger,192,96
default,jaeger-98db78677-qcnhv,istio-proxy,4,93
default,memcached-profile-us-central-1-84f4dd4794-2n99x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-84f4dd4794-2n99x,istio-proxy,5,91
default,memcached-profile-us-central-1-84f4dd4794-cg6mp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-84f4dd4794-cg6mp,istio-proxy,5,93
default,memcached-profile-us-east-1-cb5c55ddd-j7dg2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-cb5c55ddd-j7dg2,istio-proxy,4,94
default,memcached-profile-us-east-1-cb5c55ddd-q6m25,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-cb5c55ddd-q6m25,istio-proxy,4,93
default,memcached-profile-us-south-1-79d58bf9f4-4fzpv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-79d58bf9f4-4fzpv,istio-proxy,4,91
default,memcached-profile-us-south-1-79d58bf9f4-6csh9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-79d58bf9f4-6csh9,istio-proxy,4,92
default,memcached-profile-us-west-1-56c8f8c457-kdsmw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-56c8f8c457-kdsmw,istio-proxy,5,92
default,memcached-profile-us-west-1-56c8f8c457-nfjpx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-56c8f8c457-nfjpx,istio-proxy,5,91
default,memcached-rate-us-central-1-7bccc5c4b5-5ndfs,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7bccc5c4b5-5ndfs,istio-proxy,4,91
default,memcached-rate-us-central-1-7bccc5c4b5-p4js9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7bccc5c4b5-p4js9,istio-proxy,4,91
default,memcached-rate-us-east-1-547989c6d7-9bq25,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547989c6d7-9bq25,istio-proxy,4,93
default,memcached-rate-us-east-1-547989c6d7-ljbkj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547989c6d7-ljbkj,istio-proxy,4,91
default,memcached-rate-us-south-1-559d544f65-hx546,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-559d544f65-hx546,istio-proxy,5,92
default,memcached-rate-us-south-1-559d544f65-n64kx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-559d544f65-n64kx,istio-proxy,4,92
default,memcached-rate-us-west-1-9cdd7c65f-9g6bq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-9cdd7c65f-9g6bq,istio-proxy,5,94
default,memcached-rate-us-west-1-9cdd7c65f-hphlx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-9cdd7c65f-hphlx,istio-proxy,5,91
default,memcached-reserve-us-central-1-7594cf949b-6spfv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7594cf949b-6spfv,istio-proxy,4,93
default,memcached-reserve-us-central-1-7594cf949b-rqn7x,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7594cf949b-rqn7x,istio-proxy,5,93
default,memcached-reserve-us-east-1-bf8bd6b9b-27sqw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-bf8bd6b9b-27sqw,istio-proxy,4,91
default,memcached-reserve-us-east-1-bf8bd6b9b-s7rbm,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-bf8bd6b9b-s7rbm,istio-proxy,4,94
default,memcached-reserve-us-south-1-c76cd9c88-7zbrn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-c76cd9c88-7zbrn,istio-proxy,5,91
default,memcached-reserve-us-south-1-c76cd9c88-w4vkr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-c76cd9c88-w4vkr,istio-proxy,5,93
default,memcached-reserve-us-west-1-5f97b9b68-29kzg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-5f97b9b68-29kzg,istio-proxy,5,92
default,memcached-reserve-us-west-1-5f97b9b68-b852j,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-5f97b9b68-b852j,istio-proxy,4,93
default,mongodb-geo-us-central-1-6f55844747-5fzc4,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-6f55844747-5fzc4,istio-proxy,4,92
default,mongodb-geo-us-east-1-58454bcc74-nhd98,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-58454bcc74-nhd98,istio-proxy,4,91
default,mongodb-geo-us-south-1-545db4b6d6-645gc,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-south-1-545db4b6d6-645gc,istio-proxy,4,93
default,mongodb-geo-us-west-1-57946d759d-prlg9,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-57946d759d-prlg9,istio-proxy,6,91
default,mongodb-profile-us-central-1-78879fbc5b-57r7p,hotel-reserv-profile-mongo,61,166
default,mongodb-profile-us-central-1-78879fbc5b-57r7p,istio-proxy,8,94
default,mongodb-profile-us-east-1-cdfcd6758-n2b6s,hotel-reserv-profile-mongo,72,162
default,mongodb-profile-us-east-1-cdfcd6758-n2b6s,istio-proxy,23,91
default,mongodb-profile-us-south-1-598b8cc8d6-px6xd,hotel-reserv-profile-mongo,49,162
default,mongodb-profile-us-south-1-598b8cc8d6-px6xd,istio-proxy,33,92
default,mongodb-profile-us-west-1-5668c59b86-mj74n,hotel-reserv-profile-mongo,112,167
default,mongodb-profile-us-west-1-5668c59b86-mj74n,istio-proxy,206,93
default,mongodb-rate-us-central-1-5dbf46549b-l7gdv,hotel-reserv-rate-mongo,166,159
default,mongodb-rate-us-central-1-5dbf46549b-l7gdv,istio-proxy,9,93
default,mongodb-rate-us-east-1-59c87bc78-w4pnm,hotel-reserv-rate-mongo,156,162
default,mongodb-rate-us-east-1-59c87bc78-w4pnm,istio-proxy,13,91
default,mongodb-rate-us-south-1-6b5d594576-55wdp,hotel-reserv-rate-mongo,153,160
default,mongodb-rate-us-south-1-6b5d594576-55wdp,istio-proxy,17,91
default,mongodb-rate-us-west-1-5958c9c8cd-jqrql,hotel-reserv-rate-mongo,431,161
default,mongodb-rate-us-west-1-5958c9c8cd-jqrql,istio-proxy,13,91
default,mongodb-recommendation-us-central-1-7dbb9f59-8q2lf,hotel-reserv-recommendation-mongo,4,157
default,mongodb-recommendation-us-central-1-7dbb9f59-8q2lf,istio-proxy,5,93
default,mongodb-recommendation-us-east-1-577b4b59c8-fcc48,hotel-reserv-recommendation-mongo,4,166
default,mongodb-recommendation-us-east-1-577b4b59c8-fcc48,istio-proxy,4,96
default,mongodb-recommendation-us-south-1-85b6f8b686-ddf6j,hotel-reserv-recommendation-mongo,23,163
default,mongodb-recommendation-us-south-1-85b6f8b686-ddf6j,istio-proxy,8,92
default,mongodb-recommendation-us-west-1-58b5f78698-2sjzg,hotel-reserv-recommendation-mongo,5,162
default,mongodb-recommendation-us-west-1-58b5f78698-2sjzg,istio-proxy,5,93
default,mongodb-reservation-us-central-1-7b96dd6d64-nwl66,hotel-reserv-reservation-mongo,4,162
default,mongodb-reservation-us-central-1-7b96dd6d64-nwl66,istio-proxy,5,93
