Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65c85f5b6c-dt45q,consul,10,35
default,consul-65c85f5b6c-dt45q,istio-proxy,3,92
default,frontend-us-central-1-7f4bd6b88-f7ldl,hotel-reserv-frontend,184,8
default,frontend-us-central-1-7f4bd6b88-f7ldl,istio-proxy,523,95
default,frontend-us-central-1-7f4bd6b88-l8c9t,hotel-reserv-frontend,212,8
default,frontend-us-central-1-7f4bd6b88-l8c9t,istio-proxy,427,96
default,frontend-us-east-1-77b6c9ff68-8xn5h,hotel-reserv-frontend,197,8
default,frontend-us-east-1-77b6c9ff68-8xn5h,istio-proxy,474,92
default,frontend-us-east-1-77b6c9ff68-c8jxv,hotel-reserv-frontend,196,8
default,frontend-us-east-1-77b6c9ff68-c8jxv,istio-proxy,490,95
default,frontend-us-south-1-84f74c64f9-2w72j,hotel-reserv-frontend,198,8
default,frontend-us-south-1-84f74c64f9-2w72j,istio-proxy,473,94
default,frontend-us-south-1-84f74c64f9-rzjdp,hotel-reserv-frontend,204,9
default,frontend-us-south-1-84f74c64f9-rzjdp,istio-proxy,492,94
default,frontend-us-west-1-dd68d766f-hx9cb,hotel-reserv-frontend,457,38
default,frontend-us-west-1-dd68d766f-hx9cb,istio-proxy,1547,148
default,frontend-us-west-1-dd68d766f-vslvk,hotel-reserv-frontend,684,12
default,frontend-us-west-1-dd68d766f-vslvk,istio-proxy,1845,106
default,geo-us-central-1-6fbbb57fd8-l5xzh,hotel-reserv-geo,32,8
default,geo-us-central-1-6fbbb57fd8-l5xzh,istio-proxy,66,92
default,geo-us-central-1-6fbbb57fd8-rh7p9,hotel-reserv-geo,35,8
default,geo-us-central-1-6fbbb57fd8-rh7p9,istio-proxy,68,93
default,geo-us-east-1-77fb698bd6-8ftcx,hotel-reserv-geo,15,8
default,geo-us-east-1-77fb698bd6-8ftcx,istio-proxy,55,94
default,geo-us-east-1-77fb698bd6-mpvsq,hotel-reserv-geo,26,8
default,geo-us-east-1-77fb698bd6-mpvsq,istio-proxy,52,92
default,geo-us-south-1-78578fb444-jrfs7,hotel-reserv-geo,27,8
default,geo-us-south-1-78578fb444-jrfs7,istio-proxy,54,93
default,geo-us-south-1-78578fb444-z47m9,hotel-reserv-geo,27,8
default,geo-us-south-1-78578fb444-z47m9,istio-proxy,52,94
default,geo-us-west-1-c747b9497-9rlpr,hotel-reserv-geo,25,8
default,geo-us-west-1-c747b9497-9rlpr,istio-proxy,86,92
default,geo-us-west-1-c747b9497-h8vq2,hotel-reserv-geo,48,8
default,geo-us-west-1-c747b9497-h8vq2,istio-proxy,68,92
default,jaeger-98db78677-qcnhv,hotel-reserv-jaeger,231,224
default,jaeger-98db78677-qcnhv,istio-proxy,3,93
default,memcached-profile-us-central-1-84f4dd4794-2n99x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-84f4dd4794-2n99x,istio-proxy,4,91
default,memcached-profile-us-central-1-84f4dd4794-cg6mp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-84f4dd4794-cg6mp,istio-proxy,4,93
default,memcached-profile-us-east-1-cb5c55ddd-j7dg2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-cb5c55ddd-j7dg2,istio-proxy,4,94
default,memcached-profile-us-east-1-cb5c55ddd-q6m25,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-cb5c55ddd-q6m25,istio-proxy,4,93
default,memcached-profile-us-south-1-79d58bf9f4-4fzpv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-79d58bf9f4-4fzpv,istio-proxy,4,91
default,memcached-profile-us-south-1-79d58bf9f4-6csh9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-79d58bf9f4-6csh9,istio-proxy,3,92
default,memcached-profile-us-west-1-56c8f8c457-kdsmw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-56c8f8c457-kdsmw,istio-proxy,4,92
default,memcached-profile-us-west-1-56c8f8c457-nfjpx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-56c8f8c457-nfjpx,istio-proxy,4,91
default,memcached-rate-us-central-1-7bccc5c4b5-5ndfs,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7bccc5c4b5-5ndfs,istio-proxy,4,91
default,memcached-rate-us-central-1-7bccc5c4b5-p4js9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7bccc5c4b5-p4js9,istio-proxy,4,91
default,memcached-rate-us-east-1-547989c6d7-9bq25,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547989c6d7-9bq25,istio-proxy,3,93
default,memcached-rate-us-east-1-547989c6d7-ljbkj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547989c6d7-ljbkj,istio-proxy,3,91
default,memcached-rate-us-south-1-559d544f65-hx546,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-559d544f65-hx546,istio-proxy,4,92
default,memcached-rate-us-south-1-559d544f65-n64kx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-559d544f65-n64kx,istio-proxy,4,92
default,memcached-rate-us-west-1-9cdd7c65f-9g6bq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-9cdd7c65f-9g6bq,istio-proxy,4,95
default,memcached-rate-us-west-1-9cdd7c65f-hphlx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-9cdd7c65f-hphlx,istio-proxy,4,91
default,memcached-reserve-us-central-1-7594cf949b-6spfv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7594cf949b-6spfv,istio-proxy,4,93
