Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65c85f5b6c-dt45q,consul,11,35
default,consul-65c85f5b6c-dt45q,istio-proxy,8,92
default,frontend-us-central-1-7f4bd6b88-f7ldl,hotel-reserv-frontend,0,3
default,frontend-us-central-1-7f4bd6b88-f7ldl,istio-proxy,13,93
default,frontend-us-central-1-7f4bd6b88-l8c9t,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7f4bd6b88-l8c9t,istio-proxy,9,93
default,frontend-us-east-1-77b6c9ff68-8xn5h,hotel-reserv-frontend,0,3
default,frontend-us-east-1-77b6c9ff68-8xn5h,istio-proxy,10,91
default,frontend-us-east-1-77b6c9ff68-c8jxv,hotel-reserv-frontend,0,3
default,frontend-us-east-1-77b6c9ff68-c8jxv,istio-proxy,10,93
default,frontend-us-south-1-84f74c64f9-2w72j,hotel-reserv-frontend,0,4
default,frontend-us-south-1-84f74c64f9-2w72j,istio-proxy,8,92
default,frontend-us-south-1-84f74c64f9-rzjdp,hotel-reserv-frontend,0,3
default,frontend-us-south-1-84f74c64f9-rzjdp,istio-proxy,10,91
default,frontend-us-west-1-dd68d766f-hx9cb,hotel-reserv-frontend,0,3
default,frontend-us-west-1-dd68d766f-hx9cb,istio-proxy,7,93
default,frontend-us-west-1-dd68d766f-vslvk,hotel-reserv-frontend,0,4
default,frontend-us-west-1-dd68d766f-vslvk,istio-proxy,8,89
default,geo-us-central-1-6fbbb57fd8-l5xzh,hotel-reserv-geo,0,5
default,geo-us-central-1-6fbbb57fd8-l5xzh,istio-proxy,12,91
default,geo-us-central-1-6fbbb57fd8-rh7p9,hotel-reserv-geo,0,10
default,geo-us-central-1-6fbbb57fd8-rh7p9,istio-proxy,10,92
default,geo-us-east-1-77fb698bd6-8ftcx,hotel-reserv-geo,0,7
default,geo-us-east-1-77fb698bd6-8ftcx,istio-proxy,11,93
default,geo-us-east-1-77fb698bd6-mpvsq,hotel-reserv-geo,0,6
default,geo-us-east-1-77fb698bd6-mpvsq,istio-proxy,11,91
default,geo-us-south-1-78578fb444-jrfs7,hotel-reserv-geo,0,5
default,geo-us-south-1-78578fb444-jrfs7,istio-proxy,8,93
default,geo-us-south-1-78578fb444-z47m9,hotel-reserv-geo,0,6
default,geo-us-south-1-78578fb444-z47m9,istio-proxy,9,93
default,geo-us-west-1-c747b9497-9rlpr,hotel-reserv-geo,0,6
default,geo-us-west-1-c747b9497-9rlpr,istio-proxy,11,91
default,geo-us-west-1-c747b9497-h8vq2,hotel-reserv-geo,0,10
default,geo-us-west-1-c747b9497-h8vq2,istio-proxy,9,91
default,jaeger-98db78677-qcnhv,hotel-reserv-jaeger,0,10
default,jaeger-98db78677-qcnhv,istio-proxy,9,93
default,memcached-profile-us-central-1-84f4dd4794-2n99x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-84f4dd4794-2n99x,istio-proxy,11,91
default,memcached-profile-us-central-1-84f4dd4794-cg6mp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-84f4dd4794-cg6mp,istio-proxy,10,93
default,memcached-profile-us-east-1-cb5c55ddd-j7dg2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-cb5c55ddd-j7dg2,istio-proxy,10,94
default,memcached-profile-us-east-1-cb5c55ddd-q6m25,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-cb5c55ddd-q6m25,istio-proxy,10,93
default,memcached-profile-us-south-1-79d58bf9f4-4fzpv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-79d58bf9f4-4fzpv,istio-proxy,9,91
default,memcached-profile-us-south-1-79d58bf9f4-6csh9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-79d58bf9f4-6csh9,istio-proxy,11,92
default,memcached-profile-us-west-1-56c8f8c457-kdsmw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-56c8f8c457-kdsmw,istio-proxy,10,92
default,memcached-profile-us-west-1-56c8f8c457-nfjpx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-56c8f8c457-nfjpx,istio-proxy,10,91
default,memcached-rate-us-central-1-7bccc5c4b5-5ndfs,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7bccc5c4b5-5ndfs,istio-proxy,10,91
default,memcached-rate-us-central-1-7bccc5c4b5-p4js9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7bccc5c4b5-p4js9,istio-proxy,11,91
default,memcached-rate-us-east-1-547989c6d7-9bq25,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547989c6d7-9bq25,istio-proxy,11,93
default,memcached-rate-us-east-1-547989c6d7-ljbkj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-547989c6d7-ljbkj,istio-proxy,12,91
default,memcached-rate-us-south-1-559d544f65-hx546,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-559d544f65-hx546,istio-proxy,10,92
default,memcached-rate-us-south-1-559d544f65-n64kx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-559d544f65-n64kx,istio-proxy,10,93
default,memcached-rate-us-west-1-9cdd7c65f-9g6bq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-9cdd7c65f-9g6bq,istio-proxy,10,95
default,memcached-rate-us-west-1-9cdd7c65f-hphlx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-9cdd7c65f-hphlx,istio-proxy,9,91
default,memcached-reserve-us-central-1-7594cf949b-6spfv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7594cf949b-6spfv,istio-proxy,10,93
default,memcached-reserve-us-central-1-7594cf949b-rqn7x,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-7594cf949b-rqn7x,istio-proxy,11,93
default,memcached-reserve-us-east-1-bf8bd6b9b-27sqw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-bf8bd6b9b-27sqw,istio-proxy,12,91
default,memcached-reserve-us-east-1-bf8bd6b9b-s7rbm,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-bf8bd6b9b-s7rbm,istio-proxy,10,94
default,memcached-reserve-us-south-1-c76cd9c88-7zbrn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-c76cd9c88-7zbrn,istio-proxy,10,91
default,memcached-reserve-us-south-1-c76cd9c88-w4vkr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-c76cd9c88-w4vkr,istio-proxy,11,93
default,memcached-reserve-us-west-1-5f97b9b68-29kzg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-5f97b9b68-29kzg,istio-proxy,11,92
default,memcached-reserve-us-west-1-5f97b9b68-b852j,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-5f97b9b68-b852j,istio-proxy,9,93
default,mongodb-geo-us-central-1-6f55844747-5fzc4,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-central-1-6f55844747-5fzc4,istio-proxy,9,92
default,mongodb-geo-us-east-1-58454bcc74-nhd98,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-east-1-58454bcc74-nhd98,istio-proxy,12,91
default,mongodb-geo-us-south-1-545db4b6d6-645gc,hotel-reserv-geo-mongo,3,158
default,mongodb-geo-us-south-1-545db4b6d6-645gc,istio-proxy,10,93
default,mongodb-geo-us-west-1-57946d759d-prlg9,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-west-1-57946d759d-prlg9,istio-proxy,10,91
default,mongodb-profile-us-central-1-78879fbc5b-57r7p,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-central-1-78879fbc5b-57r7p,istio-proxy,12,94
default,mongodb-profile-us-east-1-cdfcd6758-n2b6s,hotel-reserv-profile-mongo,4,157
default,mongodb-profile-us-east-1-cdfcd6758-n2b6s,istio-proxy,10,91
default,mongodb-profile-us-south-1-598b8cc8d6-px6xd,hotel-reserv-profile-mongo,17,157
default,mongodb-profile-us-south-1-598b8cc8d6-px6xd,istio-proxy,12,92
default,mongodb-profile-us-west-1-5668c59b86-mj74n,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-west-1-5668c59b86-mj74n,istio-proxy,11,93
default,mongodb-rate-us-central-1-5dbf46549b-l7gdv,hotel-reserv-rate-mongo,39,154
default,mongodb-rate-us-central-1-5dbf46549b-l7gdv,istio-proxy,14,93
default,mongodb-rate-us-east-1-59c87bc78-w4pnm,hotel-reserv-rate-mongo,15,161
default,mongodb-rate-us-east-1-59c87bc78-w4pnm,istio-proxy,11,91
default,mongodb-rate-us-south-1-6b5d594576-55wdp,hotel-reserv-rate-mongo,46,157
default,mongodb-rate-us-south-1-6b5d594576-55wdp,istio-proxy,14,91
default,mongodb-rate-us-west-1-5958c9c8cd-jqrql,hotel-reserv-rate-mongo,26,158
default,mongodb-rate-us-west-1-5958c9c8cd-jqrql,istio-proxy,15,91
default,mongodb-recommendation-us-central-1-7dbb9f59-8q2lf,hotel-reserv-recommendation-mongo,23,157
default,mongodb-recommendation-us-central-1-7dbb9f59-8q2lf,istio-proxy,10,92
default,mongodb-recommendation-us-east-1-577b4b59c8-fcc48,hotel-reserv-recommendation-mongo,14,166
default,mongodb-recommendation-us-east-1-577b4b59c8-fcc48,istio-proxy,9,96
default,mongodb-recommendation-us-south-1-85b6f8b686-ddf6j,hotel-reserv-recommendation-mongo,17,147
default,mongodb-recommendation-us-south-1-85b6f8b686-ddf6j,istio-proxy,17,91
default,mongodb-recommendation-us-west-1-58b5f78698-2sjzg,hotel-reserv-recommendation-mongo,3,162
default,mongodb-recommendation-us-west-1-58b5f78698-2sjzg,istio-proxy,15,93
default,mongodb-reservation-us-central-1-7b96dd6d64-nwl66,hotel-reserv-reservation-mongo,5,161
default,mongodb-reservation-us-central-1-7b96dd6d64-nwl66,istio-proxy,11,93
default,mongodb-reservation-us-east-1-7d8bbbbd67-cq4hc,hotel-reserv-reservation-mongo,5,161
default,mongodb-reservation-us-east-1-7d8bbbbd67-cq4hc,istio-proxy,9,92
default,mongodb-reservation-us-south-1-6c8c9b584f-zh8wz,hotel-reserv-reservation-mongo,1,144
default,mongodb-reservation-us-south-1-6c8c9b584f-zh8wz,istio-proxy,14,93
default,mongodb-reservation-us-west-1-6f69f645d7-prfcv,hotel-reserv-reservation-mongo,26,157
default,mongodb-reservation-us-west-1-6f69f645d7-prfcv,istio-proxy,10,93
default,mongodb-user-us-central-1-55675b9b9-skzxc,hotel-reserv-user-mongo,43,191
default,mongodb-user-us-central-1-55675b9b9-skzxc,istio-proxy,18,90
default,mongodb-user-us-east-1-5586954dbc-bbnfk,hotel-reserv-user-mongo,34,145
default,mongodb-user-us-east-1-5586954dbc-bbnfk,istio-proxy,27,92
default,mongodb-user-us-south-1-77fc7c8d96-djh8d,hotel-reserv-user-mongo,19,147
default,mongodb-user-us-south-1-77fc7c8d96-djh8d,istio-proxy,19,91
default,mongodb-user-us-west-1-7db6cd98cb-b5mmk,hotel-reserv-user-mongo,35,144
default,mongodb-user-us-west-1-7db6cd98cb-b5mmk,istio-proxy,17,94
default,profile-us-central-1-66bd76bfc6-5bcts,hotel-reserv-profile,0,5
default,profile-us-central-1-66bd76bfc6-5bcts,istio-proxy,9,92
default,profile-us-central-1-66bd76bfc6-x7nsn,hotel-reserv-profile,0,5
default,profile-us-central-1-66bd76bfc6-x7nsn,istio-proxy,12,91
default,profile-us-east-1-789d5477c8-2l86n,hotel-reserv-profile,0,5
default,profile-us-east-1-789d5477c8-2l86n,istio-proxy,10,91
default,profile-us-east-1-789d5477c8-x6vrb,hotel-reserv-profile,0,5
default,profile-us-east-1-789d5477c8-x6vrb,istio-proxy,11,91
default,profile-us-south-1-7587fd7bd7-b5889,hotel-reserv-profile,0,5
default,profile-us-south-1-7587fd7bd7-b5889,istio-proxy,11,94
default,profile-us-south-1-7587fd7bd7-nrql5,hotel-reserv-profile,0,5
default,profile-us-south-1-7587fd7bd7-nrql5,istio-proxy,10,91
default,profile-us-west-1-cdd685755-pscvc,hotel-reserv-profile,0,5
default,profile-us-west-1-cdd685755-pscvc,istio-proxy,10,91
default,profile-us-west-1-cdd685755-wcv8j,hotel-reserv-profile,0,3
default,profile-us-west-1-cdd685755-wcv8j,istio-proxy,18,93
default,rate-us-central-1-86cbc798d7-n2l2j,hotel-reserv-rate,0,4
default,rate-us-central-1-86cbc798d7-n2l2j,istio-proxy,10,92
default,rate-us-central-1-86cbc798d7-n5w5t,hotel-reserv-rate,0,3
default,rate-us-central-1-86cbc798d7-n5w5t,istio-proxy,11,93
default,rate-us-east-1-9975499cc-4c9fk,hotel-reserv-rate,0,3
default,rate-us-east-1-9975499cc-4c9fk,istio-proxy,10,91
default,rate-us-east-1-9975499cc-j58mv,hotel-reserv-rate,0,3
default,rate-us-east-1-9975499cc-j58mv,istio-proxy,10,93
default,rate-us-south-1-b7ddc899f-rzrrr,hotel-reserv-rate,0,3
default,rate-us-south-1-b7ddc899f-rzrrr,istio-proxy,11,93
default,rate-us-south-1-b7ddc899f-wbc46,hotel-reserv-rate,0,4
default,rate-us-south-1-b7ddc899f-wbc46,istio-proxy,10,92
default,rate-us-west-1-55fd74bf97-b2vwt,hotel-reserv-rate,1,3
default,rate-us-west-1-55fd74bf97-b2vwt,istio-proxy,13,92
default,rate-us-west-1-55fd74bf97-bflx7,hotel-reserv-rate,0,4
default,rate-us-west-1-55fd74bf97-bflx7,istio-proxy,9,92
default,recommendation-us-central-1-f84c5b768-jrfvp,hotel-reserv-recommendation,0,14
default,recommendation-us-central-1-f84c5b768-jrfvp,istio-proxy,11,93
default,recommendation-us-central-1-f84c5b768-zxxw6,hotel-reserv-recommendation,0,15
default,recommendation-us-central-1-f84c5b768-zxxw6,istio-proxy,12,91
default,recommendation-us-east-1-8c786b5b6-fzbp5,hotel-reserv-recommendation,0,15
default,recommendation-us-east-1-8c786b5b6-fzbp5,istio-proxy,13,90
default,recommendation-us-east-1-8c786b5b6-w6dkn,hotel-reserv-recommendation,0,15
default,recommendation-us-east-1-8c786b5b6-w6dkn,istio-proxy,16,92
default,recommendation-us-south-1-6857dbbc6d-ghd5g,hotel-reserv-recommendation,N/A,N/A
default,recommendation-us-south-1-6857dbbc6d-ghd5g,istio-proxy,N/A,N/A
