Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6fdc5cfb97-2cdhd,consul,10,34
default,consul-6fdc5cfb97-2cdhd,istio-proxy,3,95
default,frontend-us-central-1-d7c498dd9-95pvf,hotel-reserv-frontend,188,8
default,frontend-us-central-1-d7c498dd9-95pvf,istio-proxy,432,93
default,frontend-us-central-1-d7c498dd9-tvfb8,hotel-reserv-frontend,152,8
default,frontend-us-central-1-d7c498dd9-tvfb8,istio-proxy,372,93
default,frontend-us-east-1-66967964bc-pgp9q,hotel-reserv-frontend,200,8
default,frontend-us-east-1-66967964bc-pgp9q,istio-proxy,459,93
default,frontend-us-east-1-66967964bc-qqt28,hotel-reserv-frontend,183,8
default,frontend-us-east-1-66967964bc-qqt28,istio-proxy,468,96
default,frontend-us-south-1-758d9c75cc-8s6gh,hotel-reserv-frontend,151,8
default,frontend-us-south-1-758d9c75cc-8s6gh,istio-proxy,299,92
default,frontend-us-south-1-758d9c75cc-bxk8g,hotel-reserv-frontend,164,8
default,frontend-us-south-1-758d9c75cc-bxk8g,istio-proxy,358,95
default,frontend-us-west-1-5695d48df5-c8ttl,hotel-reserv-frontend,689,12
default,frontend-us-west-1-5695d48df5-c8ttl,istio-proxy,1589,105
default,frontend-us-west-1-5695d48df5-txphp,hotel-reserv-frontend,352,12
default,frontend-us-west-1-5695d48df5-txphp,istio-proxy,999,101
default,geo-us-central-1-57b6b98659-bt5k2,hotel-reserv-geo,19,8
default,geo-us-central-1-57b6b98659-bt5k2,istio-proxy,44,91
default,geo-us-central-1-57b6b98659-xh8d7,hotel-reserv-geo,15,8
default,geo-us-central-1-57b6b98659-xh8d7,istio-proxy,58,92
default,geo-us-east-1-94bdbfc59-bqlnn,hotel-reserv-geo,16,8
default,geo-us-east-1-94bdbfc59-bqlnn,istio-proxy,55,93
default,geo-us-east-1-94bdbfc59-lbj6x,hotel-reserv-geo,25,8
default,geo-us-east-1-94bdbfc59-lbj6x,istio-proxy,51,92
default,geo-us-south-1-579ff8ddd7-lqwpm,hotel-reserv-geo,20,8
default,geo-us-south-1-579ff8ddd7-lqwpm,istio-proxy,42,93
default,geo-us-south-1-579ff8ddd7-mwwxp,hotel-reserv-geo,17,8
default,geo-us-south-1-579ff8ddd7-mwwxp,istio-proxy,30,93
default,geo-us-west-1-7848b78947-4mk4r,hotel-reserv-geo,63,8
default,geo-us-west-1-7848b78947-4mk4r,istio-proxy,111,92
default,geo-us-west-1-7848b78947-zkdz9,hotel-reserv-geo,60,8
default,geo-us-west-1-7848b78947-zkdz9,istio-proxy,48,92
default,jaeger-58b8c946c9-j6q77,hotel-reserv-jaeger,178,135
default,jaeger-58b8c946c9-j6q77,istio-proxy,3,92
default,memcached-profile-us-central-1-65958db987-5m46v,hotel-reserv-profile-mmc,0,1
