Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6fdc5cfb97-2cdhd,consul,11,34
default,consul-6fdc5cfb97-2cdhd,istio-proxy,8,95
default,frontend-us-central-1-d7c498dd9-95pvf,hotel-reserv-frontend,0,4
default,frontend-us-central-1-d7c498dd9-95pvf,istio-proxy,5,91
default,frontend-us-central-1-d7c498dd9-tvfb8,hotel-reserv-frontend,0,4
default,frontend-us-central-1-d7c498dd9-tvfb8,istio-proxy,6,92
default,frontend-us-east-1-66967964bc-pgp9q,hotel-reserv-frontend,0,4
default,frontend-us-east-1-66967964bc-pgp9q,istio-proxy,5,91
default,frontend-us-east-1-66967964bc-qqt28,hotel-reserv-frontend,0,4
default,frontend-us-east-1-66967964bc-qqt28,istio-proxy,7,94
default,frontend-us-south-1-758d9c75cc-8s6gh,hotel-reserv-frontend,0,3
default,frontend-us-south-1-758d9c75cc-8s6gh,istio-proxy,7,90
default,frontend-us-south-1-758d9c75cc-bxk8g,hotel-reserv-frontend,0,4
default,frontend-us-south-1-758d9c75cc-bxk8g,istio-proxy,6,93
default,frontend-us-west-1-5695d48df5-c8ttl,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5695d48df5-c8ttl,istio-proxy,6,94
default,frontend-us-west-1-5695d48df5-txphp,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5695d48df5-txphp,istio-proxy,5,94
default,geo-us-central-1-57b6b98659-bt5k2,hotel-reserv-geo,0,6
default,geo-us-central-1-57b6b98659-bt5k2,istio-proxy,7,91
default,geo-us-central-1-57b6b98659-xh8d7,hotel-reserv-geo,0,12
default,geo-us-central-1-57b6b98659-xh8d7,istio-proxy,7,91
default,geo-us-east-1-94bdbfc59-bqlnn,hotel-reserv-geo,0,10
default,geo-us-east-1-94bdbfc59-bqlnn,istio-proxy,7,92
default,geo-us-east-1-94bdbfc59-lbj6x,hotel-reserv-geo,0,5
default,geo-us-east-1-94bdbfc59-lbj6x,istio-proxy,7,92
default,geo-us-south-1-579ff8ddd7-lqwpm,hotel-reserv-geo,0,10
default,geo-us-south-1-579ff8ddd7-lqwpm,istio-proxy,6,92
default,geo-us-south-1-579ff8ddd7-mwwxp,hotel-reserv-geo,0,12
default,geo-us-south-1-579ff8ddd7-mwwxp,istio-proxy,7,92
default,geo-us-west-1-7848b78947-4mk4r,hotel-reserv-geo,0,14
default,geo-us-west-1-7848b78947-4mk4r,istio-proxy,6,91
default,geo-us-west-1-7848b78947-zkdz9,hotel-reserv-geo,0,7
default,geo-us-west-1-7848b78947-zkdz9,istio-proxy,6,92
default,jaeger-58b8c946c9-j6q77,hotel-reserv-jaeger,0,9
default,jaeger-58b8c946c9-j6q77,istio-proxy,5,92
default,memcached-profile-us-central-1-65958db987-5m46v,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-65958db987-5m46v,istio-proxy,6,94
default,memcached-profile-us-central-1-65958db987-hq227,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-65958db987-hq227,istio-proxy,7,91
default,memcached-profile-us-east-1-84db9b96cf-6hdxz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-84db9b96cf-6hdxz,istio-proxy,6,94
default,memcached-profile-us-east-1-84db9b96cf-96tcc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-84db9b96cf-96tcc,istio-proxy,6,92
default,memcached-profile-us-south-1-684b7999bc-6wkd9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-684b7999bc-6wkd9,istio-proxy,6,93
default,memcached-profile-us-south-1-684b7999bc-dprds,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-684b7999bc-dprds,istio-proxy,6,91
default,memcached-profile-us-west-1-66c64dc5b7-2h9h8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-66c64dc5b7-2h9h8,istio-proxy,6,91
default,memcached-profile-us-west-1-66c64dc5b7-8dqjc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-66c64dc5b7-8dqjc,istio-proxy,6,92
default,memcached-rate-us-central-1-cdb5bf9f-ggnlf,hotel-reserv-rate-mmc,0,1
