counter,region,service,endpoint,rps
1,us-central-1,user,user@POST@/user.User/CheckUser,221
1,us-central-1,frontend,frontend@POST@/user,113
1,us-central-1,frontend,frontend@GET@/recommendations,102
1,us-central-1,frontend,frontend@GET@/hotels,104
1,us-central-1,frontend,frontend@POST@/reservation,111
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,94
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,204
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,111
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,112
1,us-central-1,slateingress,slateingress@POST@/reservation,108
1,us-central-1,slateingress,slateingress@POST@/user,106
1,us-central-1,slateingress,slateingress@GET@/recommendations,105
1,us-central-1,slateingress,slateingress@GET@/hotels,106
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
1,us-central-1,search,search@POST@/search.Search/Nearby,105
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,114
1,us-south-1,frontend,frontend@GET@/hotels,76
1,us-south-1,frontend,frontend@GET@/recommendations,68
1,us-south-1,frontend,frontend@POST@/user,100
1,us-south-1,frontend,frontend@POST@/reservation,104
1,us-south-1,slateingress,slateingress@GET@/recommendations,71
1,us-south-1,slateingress,slateingress@POST@/user,101
1,us-south-1,slateingress,slateingress@POST@/reservation,106
1,us-south-1,slateingress,slateingress@GET@/hotels,95
1,us-south-1,search,search@POST@/search.Search/Nearby,88
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,91
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,112
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,117
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,82
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,80
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,81
1,us-south-1,user,user@POST@/user.User/CheckUser,213
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,101
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,95
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,92
1,us-east-1,slateingress,slateingress@POST@/user,94
1,us-east-1,slateingress,slateingress@GET@/recommendations,107
1,us-east-1,slateingress,slateingress@POST@/reservation,103
1,us-east-1,slateingress,slateingress@GET@/hotels,102
1,us-east-1,search,search@POST@/search.Search/Nearby,87
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,91
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,92
1,us-east-1,user,user@POST@/user.User/CheckUser,188
