Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,12,38
default,consul-cc8f4df9-4gqrn,istio-proxy,4,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,87,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,106,154
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,77,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,277,154
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,27,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,5,130
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,0,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,154,129
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,37,120
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,86,346
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,51,34
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,176,186
default,frontend-us-west-1-74d5b55988-b896k,hotel-reserv-frontend,0,18
default,frontend-us-west-1-74d5b55988-b896k,istio-proxy,585,120
default,frontend-us-west-1-74d5b55988-ggpsf,hotel-reserv-frontend,129,22
default,frontend-us-west-1-74d5b55988-ggpsf,istio-proxy,330,114
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,0,8
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,31,91
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,0,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,19,94
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,7,9
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,5,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,11,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,5,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,4,11
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,4,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,5,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,14,90
default,geo-us-west-1-68475c74c9-4skp5,hotel-reserv-geo,0,8
default,geo-us-west-1-68475c74c9-4skp5,istio-proxy,11,93
default,geo-us-west-1-68475c74c9-ln4dc,hotel-reserv-geo,2,8
default,geo-us-west-1-68475c74c9-ln4dc,istio-proxy,12,93
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,20,1172
default,jaeger-54fccc9ddc-lffg5,istio-proxy,4,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,92
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,3,91
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,4,91
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,4,91
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,4,92
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,3,89
default,memcached-profile-us-west-1-58676d698b-rt6b8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-58676d698b-rt6b8,istio-proxy,4,90
default,memcached-profile-us-west-1-58676d698b-z9j9b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-58676d698b-z9j9b,istio-proxy,4,92
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,93
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,5,90
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,3,89
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,4,90
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,4,90
default,memcached-rate-us-west-1-7fb6f4554-9sm7g,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7fb6f4554-9sm7g,istio-proxy,5,92
default,memcached-rate-us-west-1-7fb6f4554-tzvkg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7fb6f4554-tzvkg,istio-proxy,4,90
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,3,92
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,4,89
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,4,90
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,5,90
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,3,91
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,3,91
