Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,39
default,consul-cc8f4df9-4gqrn,istio-proxy,3,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,200,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,602,155
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,155,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,438,155
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,53,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,266,132
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,135,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,282,130
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,29,122
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,70,351
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,68,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,193,190
default,frontend-us-west-1-74d5b55988-b896k,hotel-reserv-frontend,35,24
default,frontend-us-west-1-74d5b55988-b896k,istio-proxy,152,121
default,frontend-us-west-1-74d5b55988-ggpsf,hotel-reserv-frontend,61,25
default,frontend-us-west-1-74d5b55988-ggpsf,istio-proxy,545,122
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,18,10
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,52,92
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,25,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,27,95
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,13,9
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,38,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,10,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,23,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,11
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,3,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,0,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,5,90
default,geo-us-west-1-68475c74c9-4skp5,hotel-reserv-geo,0,8
default,geo-us-west-1-68475c74c9-4skp5,istio-proxy,4,93
default,geo-us-west-1-68475c74c9-ln4dc,hotel-reserv-geo,0,8
default,geo-us-west-1-68475c74c9-ln4dc,istio-proxy,4,93
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,34,1255
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,92
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,91
