Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,38
default,consul-cc8f4df9-4gqrn,istio-proxy,3,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,234,23
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,602,155
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,206,24
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,554,155
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,157,17
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,370,131
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,135,17
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,154,129
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,36,120
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,99,350
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,137,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,276,186
default,frontend-us-west-1-74d5b55988-b896k,hotel-reserv-frontend,178,24
default,frontend-us-west-1-74d5b55988-b896k,istio-proxy,561,121
default,frontend-us-west-1-74d5b55988-ggpsf,hotel-reserv-frontend,205,24
default,frontend-us-west-1-74d5b55988-ggpsf,istio-proxy,545,122
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,21,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,31,91
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,25,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,52,94
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,7,9
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,35,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,20,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,32,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,4,11
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,10,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,1,11
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,5,90
default,geo-us-west-1-68475c74c9-4skp5,hotel-reserv-geo,9,8
default,geo-us-west-1-68475c74c9-4skp5,istio-proxy,22,93
default,geo-us-west-1-68475c74c9-ln4dc,hotel-reserv-geo,5,8
default,geo-us-west-1-68475c74c9-ln4dc,istio-proxy,23,93
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,97,1214
