Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,12,41
default,consul-cc8f4df9-4gqrn,istio-proxy,4,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,0,15
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,4,173
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,15,15
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,47,175
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,11,12
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,152,136
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,8,12
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,160,135
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,0,147
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,75,489
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,0,17
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,211,190
default,frontend-us-west-1-7c9787d5c9-c2lvk,hotel-reserv-frontend,188,11
default,frontend-us-west-1-7c9787d5c9-c2lvk,istio-proxy,22,100
default,frontend-us-west-1-7c9787d5c9-fbvdw,hotel-reserv-frontend,157,10
default,frontend-us-west-1-7c9787d5c9-fbvdw,istio-proxy,298,103
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,0,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,16,98
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,4,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,3,98
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,6,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,3,94
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,3,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,5,93
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,8
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,12,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,0,8
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,14,91
default,geo-us-west-1-74dfd8dd88-2pqtn,hotel-reserv-geo,9,8
default,geo-us-west-1-74dfd8dd88-2pqtn,istio-proxy,11,91
default,geo-us-west-1-74dfd8dd88-zhtkw,hotel-reserv-geo,9,8
default,geo-us-west-1-74dfd8dd88-zhtkw,istio-proxy,16,93
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,373,1890
default,jaeger-54fccc9ddc-lffg5,istio-proxy,4,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,3,91
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,91
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,3,91
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,3,90
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,3,93
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,4,90
default,memcached-profile-us-west-1-5964849f57-9vdjs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5964849f57-9vdjs,istio-proxy,3,91
default,memcached-profile-us-west-1-5964849f57-v25xk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5964849f57-v25xk,istio-proxy,3,92
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,3,93
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,3,90
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,4,89
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,4,90
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,4,89
default,memcached-rate-us-west-1-7865596595-k7chm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7865596595-k7chm,istio-proxy,3,91
default,memcached-rate-us-west-1-7865596595-zm25q,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7865596595-zm25q,istio-proxy,4,90
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,4,92
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,4,90
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,3,90
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,3,90
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,3,91
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,3,92
default,memcached-reserve-us-west-1-6d98dbb5f5-d4km2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6d98dbb5f5-d4km2,istio-proxy,4,93
default,memcached-reserve-us-west-1-6d98dbb5f5-vng9s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6d98dbb5f5-vng9s,istio-proxy,4,91
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,hotel-reserv-geo-mongo,4,160
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,istio-proxy,3,91
default,mongodb-geo-us-east-1-c88966fc-c2ghk,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-east-1-c88966fc-c2ghk,istio-proxy,4,92
default,mongodb-geo-us-south-1-774ff447f9-z5r25,hotel-reserv-geo-mongo,3,160
default,mongodb-geo-us-south-1-774ff447f9-z5r25,istio-proxy,4,90
default,mongodb-geo-us-west-1-7dd4566668-qhrsz,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-west-1-7dd4566668-qhrsz,istio-proxy,4,92
default,mongodb-profile-us-central-1-554f6d9585-k8n69,hotel-reserv-profile-mongo,31,183
default,mongodb-profile-us-central-1-554f6d9585-k8n69,istio-proxy,23,92
default,mongodb-profile-us-east-1-76c47b747f-n69br,hotel-reserv-profile-mongo,3,170
default,mongodb-profile-us-east-1-76c47b747f-n69br,istio-proxy,7,92
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,hotel-reserv-profile-mongo,11,175
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,istio-proxy,9,91
default,mongodb-profile-us-west-1-5f65d877d6-bjt5v,hotel-reserv-profile-mongo,33,163
default,mongodb-profile-us-west-1-5f65d877d6-bjt5v,istio-proxy,3,93
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,hotel-reserv-rate-mongo,43,164
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,istio-proxy,5,90
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,hotel-reserv-rate-mongo,33,167
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,istio-proxy,3,92
default,mongodb-rate-us-south-1-7b885fc966-qnddf,hotel-reserv-rate-mongo,35,166
default,mongodb-rate-us-south-1-7b885fc966-qnddf,istio-proxy,4,90
default,mongodb-rate-us-west-1-6db969b589-gb9f7,hotel-reserv-rate-mongo,3,164
default,mongodb-rate-us-west-1-6db969b589-gb9f7,istio-proxy,5,90
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,hotel-reserv-recommendation-mongo,3,160
default,mongodb-recommendation-us-central-1-6b99cc887c-mq6w4,istio-proxy,4,91
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,hotel-reserv-recommendation-mongo,4,160
default,mongodb-recommendation-us-east-1-5db6d79fd7-xdfbt,istio-proxy,3,88
