Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,41
default,consul-cc8f4df9-4gqrn,istio-proxy,3,93
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,279,15
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,743,173
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,205,15
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,349,175
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,56,12
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,80,136
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,88,12
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,85,135
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,19,147
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,32,473
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,62,17
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,36,190
default,frontend-us-west-1-7c9787d5c9-c2lvk,hotel-reserv-frontend,53,10
default,frontend-us-west-1-7c9787d5c9-c2lvk,istio-proxy,660,100
default,frontend-us-west-1-7c9787d5c9-fbvdw,hotel-reserv-frontend,118,10
default,frontend-us-west-1-7c9787d5c9-fbvdw,istio-proxy,232,102
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,23,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,30,98
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,34,8
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,46,98
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,13,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,21,94
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,3,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,24,93
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,8
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,3,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,0,8
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,4,91
default,geo-us-west-1-74dfd8dd88-2pqtn,hotel-reserv-geo,11,8
default,geo-us-west-1-74dfd8dd88-2pqtn,istio-proxy,11,91
default,geo-us-west-1-74dfd8dd88-zhtkw,hotel-reserv-geo,12,8
default,geo-us-west-1-74dfd8dd88-zhtkw,istio-proxy,12,93
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,54,1889
default,jaeger-54fccc9ddc-lffg5,istio-proxy,3,92
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,91
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,91
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,3,91
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,4,90
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,4,93
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,4,90
default,memcached-profile-us-west-1-5964849f57-9vdjs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5964849f57-9vdjs,istio-proxy,3,91
default,memcached-profile-us-west-1-5964849f57-v25xk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5964849f57-v25xk,istio-proxy,3,92
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,93
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,4,89
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,4,90
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,4,89
default,memcached-rate-us-west-1-7865596595-k7chm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7865596595-k7chm,istio-proxy,4,91
default,memcached-rate-us-west-1-7865596595-zm25q,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7865596595-zm25q,istio-proxy,3,90
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,3,92
