counter,region,service,endpoint,rps
1,us-east-1,user,user@POST@/user.User/CheckUser,140
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,90
1,us-east-1,search,search@POST@/search.Search/Nearby,88
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,63
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,94
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,82
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,87
1,us-east-1,slateingress,slateingress@POST@/user,78
1,us-east-1,slateingress,slateingress@POST@/reservation,64
1,us-east-1,slateingress,slateingress@GET@/recommendations,84
1,us-east-1,slateingress,slateingress@GET@/hotels,82
1,us-east-1,frontend,frontend@POST@/user,73
1,us-east-1,frontend,frontend@POST@/reservation,67
1,us-east-1,frontend,frontend@GET@/recommendations,70
1,us-east-1,frontend,frontend@GET@/hotels,78
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,163
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,91
1,us-central-1,search,search@POST@/search.Search/Nearby,100
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,202
1,us-central-1,frontend,frontend@GET@/recommendations,109
1,us-central-1,frontend,frontend@POST@/user,106
1,us-central-1,frontend,frontend@POST@/reservation,100
1,us-central-1,frontend,frontend@GET@/hotels,104
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,110
1,us-central-1,user,user@POST@/user.User/CheckUser,210
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,108
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,104
1,us-central-1,slateingress,slateingress@POST@/user,112
1,us-central-1,slateingress,slateingress@GET@/recommendations,108
1,us-central-1,slateingress,slateingress@POST@/reservation,117
1,us-central-1,slateingress,slateingress@GET@/hotels,111
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,115
1,us-west-1,frontend,frontend@POST@/reservation,111
1,us-west-1,frontend,frontend@GET@/hotels,45
1,us-west-1,frontend,frontend@POST@/user,808
1,us-west-1,frontend,frontend@GET@/recommendations,106
1,us-west-1,user,user@POST@/user.User/CheckUser,932
1,us-west-1,slateingress,slateingress@POST@/user,796
1,us-west-1,slateingress,slateingress@GET@/recommendations,105
1,us-west-1,slateingress,slateingress@POST@/reservation,108
1,us-west-1,slateingress,slateingress@GET@/hotels,48
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,18
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,31
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,105
1,us-west-1,search,search@POST@/search.Search/Nearby,17
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,104
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,109
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,69
1,us-south-1,user,user@POST@/user.User/CheckUser,125
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,66
1,us-south-1,frontend,frontend@POST@/user,93
1,us-south-1,frontend,frontend@GET@/recommendations,74
1,us-south-1,frontend,frontend@POST@/reservation,72
1,us-south-1,frontend,frontend@GET@/hotels,60
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,118
1,us-south-1,slateingress,slateingress@GET@/recommendations,87
1,us-south-1,slateingress,slateingress@POST@/reservation,114
1,us-south-1,slateingress,slateingress@GET@/hotels,96
1,us-south-1,slateingress,slateingress@POST@/user,107
1,us-south-1,search,search@POST@/search.Search/Nearby,80
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,107
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,83
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,88
2,us-east-1,user,user@POST@/user.User/CheckUser,133
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,72
2,us-east-1,search,search@POST@/search.Search/Nearby,76
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,60
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,73
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,74
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,71
2,us-east-1,slateingress,slateingress@POST@/user,66
2,us-east-1,slateingress,slateingress@POST@/reservation,63
2,us-east-1,slateingress,slateingress@GET@/recommendations,82
2,us-east-1,slateingress,slateingress@GET@/hotels,76
2,us-east-1,frontend,frontend@POST@/user,67
2,us-east-1,frontend,frontend@POST@/reservation,62
2,us-east-1,frontend,frontend@GET@/recommendations,80
2,us-east-1,frontend,frontend@GET@/hotels,72
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,150
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,103
2,us-central-1,search,search@POST@/search.Search/Nearby,103
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,207
2,us-central-1,frontend,frontend@GET@/recommendations,111
2,us-central-1,frontend,frontend@POST@/user,113
2,us-central-1,frontend,frontend@POST@/reservation,104
2,us-central-1,frontend,frontend@GET@/hotels,99
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,103
2,us-central-1,user,user@POST@/user.User/CheckUser,239
