counter,region,service,endpoint,rps
1,us-west-1,frontend,frontend@GET@/hotels,-951
1,us-west-1,frontend,frontend@GET@/recommendations,463
1,us-west-1,frontend,frontend@POST@/user,438
1,us-west-1,frontend,frontend@POST@/reservation,448
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,947
1,us-west-1,user,user@POST@/user.User/CheckUser,925
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,448
1,us-west-1,slateingress,slateingress@POST@/user,419
1,us-west-1,slateingress,slateingress@GET@/recommendations,420
1,us-west-1,slateingress,slateingress@POST@/reservation,415
1,us-west-1,slateingress,slateingress@GET@/hotels,389
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,413
1,us-west-1,search,search@POST@/search.Search/Nearby,414
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,418
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,419
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,417
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,147
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,256
1,us-south-1,slateingress,slateingress@POST@/user,361
1,us-south-1,slateingress,slateingress@GET@/recommendations,308
1,us-south-1,slateingress,slateingress@POST@/reservation,245
1,us-south-1,slateingress,slateingress@GET@/hotels,234
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,241
1,us-south-1,search,search@POST@/search.Search/Nearby,228
1,us-south-1,user,user@POST@/user.User/CheckUser,549
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,116
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,67
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,56
1,us-south-1,frontend,frontend@POST@/user,342
1,us-south-1,frontend,frontend@GET@/recommendations,286
1,us-south-1,frontend,frontend@POST@/reservation,233
1,us-south-1,frontend,frontend@GET@/hotels,225
1,us-central-1,slateingress,slateingress@POST@/user,432
1,us-central-1,slateingress,slateingress@GET@/recommendations,438
1,us-central-1,slateingress,slateingress@POST@/reservation,418
1,us-central-1,slateingress,slateingress@GET@/hotels,402
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,262
1,us-central-1,frontend,frontend@POST@/user,401
1,us-central-1,frontend,frontend@GET@/recommendations,379
1,us-central-1,frontend,frontend@POST@/reservation,327
1,us-central-1,frontend,frontend@GET@/hotels,296
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,639
1,us-central-1,user,user@POST@/user.User/CheckUser,804
1,us-central-1,search,search@POST@/search.Search/Nearby,267
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,384
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,330
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,406
