Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,10,35
default,consul-cc8f4df9-4gqrn,istio-proxy,3,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,508,15
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,1661,116
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,458,15
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,1661,114
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,579,16
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,1425,116
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,584,16
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,1171,117
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,202,76
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,674,248
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,599,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,1569,166
default,frontend-us-west-1-797f9df9b4-8znkd,hotel-reserv-frontend,589,18
default,frontend-us-west-1-797f9df9b4-8znkd,istio-proxy,1514,123
default,frontend-us-west-1-797f9df9b4-pdc8q,hotel-reserv-frontend,552,18
default,frontend-us-west-1-797f9df9b4-pdc8q,istio-proxy,1462,123
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,85,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,157,93
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,68,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,142,92
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,76,9
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,185,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,94,9
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,134,93
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,28,12
