Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,12,35
default,consul-cc8f4df9-4gqrn,istio-proxy,3,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,380,15
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,138,104
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,425,15
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,4,92
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,95,16
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,1252,114
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,213,16
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,1487,115
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,177,43
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,1021,183
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,372,35
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,1476,162
default,frontend-us-west-1-797f9df9b4-8znkd,hotel-reserv-frontend,91,20
default,frontend-us-west-1-797f9df9b4-8znkd,istio-proxy,1900,120
default,frontend-us-west-1-797f9df9b4-pdc8q,hotel-reserv-frontend,313,19
default,frontend-us-west-1-797f9df9b4-pdc8q,istio-proxy,1299,119
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,85,9
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,140,93
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,63,9
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,151,92
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,100,8
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,68,92
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,6,8
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,134,93
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,47,11
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,127,92
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,32,10
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,109,92
default,geo-us-west-1-d9b589bc5-9c9cc,hotel-reserv-geo,102,9
default,geo-us-west-1-d9b589bc5-9c9cc,istio-proxy,73,93
default,geo-us-west-1-d9b589bc5-drgfx,hotel-reserv-geo,105,9
default,geo-us-west-1-d9b589bc5-drgfx,istio-proxy,195,93
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,276,222
default,jaeger-54fccc9ddc-lffg5,istio-proxy,4,93
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,4,92
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,94
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,5,93
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,4,91
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,5,94
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,5,91
default,memcached-profile-us-west-1-7cddfd9cbb-g54b4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7cddfd9cbb-g54b4,istio-proxy,4,92
default,memcached-profile-us-west-1-7cddfd9cbb-tzcvp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7cddfd9cbb-tzcvp,istio-proxy,4,93
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,94
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,4,91
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,5,90
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,4,91
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,4,91
default,memcached-rate-us-west-1-6d7cf4bcbb-7j7fx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6d7cf4bcbb-7j7fx,istio-proxy,4,91
default,memcached-rate-us-west-1-6d7cf4bcbb-v9sfz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6d7cf4bcbb-v9sfz,istio-proxy,4,94
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,4,94
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,4,90
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,5,92
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,5,91
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,4,93
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,4,93
default,memcached-reserve-us-west-1-6d5ccdfbd-7zkpn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6d5ccdfbd-7zkpn,istio-proxy,5,93
default,memcached-reserve-us-west-1-6d5ccdfbd-vp2fv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6d5ccdfbd-vp2fv,istio-proxy,4,92
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,hotel-reserv-geo-mongo,5,161
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,istio-proxy,4,92
default,mongodb-geo-us-east-1-c88966fc-c2ghk,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-c88966fc-c2ghk,istio-proxy,4,93
default,mongodb-geo-us-south-1-774ff447f9-z5r25,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-774ff447f9-z5r25,istio-proxy,4,92
default,mongodb-geo-us-west-1-69fdbf8dcc-bwnhx,hotel-reserv-geo-mongo,4,157
default,mongodb-geo-us-west-1-69fdbf8dcc-bwnhx,istio-proxy,5,93
default,mongodb-profile-us-central-1-554f6d9585-k8n69,hotel-reserv-profile-mongo,199,167
