Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-cc8f4df9-4gqrn,consul,11,34
default,consul-cc8f4df9-4gqrn,istio-proxy,4,94
default,frontend-us-central-1-6745df5c96-mpfw5,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6745df5c96-mpfw5,istio-proxy,4,92
default,frontend-us-central-1-6745df5c96-w5v86,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6745df5c96-w5v86,istio-proxy,4,92
default,frontend-us-east-1-76cd5bb7b4-g8zx9,hotel-reserv-frontend,0,5
default,frontend-us-east-1-76cd5bb7b4-g8zx9,istio-proxy,4,92
default,frontend-us-east-1-76cd5bb7b4-mz67q,hotel-reserv-frontend,0,4
default,frontend-us-east-1-76cd5bb7b4-mz67q,istio-proxy,4,93
default,frontend-us-south-1-5c477696bd-g2679,hotel-reserv-frontend,N/A,N/A
default,frontend-us-south-1-5c477696bd-g2679,istio-proxy,N/A,N/A
default,frontend-us-south-1-5c477696bd-xbkv8,hotel-reserv-frontend,0,4
default,frontend-us-south-1-5c477696bd-xbkv8,istio-proxy,4,93
default,frontend-us-west-1-797f9df9b4-8znkd,hotel-reserv-frontend,0,10
default,frontend-us-west-1-797f9df9b4-8znkd,istio-proxy,4,103
default,frontend-us-west-1-797f9df9b4-pdc8q,hotel-reserv-frontend,0,4
default,frontend-us-west-1-797f9df9b4-pdc8q,istio-proxy,4,91
default,geo-us-central-1-5f8d69646c-mm7rf,hotel-reserv-geo,0,6
default,geo-us-central-1-5f8d69646c-mm7rf,istio-proxy,3,93
default,geo-us-central-1-5f8d69646c-pxcwb,hotel-reserv-geo,0,6
default,geo-us-central-1-5f8d69646c-pxcwb,istio-proxy,4,92
default,geo-us-east-1-d4b6bbc5f-2wrr6,hotel-reserv-geo,0,7
default,geo-us-east-1-d4b6bbc5f-2wrr6,istio-proxy,6,91
default,geo-us-east-1-d4b6bbc5f-4p7qr,hotel-reserv-geo,0,6
default,geo-us-east-1-d4b6bbc5f-4p7qr,istio-proxy,5,92
default,geo-us-south-1-d4d554579-cj6bw,hotel-reserv-geo,0,6
default,geo-us-south-1-d4d554579-cj6bw,istio-proxy,3,91
default,geo-us-south-1-d4d554579-pz4dg,hotel-reserv-geo,N/A,N/A
default,geo-us-south-1-d4d554579-pz4dg,istio-proxy,N/A,N/A
default,geo-us-west-1-d9b589bc5-9c9cc,hotel-reserv-geo,0,10
default,geo-us-west-1-d9b589bc5-9c9cc,istio-proxy,5,92
default,geo-us-west-1-d9b589bc5-drgfx,hotel-reserv-geo,0,15
default,geo-us-west-1-d9b589bc5-drgfx,istio-proxy,5,92
default,jaeger-54fccc9ddc-lffg5,hotel-reserv-jaeger,0,11
default,jaeger-54fccc9ddc-lffg5,istio-proxy,4,93
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-5dn5k,istio-proxy,5,92
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f9865c8bd-jfpgp,istio-proxy,4,94
default,memcached-profile-us-east-1-86c67d897d-ctwln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-ctwln,istio-proxy,4,93
default,memcached-profile-us-east-1-86c67d897d-xlzl8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-86c67d897d-xlzl8,istio-proxy,6,91
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-hvdsx,istio-proxy,4,94
default,memcached-profile-us-south-1-6ffddccb44-lthdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6ffddccb44-lthdc,istio-proxy,4,91
default,memcached-profile-us-west-1-7cddfd9cbb-g54b4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7cddfd9cbb-g54b4,istio-proxy,4,92
default,memcached-profile-us-west-1-7cddfd9cbb-tzcvp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-7cddfd9cbb-tzcvp,istio-proxy,5,93
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-fnjnq,istio-proxy,4,94
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-57d4895cd6-tpf9n,istio-proxy,4,91
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-w9zx7,istio-proxy,4,90
default,memcached-rate-us-east-1-79cc9498b6-zsws6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-79cc9498b6-zsws6,istio-proxy,4,90
default,memcached-rate-us-south-1-86b68ccf78-2tc58,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-2tc58,istio-proxy,5,91
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-86b68ccf78-s5zt5,istio-proxy,4,91
default,memcached-rate-us-west-1-6d7cf4bcbb-7j7fx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6d7cf4bcbb-7j7fx,istio-proxy,4,91
default,memcached-rate-us-west-1-6d7cf4bcbb-v9sfz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6d7cf4bcbb-v9sfz,istio-proxy,4,94
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-8f72s,istio-proxy,4,94
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c8d6875f6-wtgwq,istio-proxy,4,90
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m6zjl,istio-proxy,4,92
default,memcached-reserve-us-east-1-654fbdf764-m78ln,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-654fbdf764-m78ln,istio-proxy,4,91
default,memcached-reserve-us-south-1-86b8846988-72lcg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-86b8846988-72lcg,istio-proxy,5,93
default,memcached-reserve-us-south-1-86b8846988-f27s2,hotel-reserv-reservation-mmc,N/A,N/A
default,memcached-reserve-us-south-1-86b8846988-f27s2,istio-proxy,N/A,N/A
default,memcached-reserve-us-west-1-6d5ccdfbd-7zkpn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6d5ccdfbd-7zkpn,istio-proxy,4,93
default,memcached-reserve-us-west-1-6d5ccdfbd-vp2fv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6d5ccdfbd-vp2fv,istio-proxy,4,92
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-central-1-5bbdc74675-bb5sg,istio-proxy,4,92
default,mongodb-geo-us-east-1-c88966fc-c2ghk,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-east-1-c88966fc-c2ghk,istio-proxy,6,93
default,mongodb-geo-us-south-1-774ff447f9-z5r25,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-774ff447f9-z5r25,istio-proxy,4,92
default,mongodb-geo-us-west-1-69fdbf8dcc-bwnhx,hotel-reserv-geo-mongo,21,157
default,mongodb-geo-us-west-1-69fdbf8dcc-bwnhx,istio-proxy,4,93
default,mongodb-profile-us-central-1-554f6d9585-k8n69,hotel-reserv-profile-mongo,4,158
default,mongodb-profile-us-central-1-554f6d9585-k8n69,istio-proxy,4,91
default,mongodb-profile-us-east-1-76c47b747f-n69br,hotel-reserv-profile-mongo,3,157
default,mongodb-profile-us-east-1-76c47b747f-n69br,istio-proxy,3,92
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-south-1-86bf468ddf-cmb72,istio-proxy,4,92
default,mongodb-profile-us-west-1-5c78c55bc9-7lzrp,hotel-reserv-profile-mongo,27,157
default,mongodb-profile-us-west-1-5c78c55bc9-7lzrp,istio-proxy,5,91
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,hotel-reserv-rate-mongo,5,158
default,mongodb-rate-us-central-1-84f6b9f9cd-bzrmg,istio-proxy,6,91
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,hotel-reserv-rate-mongo,25,157
default,mongodb-rate-us-east-1-6f965d76bd-xxnqc,istio-proxy,4,92
default,mongodb-rate-us-south-1-7b885fc966-qnddf,hotel-reserv-rate-mongo,N/A,N/A
default,mongodb-rate-us-south-1-7b885fc966-qnddf,istio-proxy,N/A,N/A
default,mongodb-rate-us-west-1-dd8b84fcb-xff5n,hotel-reserv-rate-mongo,3,162
