counter,region,service,endpoint,rps
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,106
1,us-east-1,search,search@POST@/search.Search/Nearby,105
1,us-east-1,user,user@POST@/user.User/CheckUser,211
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,226
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,113
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,101
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,112
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-east-1,frontend,frontend@GET@/recommendations,116
1,us-east-1,frontend,frontend@POST@/user,109
1,us-east-1,frontend,frontend@POST@/reservation,107
1,us-east-1,frontend,frontend@GET@/hotels,115
1,us-east-1,slateingress,slateingress@POST@/user,107
1,us-east-1,slateingress,slateingress@GET@/recommendations,112
1,us-east-1,slateingress,slateingress@GET@/hotels,114
1,us-east-1,slateingress,slateingress@POST@/reservation,104
1,us-west-1,slateingress,slateingress@POST@/user,393
1,us-west-1,slateingress,slateingress@POST@/reservation,380
1,us-west-1,slateingress,slateingress@GET@/recommendations,392
1,us-west-1,slateingress,slateingress@GET@/hotels,385
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,408
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,725
1,us-west-1,frontend,frontend@POST@/user,-1132
1,us-west-1,frontend,frontend@POST@/reservation,-2299
1,us-west-1,frontend,frontend@GET@/hotels,408
1,us-west-1,frontend,frontend@GET@/recommendations,427
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,385
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,407
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,414
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,458
1,us-west-1,user,user@POST@/user.User/CheckUser,957
1,us-west-1,search,search@POST@/search.Search/Nearby,432
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,220
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,117
1,us-central-1,frontend,frontend@POST@/user,100
1,us-central-1,frontend,frontend@GET@/recommendations,93
1,us-central-1,frontend,frontend@GET@/hotels,93
1,us-central-1,frontend,frontend@POST@/reservation,94
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,102
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,117
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,113
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-central-1,user,user@POST@/user.User/CheckUser,205
1,us-central-1,search,search@POST@/search.Search/Nearby,108
1,us-central-1,slateingress,slateingress@POST@/user,112
1,us-central-1,slateingress,slateingress@GET@/recommendations,111
1,us-central-1,slateingress,slateingress@POST@/reservation,107
1,us-central-1,slateingress,slateingress@GET@/hotels,93
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,154
1,us-south-1,user,user@POST@/user.User/CheckUser,173
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,109
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,98
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,85
1,us-south-1,search,search@POST@/search.Search/Nearby,101
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,33
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,54
1,us-south-1,slateingress,slateingress@GET@/recommendations,82
1,us-south-1,slateingress,slateingress@GET@/hotels,75
1,us-south-1,slateingress,slateingress@POST@/user,93
1,us-south-1,slateingress,slateingress@POST@/reservation,82
1,us-south-1,frontend,frontend@POST@/user,116
1,us-south-1,frontend,frontend@GET@/recommendations,105
1,us-south-1,frontend,frontend@GET@/hotels,90
1,us-south-1,frontend,frontend@POST@/reservation,98
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,105
2,us-east-1,search,search@POST@/search.Search/Nearby,107
2,us-east-1,user,user@POST@/user.User/CheckUser,219
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,217
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,107
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,106
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,99
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,106
2,us-east-1,frontend,frontend@GET@/recommendations,103
2,us-east-1,frontend,frontend@POST@/user,100
2,us-east-1,frontend,frontend@POST@/reservation,98
2,us-east-1,frontend,frontend@GET@/hotels,105
2,us-east-1,slateingress,slateingress@POST@/user,103
2,us-east-1,slateingress,slateingress@GET@/recommendations,103
2,us-east-1,slateingress,slateingress@GET@/hotels,103
2,us-east-1,slateingress,slateingress@POST@/reservation,100
2,us-west-1,slateingress,slateingress@POST@/user,415
2,us-west-1,slateingress,slateingress@POST@/reservation,437
2,us-west-1,slateingress,slateingress@GET@/recommendations,428
2,us-west-1,slateingress,slateingress@GET@/hotels,434
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,460
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,963
2,us-west-1,frontend,frontend@POST@/user,-909
2,us-west-1,frontend,frontend@POST@/reservation,-1872
2,us-west-1,frontend,frontend@GET@/hotels,413
2,us-west-1,frontend,frontend@GET@/recommendations,439
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,550
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,512
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,437
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,442
2,us-west-1,user,user@POST@/user.User/CheckUser,924
2,us-west-1,search,search@POST@/search.Search/Nearby,452
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,207
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,110
2,us-central-1,frontend,frontend@POST@/user,111
2,us-central-1,frontend,frontend@GET@/recommendations,103
2,us-central-1,frontend,frontend@GET@/hotels,101
2,us-central-1,frontend,frontend@POST@/reservation,97
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,103
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,105
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,115
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
2,us-central-1,user,user@POST@/user.User/CheckUser,213
2,us-central-1,search,search@POST@/search.Search/Nearby,105
2,us-central-1,slateingress,slateingress@POST@/user,105
2,us-central-1,slateingress,slateingress@GET@/recommendations,101
2,us-central-1,slateingress,slateingress@POST@/reservation,107
2,us-central-1,slateingress,slateingress@GET@/hotels,104
2,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,202
2,us-south-1,user,user@POST@/user.User/CheckUser,210
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,103
2,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,108
2,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,107
2,us-south-1,search,search@POST@/search.Search/Nearby,108
2,us-south-1,rate,rate@POST@/rate.Rate/GetRates,109
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,112
2,us-south-1,slateingress,slateingress@GET@/recommendations,108
2,us-south-1,slateingress,slateingress@GET@/hotels,112
2,us-south-1,slateingress,slateingress@POST@/user,103
2,us-south-1,slateingress,slateingress@POST@/reservation,110
2,us-south-1,frontend,frontend@POST@/user,106
2,us-south-1,frontend,frontend@GET@/recommendations,104
2,us-south-1,frontend,frontend@GET@/hotels,107
2,us-south-1,frontend,frontend@POST@/reservation,104
3,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,101
3,us-east-1,search,search@POST@/search.Search/Nearby,99
3,us-east-1,user,user@POST@/user.User/CheckUser,199
3,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,213
3,us-east-1,geo,geo@POST@/geo.Geo/Nearby,98
3,us-east-1,rate,rate@POST@/rate.Rate/GetRates,103
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,103
3,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,102
3,us-east-1,frontend,frontend@GET@/recommendations,105
3,us-east-1,frontend,frontend@POST@/user,106
3,us-east-1,frontend,frontend@POST@/reservation,104
3,us-east-1,frontend,frontend@GET@/hotels,99
3,us-east-1,slateingress,slateingress@POST@/user,104
3,us-east-1,slateingress,slateingress@GET@/recommendations,100
3,us-east-1,slateingress,slateingress@GET@/hotels,102
3,us-east-1,slateingress,slateingress@POST@/reservation,105
3,us-west-1,slateingress,slateingress@POST@/user,426
3,us-west-1,slateingress,slateingress@POST@/reservation,421
3,us-west-1,slateingress,slateingress@GET@/recommendations,418
3,us-west-1,slateingress,slateingress@GET@/hotels,432
3,us-west-1,geo,geo@POST@/geo.Geo/Nearby,444
3,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,942
3,us-west-1,frontend,frontend@POST@/user,-739
3,us-west-1,frontend,frontend@POST@/reservation,-1694
3,us-west-1,frontend,frontend@GET@/hotels,448
3,us-west-1,frontend,frontend@GET@/recommendations,426
3,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,466
3,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,461
3,us-west-1,rate,rate@POST@/rate.Rate/GetRates,445
3,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,426
3,us-west-1,user,user@POST@/user.User/CheckUser,866
3,us-west-1,search,search@POST@/search.Search/Nearby,441
3,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,200
3,us-central-1,rate,rate@POST@/rate.Rate/GetRates,101
3,us-central-1,frontend,frontend@POST@/user,104
3,us-central-1,frontend,frontend@GET@/recommendations,105
3,us-central-1,frontend,frontend@GET@/hotels,101
3,us-central-1,frontend,frontend@POST@/reservation,105
3,us-central-1,geo,geo@POST@/geo.Geo/Nearby,103
3,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,102
3,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,99
3,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,106
3,us-central-1,user,user@POST@/user.User/CheckUser,212
3,us-central-1,search,search@POST@/search.Search/Nearby,106
3,us-central-1,slateingress,slateingress@POST@/user,95
3,us-central-1,slateingress,slateingress@GET@/recommendations,100
3,us-central-1,slateingress,slateingress@POST@/reservation,110
3,us-central-1,slateingress,slateingress@GET@/hotels,104
3,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,202
3,us-south-1,user,user@POST@/user.User/CheckUser,208
3,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,105
3,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,110
3,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,107
3,us-south-1,search,search@POST@/search.Search/Nearby,106
3,us-south-1,rate,rate@POST@/rate.Rate/GetRates,108
3,us-south-1,geo,geo@POST@/geo.Geo/Nearby,110
3,us-south-1,slateingress,slateingress@GET@/recommendations,104
3,us-south-1,slateingress,slateingress@GET@/hotels,103
3,us-south-1,slateingress,slateingress@POST@/user,110
3,us-south-1,slateingress,slateingress@POST@/reservation,103
3,us-south-1,frontend,frontend@POST@/user,102
3,us-south-1,frontend,frontend@GET@/recommendations,106
3,us-south-1,frontend,frontend@GET@/hotels,107
3,us-south-1,frontend,frontend@POST@/reservation,104
4,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,128
4,us-east-1,search,search@POST@/search.Search/Nearby,119
4,us-east-1,user,user@POST@/user.User/CheckUser,240
4,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,250
4,us-east-1,geo,geo@POST@/geo.Geo/Nearby,119
4,us-east-1,rate,rate@POST@/rate.Rate/GetRates,132
4,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,119
4,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,102
4,us-east-1,frontend,frontend@GET@/recommendations,109
4,us-east-1,frontend,frontend@POST@/user,129
4,us-east-1,frontend,frontend@POST@/reservation,132
4,us-east-1,frontend,frontend@GET@/hotels,118
4,us-east-1,slateingress,slateingress@POST@/user,132
4,us-east-1,slateingress,slateingress@GET@/recommendations,129
4,us-east-1,slateingress,slateingress@GET@/hotels,112
4,us-east-1,slateingress,slateingress@POST@/reservation,124
4,us-west-1,slateingress,slateingress@POST@/user,375
4,us-west-1,slateingress,slateingress@POST@/reservation,391
4,us-west-1,slateingress,slateingress@GET@/recommendations,379
4,us-west-1,slateingress,slateingress@GET@/hotels,390
4,us-west-1,geo,geo@POST@/geo.Geo/Nearby,305
4,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,731
4,us-west-1,frontend,frontend@POST@/user,-583
4,us-west-1,frontend,frontend@POST@/reservation,-1526
4,us-west-1,frontend,frontend@GET@/hotels,400
4,us-west-1,frontend,frontend@GET@/recommendations,413
4,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,373
4,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,287
4,us-west-1,rate,rate@POST@/rate.Rate/GetRates,348
4,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,365
4,us-west-1,user,user@POST@/user.User/CheckUser,797
4,us-west-1,search,search@POST@/search.Search/Nearby,364
4,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,223
4,us-central-1,rate,rate@POST@/rate.Rate/GetRates,136
4,us-central-1,frontend,frontend@POST@/user,103
4,us-central-1,frontend,frontend@GET@/recommendations,113
4,us-central-1,frontend,frontend@GET@/hotels,118
4,us-central-1,frontend,frontend@POST@/reservation,111
4,us-central-1,geo,geo@POST@/geo.Geo/Nearby,131
4,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,106
4,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,125
4,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,163
4,us-central-1,user,user@POST@/user.User/CheckUser,210
4,us-central-1,search,search@POST@/search.Search/Nearby,151
4,us-central-1,slateingress,slateingress@POST@/user,120
4,us-central-1,slateingress,slateingress@GET@/recommendations,119
4,us-central-1,slateingress,slateingress@POST@/reservation,108
4,us-central-1,slateingress,slateingress@GET@/hotels,101
4,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,239
4,us-south-1,user,user@POST@/user.User/CheckUser,198
4,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
4,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,159
4,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,96
4,us-south-1,search,search@POST@/search.Search/Nearby,148
4,us-south-1,rate,rate@POST@/rate.Rate/GetRates,108
4,us-south-1,geo,geo@POST@/geo.Geo/Nearby,131
4,us-south-1,slateingress,slateingress@GET@/recommendations,101
4,us-south-1,slateingress,slateingress@GET@/hotels,101
4,us-south-1,slateingress,slateingress@POST@/user,105
4,us-south-1,slateingress,slateingress@POST@/reservation,105
4,us-south-1,frontend,frontend@POST@/user,110
4,us-south-1,frontend,frontend@GET@/recommendations,97
4,us-south-1,frontend,frontend@GET@/hotels,144
4,us-south-1,frontend,frontend@POST@/reservation,98
5,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,116
5,us-east-1,search,search@POST@/search.Search/Nearby,112
5,us-east-1,user,user@POST@/user.User/CheckUser,240
5,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,232
5,us-east-1,geo,geo@POST@/geo.Geo/Nearby,114
5,us-east-1,rate,rate@POST@/rate.Rate/GetRates,112
5,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,120
5,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,137
5,us-east-1,frontend,frontend@GET@/recommendations,123
5,us-east-1,frontend,frontend@POST@/user,99
