Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-778b8cdffc-hxbfs,consul,10,35
default,consul-778b8cdffc-hxbfs,istio-proxy,3,95
default,frontend-us-central-1-5f5fbd469d-btwwh,hotel-reserv-frontend,13,7
default,frontend-us-central-1-5f5fbd469d-btwwh,istio-proxy,251,97
default,frontend-us-central-1-5f5fbd469d-h2chl,hotel-reserv-frontend,48,7
default,frontend-us-central-1-5f5fbd469d-h2chl,istio-proxy,4,94
default,frontend-us-east-1-d9954567d-67dd2,hotel-reserv-frontend,53,7
default,frontend-us-east-1-d9954567d-67dd2,istio-proxy,59,93
default,frontend-us-east-1-d9954567d-k2x46,hotel-reserv-frontend,44,7
default,frontend-us-east-1-d9954567d-k2x46,istio-proxy,52,93
default,frontend-us-south-1-778bf76d78-nkjtc,hotel-reserv-frontend,0,4
default,frontend-us-south-1-778bf76d78-nkjtc,istio-proxy,174,95
default,frontend-us-south-1-778bf76d78-xk2dv,hotel-reserv-frontend,0,4
default,frontend-us-south-1-778bf76d78-xk2dv,istio-proxy,94,93
default,frontend-us-west-1-7c9cff65d-rbk48,hotel-reserv-frontend,121,40
default,frontend-us-west-1-7c9cff65d-rbk48,istio-proxy,1017,167
default,frontend-us-west-1-7c9cff65d-s22bn,hotel-reserv-frontend,171,44
default,frontend-us-west-1-7c9cff65d-s22bn,istio-proxy,4,91
default,geo-us-central-1-79d4555bb5-76z4s,hotel-reserv-geo,13,8
default,geo-us-central-1-79d4555bb5-76z4s,istio-proxy,4,93
default,geo-us-central-1-79d4555bb5-r67wv,hotel-reserv-geo,0,5
default,geo-us-central-1-79d4555bb5-r67wv,istio-proxy,46,95
default,geo-us-east-1-6bdffb4dd9-6j2lf,hotel-reserv-geo,0,5
default,geo-us-east-1-6bdffb4dd9-6j2lf,istio-proxy,28,92
default,geo-us-east-1-6bdffb4dd9-gnxz8,hotel-reserv-geo,0,5
default,geo-us-east-1-6bdffb4dd9-gnxz8,istio-proxy,18,95
default,geo-us-south-1-856f5c987c-mx4ld,hotel-reserv-geo,13,8
default,geo-us-south-1-856f5c987c-mx4ld,istio-proxy,17,93
default,geo-us-south-1-856f5c987c-r27lk,hotel-reserv-geo,7,7
default,geo-us-south-1-856f5c987c-r27lk,istio-proxy,15,93
default,geo-us-west-1-7bbc645f9c-zfqxj,hotel-reserv-geo,39,9
default,geo-us-west-1-7bbc645f9c-zfqxj,istio-proxy,78,93
default,geo-us-west-1-7bbc645f9c-zjhsn,hotel-reserv-geo,0,10
default,geo-us-west-1-7bbc645f9c-zjhsn,istio-proxy,127,93
default,jaeger-68769b6849-dcx9v,hotel-reserv-jaeger,0,9
default,jaeger-68769b6849-dcx9v,istio-proxy,3,93
default,memcached-profile-us-central-1-667d68586-mpnzj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-667d68586-mpnzj,istio-proxy,4,94
default,memcached-profile-us-central-1-667d68586-s25lt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-667d68586-s25lt,istio-proxy,4,93
default,memcached-profile-us-east-1-969cbb49-477p7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-969cbb49-477p7,istio-proxy,4,93
default,memcached-profile-us-east-1-969cbb49-jr5zz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-969cbb49-jr5zz,istio-proxy,3,90
default,memcached-profile-us-south-1-5c74cc7b65-7szxx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5c74cc7b65-7szxx,istio-proxy,5,93
default,memcached-profile-us-south-1-5c74cc7b65-p5b2b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5c74cc7b65-p5b2b,istio-proxy,4,93
default,memcached-profile-us-west-1-6b97cdb7c-nd7hm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6b97cdb7c-nd7hm,istio-proxy,4,91
default,memcached-profile-us-west-1-6b97cdb7c-sr4vj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6b97cdb7c-sr4vj,istio-proxy,4,90
default,memcached-rate-us-central-1-6d57ff4d77-7svst,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6d57ff4d77-7svst,istio-proxy,4,91
default,memcached-rate-us-central-1-6d57ff4d77-flhjr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6d57ff4d77-flhjr,istio-proxy,4,91
default,memcached-rate-us-east-1-646956648b-cmv6b,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-646956648b-cmv6b,istio-proxy,4,92
default,memcached-rate-us-east-1-646956648b-ct4db,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-646956648b-ct4db,istio-proxy,4,91
default,memcached-rate-us-south-1-6f65cb488b-cbsx5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6f65cb488b-cbsx5,istio-proxy,4,92
default,memcached-rate-us-south-1-6f65cb488b-h5749,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6f65cb488b-h5749,istio-proxy,4,94
default,memcached-rate-us-west-1-7d6cbff56b-4nf7v,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7d6cbff56b-4nf7v,istio-proxy,4,92
default,memcached-rate-us-west-1-7d6cbff56b-n79qq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7d6cbff56b-n79qq,istio-proxy,4,91
default,memcached-reserve-us-central-1-c856ffc6d-6cfq7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c856ffc6d-6cfq7,istio-proxy,4,91
default,memcached-reserve-us-central-1-c856ffc6d-g72wq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c856ffc6d-g72wq,istio-proxy,4,92
default,memcached-reserve-us-east-1-7dbb67944f-8lmzw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-7dbb67944f-8lmzw,istio-proxy,4,91
default,memcached-reserve-us-east-1-7dbb67944f-c7b27,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-7dbb67944f-c7b27,istio-proxy,4,92
default,memcached-reserve-us-south-1-6cbf59b8ff-7tz2h,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6cbf59b8ff-7tz2h,istio-proxy,4,91
default,memcached-reserve-us-south-1-6cbf59b8ff-qj7zv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6cbf59b8ff-qj7zv,istio-proxy,4,90
default,memcached-reserve-us-west-1-547fd7546f-kvnzx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-547fd7546f-kvnzx,istio-proxy,4,93
default,memcached-reserve-us-west-1-547fd7546f-zdmv7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-547fd7546f-zdmv7,istio-proxy,3,91
default,mongodb-geo-us-central-1-76bc5b7458-fzpk7,hotel-reserv-geo-mongo,4,158
default,mongodb-geo-us-central-1-76bc5b7458-fzpk7,istio-proxy,4,93
default,mongodb-geo-us-east-1-d8ff9d967-m7gpq,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-east-1-d8ff9d967-m7gpq,istio-proxy,4,92
default,mongodb-geo-us-south-1-55fd6fdf97-tv4nk,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-south-1-55fd6fdf97-tv4nk,istio-proxy,4,93
default,mongodb-geo-us-west-1-6d6677879f-dbzxs,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-west-1-6d6677879f-dbzxs,istio-proxy,4,91
default,mongodb-profile-us-central-1-5ffb877d99-fbjk4,hotel-reserv-profile-mongo,25,162
default,mongodb-profile-us-central-1-5ffb877d99-fbjk4,istio-proxy,19,94
default,mongodb-profile-us-east-1-84945569c4-gzvm4,hotel-reserv-profile-mongo,3,159
default,mongodb-profile-us-east-1-84945569c4-gzvm4,istio-proxy,14,91
default,mongodb-profile-us-south-1-865fc57cd6-v69fs,hotel-reserv-profile-mongo,38,162
default,mongodb-profile-us-south-1-865fc57cd6-v69fs,istio-proxy,4,92
default,mongodb-profile-us-west-1-6478787466-f4s5p,hotel-reserv-profile-mongo,3,157
default,mongodb-profile-us-west-1-6478787466-f4s5p,istio-proxy,4,93
default,mongodb-rate-us-central-1-58fcb98d8f-6f7gk,hotel-reserv-rate-mongo,3,159
