Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-778b8cdffc-hxbfs,consul,12,35
default,consul-778b8cdffc-hxbfs,istio-proxy,3,95
default,frontend-us-central-1-5f5fbd469d-btwwh,hotel-reserv-frontend,271,8
default,frontend-us-central-1-5f5fbd469d-btwwh,istio-proxy,714,97
default,frontend-us-central-1-5f5fbd469d-h2chl,hotel-reserv-frontend,281,8
default,frontend-us-central-1-5f5fbd469d-h2chl,istio-proxy,444,96
default,frontend-us-east-1-d9954567d-67dd2,hotel-reserv-frontend,211,8
default,frontend-us-east-1-d9954567d-67dd2,istio-proxy,521,94
default,frontend-us-east-1-d9954567d-k2x46,hotel-reserv-frontend,210,8
default,frontend-us-east-1-d9954567d-k2x46,istio-proxy,523,93
default,frontend-us-south-1-778bf76d78-nkjtc,hotel-reserv-frontend,235,8
default,frontend-us-south-1-778bf76d78-nkjtc,istio-proxy,654,96
default,frontend-us-south-1-778bf76d78-xk2dv,hotel-reserv-frontend,191,8
default,frontend-us-south-1-778bf76d78-xk2dv,istio-proxy,654,94
default,frontend-us-west-1-7c9cff65d-rbk48,hotel-reserv-frontend,529,36
default,frontend-us-west-1-7c9cff65d-rbk48,istio-proxy,1793,167
default,frontend-us-west-1-7c9cff65d-s22bn,hotel-reserv-frontend,708,37
default,frontend-us-west-1-7c9cff65d-s22bn,istio-proxy,1930,161
default,geo-us-central-1-79d4555bb5-76z4s,hotel-reserv-geo,57,8
default,geo-us-central-1-79d4555bb5-76z4s,istio-proxy,83,93
default,geo-us-central-1-79d4555bb5-r67wv,hotel-reserv-geo,35,8
default,geo-us-central-1-79d4555bb5-r67wv,istio-proxy,46,95
default,geo-us-east-1-6bdffb4dd9-6j2lf,hotel-reserv-geo,25,8
default,geo-us-east-1-6bdffb4dd9-6j2lf,istio-proxy,63,92
default,geo-us-east-1-6bdffb4dd9-gnxz8,hotel-reserv-geo,30,7
default,geo-us-east-1-6bdffb4dd9-gnxz8,istio-proxy,68,95
default,geo-us-south-1-856f5c987c-mx4ld,hotel-reserv-geo,52,8
default,geo-us-south-1-856f5c987c-mx4ld,istio-proxy,99,93
default,geo-us-south-1-856f5c987c-r27lk,hotel-reserv-geo,54,8
default,geo-us-south-1-856f5c987c-r27lk,istio-proxy,103,93
default,geo-us-west-1-7bbc645f9c-zfqxj,hotel-reserv-geo,86,10
default,geo-us-west-1-7bbc645f9c-zfqxj,istio-proxy,174,93
default,geo-us-west-1-7bbc645f9c-zjhsn,hotel-reserv-geo,82,10
default,geo-us-west-1-7bbc645f9c-zjhsn,istio-proxy,155,93
default,jaeger-68769b6849-dcx9v,hotel-reserv-jaeger,213,218
default,jaeger-68769b6849-dcx9v,istio-proxy,4,93
default,memcached-profile-us-central-1-667d68586-mpnzj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-667d68586-mpnzj,istio-proxy,4,94
