Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-778b8cdffc-hxbfs,consul,12,35
default,consul-778b8cdffc-hxbfs,istio-proxy,4,95
default,frontend-us-central-1-5f5fbd469d-btwwh,hotel-reserv-frontend,278,8
default,frontend-us-central-1-5f5fbd469d-btwwh,istio-proxy,689,97
default,frontend-us-central-1-5f5fbd469d-h2chl,hotel-reserv-frontend,280,8
default,frontend-us-central-1-5f5fbd469d-h2chl,istio-proxy,699,96
default,frontend-us-east-1-d9954567d-67dd2,hotel-reserv-frontend,156,8
default,frontend-us-east-1-d9954567d-67dd2,istio-proxy,344,95
default,frontend-us-east-1-d9954567d-k2x46,hotel-reserv-frontend,151,8
default,frontend-us-east-1-d9954567d-k2x46,istio-proxy,388,94
default,frontend-us-south-1-778bf76d78-nkjtc,hotel-reserv-frontend,182,8
default,frontend-us-south-1-778bf76d78-nkjtc,istio-proxy,395,96
default,frontend-us-south-1-778bf76d78-xk2dv,hotel-reserv-frontend,262,9
default,frontend-us-south-1-778bf76d78-xk2dv,istio-proxy,556,96
default,frontend-us-west-1-7c9cff65d-rbk48,hotel-reserv-frontend,525,37
default,frontend-us-west-1-7c9cff65d-rbk48,istio-proxy,1318,170
default,frontend-us-west-1-7c9cff65d-s22bn,hotel-reserv-frontend,708,37
default,frontend-us-west-1-7c9cff65d-s22bn,istio-proxy,2447,167
default,geo-us-central-1-79d4555bb5-76z4s,hotel-reserv-geo,34,8
default,geo-us-central-1-79d4555bb5-76z4s,istio-proxy,67,93
default,geo-us-central-1-79d4555bb5-r67wv,hotel-reserv-geo,58,8
default,geo-us-central-1-79d4555bb5-r67wv,istio-proxy,115,95
default,geo-us-east-1-6bdffb4dd9-6j2lf,hotel-reserv-geo,27,8
default,geo-us-east-1-6bdffb4dd9-6j2lf,istio-proxy,57,92
default,geo-us-east-1-6bdffb4dd9-gnxz8,hotel-reserv-geo,36,8
default,geo-us-east-1-6bdffb4dd9-gnxz8,istio-proxy,68,95
default,geo-us-south-1-856f5c987c-mx4ld,hotel-reserv-geo,41,8
default,geo-us-south-1-856f5c987c-mx4ld,istio-proxy,100,93
default,geo-us-south-1-856f5c987c-r27lk,hotel-reserv-geo,54,8
default,geo-us-south-1-856f5c987c-r27lk,istio-proxy,107,93
default,geo-us-west-1-7bbc645f9c-zfqxj,hotel-reserv-geo,86,10
default,geo-us-west-1-7bbc645f9c-zfqxj,istio-proxy,132,93
default,geo-us-west-1-7bbc645f9c-zjhsn,hotel-reserv-geo,53,10
default,geo-us-west-1-7bbc645f9c-zjhsn,istio-proxy,98,93
default,jaeger-68769b6849-dcx9v,hotel-reserv-jaeger,229,328
default,jaeger-68769b6849-dcx9v,istio-proxy,6,93
default,memcached-profile-us-central-1-667d68586-mpnzj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-667d68586-mpnzj,istio-proxy,4,94
default,memcached-profile-us-central-1-667d68586-s25lt,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-667d68586-s25lt,istio-proxy,5,93
default,memcached-profile-us-east-1-969cbb49-477p7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-969cbb49-477p7,istio-proxy,6,93
default,memcached-profile-us-east-1-969cbb49-jr5zz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-969cbb49-jr5zz,istio-proxy,6,90
default,memcached-profile-us-south-1-5c74cc7b65-7szxx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5c74cc7b65-7szxx,istio-proxy,6,93
default,memcached-profile-us-south-1-5c74cc7b65-p5b2b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5c74cc7b65-p5b2b,istio-proxy,4,93
default,memcached-profile-us-west-1-6b97cdb7c-nd7hm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6b97cdb7c-nd7hm,istio-proxy,4,91
default,memcached-profile-us-west-1-6b97cdb7c-sr4vj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6b97cdb7c-sr4vj,istio-proxy,5,90
default,memcached-rate-us-central-1-6d57ff4d77-7svst,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6d57ff4d77-7svst,istio-proxy,4,91
default,memcached-rate-us-central-1-6d57ff4d77-flhjr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-6d57ff4d77-flhjr,istio-proxy,7,91
default,memcached-rate-us-east-1-646956648b-cmv6b,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-646956648b-cmv6b,istio-proxy,5,92
default,memcached-rate-us-east-1-646956648b-ct4db,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-646956648b-ct4db,istio-proxy,6,91
default,memcached-rate-us-south-1-6f65cb488b-cbsx5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6f65cb488b-cbsx5,istio-proxy,4,92
default,memcached-rate-us-south-1-6f65cb488b-h5749,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6f65cb488b-h5749,istio-proxy,4,94
default,memcached-rate-us-west-1-7d6cbff56b-4nf7v,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7d6cbff56b-4nf7v,istio-proxy,6,92
default,memcached-rate-us-west-1-7d6cbff56b-n79qq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7d6cbff56b-n79qq,istio-proxy,5,91
default,memcached-reserve-us-central-1-c856ffc6d-6cfq7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c856ffc6d-6cfq7,istio-proxy,4,91
default,memcached-reserve-us-central-1-c856ffc6d-g72wq,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c856ffc6d-g72wq,istio-proxy,4,92
default,memcached-reserve-us-east-1-7dbb67944f-8lmzw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-7dbb67944f-8lmzw,istio-proxy,4,91
default,memcached-reserve-us-east-1-7dbb67944f-c7b27,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-7dbb67944f-c7b27,istio-proxy,6,92
default,memcached-reserve-us-south-1-6cbf59b8ff-7tz2h,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6cbf59b8ff-7tz2h,istio-proxy,4,91
default,memcached-reserve-us-south-1-6cbf59b8ff-qj7zv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-6cbf59b8ff-qj7zv,istio-proxy,4,91
default,memcached-reserve-us-west-1-547fd7546f-kvnzx,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-547fd7546f-kvnzx,istio-proxy,5,93
