counter,region,service,endpoint,rps
1,us-south-1,user,user@POST@/user.User/CheckUser,214
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,42
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,9
1,us-south-1,frontend,frontend@POST@/user,-1239
1,us-south-1,frontend,frontend@POST@/reservation,72
1,us-south-1,frontend,frontend@GET@/hotels,48
1,us-south-1,frontend,frontend@GET@/recommendations,84
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,25
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,42
1,us-south-1,search,search@POST@/search.Search/Nearby,34
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,54
1,us-south-1,slateingress,slateingress@POST@/reservation,64
1,us-south-1,slateingress,slateingress@POST@/user,82
1,us-south-1,slateingress,slateingress@GET@/recommendations,69
1,us-south-1,slateingress,slateingress@GET@/hotels,35
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,68
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,606
1,us-west-1,frontend,frontend@POST@/user,154
1,us-west-1,frontend,frontend@POST@/reservation,405
1,us-west-1,frontend,frontend@GET@/recommendations,161
1,us-west-1,frontend,frontend@GET@/hotels,595
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,426
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,465
1,us-west-1,user,user@POST@/user.User/CheckUser,549
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,156
1,us-west-1,search,search@POST@/search.Search/Nearby,546
1,us-west-1,slateingress,slateingress@POST@/user,179
1,us-west-1,slateingress,slateingress@POST@/reservation,430
1,us-west-1,slateingress,slateingress@GET@/recommendations,172
1,us-west-1,slateingress,slateingress@GET@/hotels,555
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,553
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,600
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,216
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,112
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,101
1,us-east-1,frontend,frontend@POST@/reservation,106
1,us-east-1,frontend,frontend@GET@/hotels,100
1,us-east-1,frontend,frontend@POST@/user,112
1,us-east-1,frontend,frontend@GET@/recommendations,109
