Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-5bf89854fc-jzfmn,consul,13,34
default,consul-5bf89854fc-jzfmn,istio-proxy,4,95
default,frontend-us-central-1-544956cf4-jbhfg,hotel-reserv-frontend,294,8
default,frontend-us-central-1-544956cf4-jbhfg,istio-proxy,660,95
default,frontend-us-central-1-544956cf4-zw9lk,hotel-reserv-frontend,145,9
default,frontend-us-central-1-544956cf4-zw9lk,istio-proxy,377,93
default,frontend-us-east-1-7d99795f7f-79vjj,hotel-reserv-frontend,204,21
default,frontend-us-east-1-7d99795f7f-79vjj,istio-proxy,635,134
default,frontend-us-east-1-7d99795f7f-krzpz,hotel-reserv-frontend,11,20
default,frontend-us-east-1-7d99795f7f-krzpz,istio-proxy,90,131
default,frontend-us-south-1-956674577-fd7kv,hotel-reserv-frontend,74,14
default,frontend-us-south-1-956674577-fd7kv,istio-proxy,505,108
default,frontend-us-south-1-956674577-mt84w,hotel-reserv-frontend,131,20
default,frontend-us-south-1-956674577-mt84w,istio-proxy,503,123
default,frontend-us-west-1-5fb58d77c9-gzxfw,hotel-reserv-frontend,272,31
default,frontend-us-west-1-5fb58d77c9-gzxfw,istio-proxy,1128,148
default,frontend-us-west-1-5fb58d77c9-pgbcz,hotel-reserv-frontend,566,32
default,frontend-us-west-1-5fb58d77c9-pgbcz,istio-proxy,1927,148
default,geo-us-central-1-7dd58f96c8-42clz,hotel-reserv-geo,71,8
default,geo-us-central-1-7dd58f96c8-42clz,istio-proxy,85,91
default,geo-us-central-1-7dd58f96c8-zz59s,hotel-reserv-geo,45,8
default,geo-us-central-1-7dd58f96c8-zz59s,istio-proxy,126,95
default,geo-us-east-1-66ffc86787-44x8l,hotel-reserv-geo,49,8
default,geo-us-east-1-66ffc86787-44x8l,istio-proxy,88,93
default,geo-us-east-1-66ffc86787-sw96z,hotel-reserv-geo,45,8
default,geo-us-east-1-66ffc86787-sw96z,istio-proxy,68,93
default,geo-us-south-1-545755f899-4rfpw,hotel-reserv-geo,39,8
default,geo-us-south-1-545755f899-4rfpw,istio-proxy,121,91
default,geo-us-south-1-545755f899-bsmxr,hotel-reserv-geo,30,8
default,geo-us-south-1-545755f899-bsmxr,istio-proxy,81,93
default,geo-us-west-1-c99bf56cf-cd59n,hotel-reserv-geo,76,10
default,geo-us-west-1-c99bf56cf-cd59n,istio-proxy,252,94
default,geo-us-west-1-c99bf56cf-mbhxh,hotel-reserv-geo,63,10
default,geo-us-west-1-c99bf56cf-mbhxh,istio-proxy,135,93
default,jaeger-75b5874979-9r7km,hotel-reserv-jaeger,250,139
default,jaeger-75b5874979-9r7km,istio-proxy,4,92
default,memcached-profile-us-central-1-5f9bf998b4-d9624,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5f9bf998b4-d9624,istio-proxy,4,91
default,memcached-profile-us-central-1-5f9bf998b4-kqtbs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5f9bf998b4-kqtbs,istio-proxy,4,91
default,memcached-profile-us-east-1-547d988675-9wbz5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-547d988675-9wbz5,istio-proxy,4,91
