Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-5bf89854fc-jzfmn,consul,10,34
default,consul-5bf89854fc-jzfmn,istio-proxy,7,95
default,frontend-us-central-1-544956cf4-jbhfg,hotel-reserv-frontend,0,4
default,frontend-us-central-1-544956cf4-jbhfg,istio-proxy,4,93
default,frontend-us-central-1-544956cf4-zw9lk,hotel-reserv-frontend,0,4
default,frontend-us-central-1-544956cf4-zw9lk,istio-proxy,3,91
default,frontend-us-east-1-7d99795f7f-79vjj,hotel-reserv-frontend,0,18
default,frontend-us-east-1-7d99795f7f-79vjj,istio-proxy,80,134
default,frontend-us-east-1-7d99795f7f-krzpz,hotel-reserv-frontend,11,20
default,frontend-us-east-1-7d99795f7f-krzpz,istio-proxy,90,131
default,frontend-us-south-1-956674577-fd7kv,hotel-reserv-frontend,0,11
default,frontend-us-south-1-956674577-fd7kv,istio-proxy,3,107
default,frontend-us-south-1-956674577-mt84w,hotel-reserv-frontend,0,15
default,frontend-us-south-1-956674577-mt84w,istio-proxy,4,123
default,frontend-us-west-1-5fb58d77c9-gzxfw,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5fb58d77c9-gzxfw,istio-proxy,6,90
default,frontend-us-west-1-5fb58d77c9-pgbcz,hotel-reserv-frontend,32,14
default,frontend-us-west-1-5fb58d77c9-pgbcz,istio-proxy,4,95
default,geo-us-central-1-7dd58f96c8-42clz,hotel-reserv-geo,3,6
default,geo-us-central-1-7dd58f96c8-42clz,istio-proxy,3,91
default,geo-us-central-1-7dd58f96c8-zz59s,hotel-reserv-geo,0,6
default,geo-us-central-1-7dd58f96c8-zz59s,istio-proxy,7,94
default,geo-us-east-1-66ffc86787-44x8l,hotel-reserv-geo,2,6
default,geo-us-east-1-66ffc86787-44x8l,istio-proxy,5,92
default,geo-us-east-1-66ffc86787-sw96z,hotel-reserv-geo,1,6
default,geo-us-east-1-66ffc86787-sw96z,istio-proxy,4,93
default,geo-us-south-1-545755f899-4rfpw,hotel-reserv-geo,0,6
default,geo-us-south-1-545755f899-4rfpw,istio-proxy,3,91
default,geo-us-south-1-545755f899-bsmxr,hotel-reserv-geo,0,6
default,geo-us-south-1-545755f899-bsmxr,istio-proxy,3,92
default,geo-us-west-1-c99bf56cf-cd59n,hotel-reserv-geo,0,6
default,geo-us-west-1-c99bf56cf-cd59n,istio-proxy,3,93
default,geo-us-west-1-c99bf56cf-mbhxh,hotel-reserv-geo,0,10
default,geo-us-west-1-c99bf56cf-mbhxh,istio-proxy,4,92
default,jaeger-75b5874979-9r7km,hotel-reserv-jaeger,0,11
default,jaeger-75b5874979-9r7km,istio-proxy,3,92
default,memcached-profile-us-central-1-5f9bf998b4-d9624,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5f9bf998b4-d9624,istio-proxy,3,91
default,memcached-profile-us-central-1-5f9bf998b4-kqtbs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5f9bf998b4-kqtbs,istio-proxy,3,91
default,memcached-profile-us-east-1-547d988675-9wbz5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-547d988675-9wbz5,istio-proxy,4,91
default,memcached-profile-us-east-1-547d988675-vs25t,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-547d988675-vs25t,istio-proxy,7,92
default,memcached-profile-us-south-1-7fb77f7fbc-gv7vc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7fb77f7fbc-gv7vc,istio-proxy,3,91
default,memcached-profile-us-south-1-7fb77f7fbc-hrrxd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7fb77f7fbc-hrrxd,istio-proxy,7,93
default,memcached-profile-us-west-1-54dfd6896c-bvgh9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54dfd6896c-bvgh9,istio-proxy,7,94
default,memcached-profile-us-west-1-54dfd6896c-cg6jh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54dfd6896c-cg6jh,istio-proxy,3,93
default,memcached-rate-us-central-1-859fc579bc-58c48,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-859fc579bc-58c48,istio-proxy,4,93
default,memcached-rate-us-central-1-859fc579bc-zzbc9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-859fc579bc-zzbc9,istio-proxy,4,92
default,memcached-rate-us-east-1-68675cd58f-z72dj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-68675cd58f-z72dj,istio-proxy,5,92
default,memcached-rate-us-east-1-68675cd58f-zqdmt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-68675cd58f-zqdmt,istio-proxy,4,92
default,memcached-rate-us-south-1-dd46cc948-qhgk2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-dd46cc948-qhgk2,istio-proxy,3,92
default,memcached-rate-us-south-1-dd46cc948-rxb9c,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-dd46cc948-rxb9c,istio-proxy,3,94
default,memcached-rate-us-west-1-64df46d56-47pl8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-64df46d56-47pl8,istio-proxy,4,91
default,memcached-rate-us-west-1-64df46d56-rmrl4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-64df46d56-rmrl4,istio-proxy,4,94
default,memcached-reserve-us-central-1-69fcf95894-n225r,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-69fcf95894-n225r,istio-proxy,3,93
default,memcached-reserve-us-central-1-69fcf95894-vm8m9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-69fcf95894-vm8m9,istio-proxy,7,93
default,memcached-reserve-us-east-1-7875cd4974-fdbn6,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-7875cd4974-fdbn6,istio-proxy,4,91
default,memcached-reserve-us-east-1-7875cd4974-r5dzs,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-7875cd4974-r5dzs,istio-proxy,4,90
default,memcached-reserve-us-south-1-d49d68fc-bwhtd,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-d49d68fc-bwhtd,istio-proxy,5,92
default,memcached-reserve-us-south-1-d49d68fc-lzzbv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-d49d68fc-lzzbv,istio-proxy,4,92
default,memcached-reserve-us-west-1-749d4cff79-6t8cv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-749d4cff79-6t8cv,istio-proxy,4,92
default,memcached-reserve-us-west-1-749d4cff79-mnmkr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-749d4cff79-mnmkr,istio-proxy,4,91
default,mongodb-geo-us-central-1-896599bd-kdsmj,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-896599bd-kdsmj,istio-proxy,3,91
default,mongodb-geo-us-east-1-5cbb8dc5dd-k44dq,hotel-reserv-geo-mongo,3,158
default,mongodb-geo-us-east-1-5cbb8dc5dd-k44dq,istio-proxy,4,93
default,mongodb-geo-us-south-1-54b554c84c-f799c,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-south-1-54b554c84c-f799c,istio-proxy,4,94
default,mongodb-geo-us-west-1-69dd7b5fb5-bcl65,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-west-1-69dd7b5fb5-bcl65,istio-proxy,4,93
default,mongodb-profile-us-central-1-7846c55bfc-jx4xr,hotel-reserv-profile-mongo,3,159
default,mongodb-profile-us-central-1-7846c55bfc-jx4xr,istio-proxy,4,91
default,mongodb-profile-us-east-1-564cf6b648-j59wt,hotel-reserv-profile-mongo,4,162
default,mongodb-profile-us-east-1-564cf6b648-j59wt,istio-proxy,4,93
default,mongodb-profile-us-south-1-756bbb65fb-4hlzv,hotel-reserv-profile-mongo,4,162
default,mongodb-profile-us-south-1-756bbb65fb-4hlzv,istio-proxy,4,93
default,mongodb-profile-us-west-1-5fb87c9b84-d28dp,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-west-1-5fb87c9b84-d28dp,istio-proxy,6,94
default,mongodb-rate-us-central-1-787c9d5887-d7qg8,hotel-reserv-rate-mongo,3,160
default,mongodb-rate-us-central-1-787c9d5887-d7qg8,istio-proxy,5,91
default,mongodb-rate-us-east-1-57cbfc6b4b-rl94k,hotel-reserv-rate-mongo,3,158
default,mongodb-rate-us-east-1-57cbfc6b4b-rl94k,istio-proxy,6,91
default,mongodb-rate-us-south-1-68cf9db9c6-f59fx,hotel-reserv-rate-mongo,3,157
default,mongodb-rate-us-south-1-68cf9db9c6-f59fx,istio-proxy,4,92
default,mongodb-rate-us-west-1-79875965b6-x6z7c,hotel-reserv-rate-mongo,3,158
default,mongodb-rate-us-west-1-79875965b6-x6z7c,istio-proxy,5,92
default,mongodb-recommendation-us-central-1-65b64f6655-v9pkr,hotel-reserv-recommendation-mongo,3,163
default,mongodb-recommendation-us-central-1-65b64f6655-v9pkr,istio-proxy,4,93
default,mongodb-recommendation-us-east-1-79fc64c465-bw685,hotel-reserv-recommendation-mongo,3,163
default,mongodb-recommendation-us-east-1-79fc64c465-bw685,istio-proxy,4,95
default,mongodb-recommendation-us-south-1-664d447c8d-srqjr,hotel-reserv-recommendation-mongo,3,165
default,mongodb-recommendation-us-south-1-664d447c8d-srqjr,istio-proxy,4,94
default,mongodb-recommendation-us-west-1-6d9bc59448-4xcgp,hotel-reserv-recommendation-mongo,3,161
default,mongodb-recommendation-us-west-1-6d9bc59448-4xcgp,istio-proxy,3,95
default,mongodb-reservation-us-central-1-5bd7885674-n68dk,hotel-reserv-reservation-mongo,3,162
default,mongodb-reservation-us-central-1-5bd7885674-n68dk,istio-proxy,4,90
default,mongodb-reservation-us-east-1-584f4468d6-jqp2m,hotel-reserv-reservation-mongo,4,161
default,mongodb-reservation-us-east-1-584f4468d6-jqp2m,istio-proxy,4,91
default,mongodb-reservation-us-south-1-8f8d57478-cd9sw,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-south-1-8f8d57478-cd9sw,istio-proxy,4,90
default,mongodb-reservation-us-west-1-85475cf654-s258g,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-west-1-85475cf654-s258g,istio-proxy,5,94
default,mongodb-user-us-central-1-5995cbd94d-lpx8x,hotel-reserv-user-mongo,3,189
default,mongodb-user-us-central-1-5995cbd94d-lpx8x,istio-proxy,11,93
default,mongodb-user-us-east-1-9cc999576-gth77,hotel-reserv-user-mongo,3,157
default,mongodb-user-us-east-1-9cc999576-gth77,istio-proxy,3,94
default,mongodb-user-us-south-1-79c9f76f9-trhct,hotel-reserv-user-mongo,3,158
default,mongodb-user-us-south-1-79c9f76f9-trhct,istio-proxy,7,91
default,mongodb-user-us-west-1-77fd4c778f-jfffb,hotel-reserv-user-mongo,3,215
default,mongodb-user-us-west-1-77fd4c778f-jfffb,istio-proxy,4,93
default,profile-us-central-1-f798974c5-7q2tw,hotel-reserv-profile,14,7
default,profile-us-central-1-f798974c5-7q2tw,istio-proxy,4,91
default,profile-us-central-1-f798974c5-tfqrc,hotel-reserv-profile,3,7
default,profile-us-central-1-f798974c5-tfqrc,istio-proxy,4,93
default,profile-us-east-1-68579d8487-p27fs,hotel-reserv-profile,0,5
default,profile-us-east-1-68579d8487-p27fs,istio-proxy,4,90
default,profile-us-east-1-68579d8487-zlfb2,hotel-reserv-profile,0,5
default,profile-us-east-1-68579d8487-zlfb2,istio-proxy,4,91
default,profile-us-south-1-7f589474c9-8fpjz,hotel-reserv-profile,0,3
default,profile-us-south-1-7f589474c9-8fpjz,istio-proxy,3,91
default,profile-us-south-1-7f589474c9-8xl4j,hotel-reserv-profile,0,3
default,profile-us-south-1-7f589474c9-8xl4j,istio-proxy,3,92
default,profile-us-west-1-c96d774d8-h5b47,hotel-reserv-profile,0,5
default,profile-us-west-1-c96d774d8-h5b47,istio-proxy,7,91
default,profile-us-west-1-c96d774d8-mrd9m,hotel-reserv-profile,0,5
default,profile-us-west-1-c96d774d8-mrd9m,istio-proxy,7,91
