Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-5bf89854fc-jzfmn,consul,10,34
default,consul-5bf89854fc-jzfmn,istio-proxy,4,95
default,frontend-us-central-1-544956cf4-jbhfg,hotel-reserv-frontend,323,8
default,frontend-us-central-1-544956cf4-jbhfg,istio-proxy,877,97
default,frontend-us-central-1-544956cf4-zw9lk,hotel-reserv-frontend,148,20
default,frontend-us-central-1-544956cf4-zw9lk,istio-proxy,492,128
default,frontend-us-east-1-7d99795f7f-79vjj,hotel-reserv-frontend,250,21
default,frontend-us-east-1-7d99795f7f-79vjj,istio-proxy,570,134
default,frontend-us-east-1-7d99795f7f-krzpz,hotel-reserv-frontend,248,23
default,frontend-us-east-1-7d99795f7f-krzpz,istio-proxy,658,132
default,frontend-us-south-1-956674577-fd7kv,hotel-reserv-frontend,300,15
default,frontend-us-south-1-956674577-fd7kv,istio-proxy,750,109
default,frontend-us-south-1-956674577-mt84w,hotel-reserv-frontend,296,21
default,frontend-us-south-1-956674577-mt84w,istio-proxy,742,123
default,frontend-us-west-1-5fb58d77c9-gzxfw,hotel-reserv-frontend,541,31
default,frontend-us-west-1-5fb58d77c9-gzxfw,istio-proxy,1642,150
default,frontend-us-west-1-5fb58d77c9-pgbcz,hotel-reserv-frontend,566,32
default,frontend-us-west-1-5fb58d77c9-pgbcz,istio-proxy,1626,151
default,geo-us-central-1-7dd58f96c8-42clz,hotel-reserv-geo,50,8
default,geo-us-central-1-7dd58f96c8-42clz,istio-proxy,115,91
default,geo-us-central-1-7dd58f96c8-zz59s,hotel-reserv-geo,62,8
default,geo-us-central-1-7dd58f96c8-zz59s,istio-proxy,116,94
default,geo-us-east-1-66ffc86787-44x8l,hotel-reserv-geo,42,8
default,geo-us-east-1-66ffc86787-44x8l,istio-proxy,94,93
default,geo-us-east-1-66ffc86787-sw96z,hotel-reserv-geo,53,8
default,geo-us-east-1-66ffc86787-sw96z,istio-proxy,109,93
default,geo-us-south-1-545755f899-4rfpw,hotel-reserv-geo,66,8
default,geo-us-south-1-545755f899-4rfpw,istio-proxy,129,91
default,geo-us-south-1-545755f899-bsmxr,hotel-reserv-geo,68,8
default,geo-us-south-1-545755f899-bsmxr,istio-proxy,121,93
default,geo-us-west-1-c99bf56cf-cd59n,hotel-reserv-geo,87,11
default,geo-us-west-1-c99bf56cf-cd59n,istio-proxy,176,94
