Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-5bf89854fc-jzfmn,consul,10,35
default,consul-5bf89854fc-jzfmn,istio-proxy,3,95
default,frontend-us-central-1-544956cf4-jbhfg,hotel-reserv-frontend,323,8
default,frontend-us-central-1-544956cf4-jbhfg,istio-proxy,3,98
default,frontend-us-central-1-544956cf4-zw9lk,hotel-reserv-frontend,31,25
default,frontend-us-central-1-544956cf4-zw9lk,istio-proxy,5,128
default,frontend-us-east-1-7d99795f7f-79vjj,hotel-reserv-frontend,20,21
default,frontend-us-east-1-7d99795f7f-79vjj,istio-proxy,570,134
default,frontend-us-east-1-7d99795f7f-krzpz,hotel-reserv-frontend,181,23
default,frontend-us-east-1-7d99795f7f-krzpz,istio-proxy,278,132
default,frontend-us-south-1-956674577-fd7kv,hotel-reserv-frontend,107,16
default,frontend-us-south-1-956674577-fd7kv,istio-proxy,248,109
default,frontend-us-south-1-956674577-mt84w,hotel-reserv-frontend,178,20
default,frontend-us-south-1-956674577-mt84w,istio-proxy,333,123
default,frontend-us-west-1-5fb58d77c9-gzxfw,hotel-reserv-frontend,171,31
default,frontend-us-west-1-5fb58d77c9-gzxfw,istio-proxy,534,152
default,frontend-us-west-1-5fb58d77c9-pgbcz,hotel-reserv-frontend,244,32
default,frontend-us-west-1-5fb58d77c9-pgbcz,istio-proxy,610,153
default,geo-us-central-1-7dd58f96c8-42clz,hotel-reserv-geo,0,8
default,geo-us-central-1-7dd58f96c8-42clz,istio-proxy,10,91
default,geo-us-central-1-7dd58f96c8-zz59s,hotel-reserv-geo,62,8
default,geo-us-central-1-7dd58f96c8-zz59s,istio-proxy,5,94
default,geo-us-east-1-66ffc86787-44x8l,hotel-reserv-geo,42,8
default,geo-us-east-1-66ffc86787-44x8l,istio-proxy,17,93
default,geo-us-east-1-66ffc86787-sw96z,hotel-reserv-geo,15,8
default,geo-us-east-1-66ffc86787-sw96z,istio-proxy,36,93
default,geo-us-south-1-545755f899-4rfpw,hotel-reserv-geo,35,8
default,geo-us-south-1-545755f899-4rfpw,istio-proxy,50,91
default,geo-us-south-1-545755f899-bsmxr,hotel-reserv-geo,43,8
default,geo-us-south-1-545755f899-bsmxr,istio-proxy,4,93
default,geo-us-west-1-c99bf56cf-cd59n,hotel-reserv-geo,2,11
default,geo-us-west-1-c99bf56cf-cd59n,istio-proxy,9,94
default,geo-us-west-1-c99bf56cf-mbhxh,hotel-reserv-geo,43,10
default,geo-us-west-1-c99bf56cf-mbhxh,istio-proxy,72,93
default,jaeger-75b5874979-9r7km,hotel-reserv-jaeger,5,320
default,jaeger-75b5874979-9r7km,istio-proxy,3,92
default,memcached-profile-us-central-1-5f9bf998b4-d9624,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5f9bf998b4-d9624,istio-proxy,4,92
default,memcached-profile-us-central-1-5f9bf998b4-kqtbs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5f9bf998b4-kqtbs,istio-proxy,3,91
default,memcached-profile-us-east-1-547d988675-9wbz5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-547d988675-9wbz5,istio-proxy,3,91
default,memcached-profile-us-east-1-547d988675-vs25t,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-547d988675-vs25t,istio-proxy,4,91
default,memcached-profile-us-south-1-7fb77f7fbc-gv7vc,hotel-reserv-profile-mmc,0,1
