Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-5bf89854fc-jzfmn,consul,11,33
default,consul-5bf89854fc-jzfmn,istio-proxy,7,95
default,frontend-us-central-1-544956cf4-jbhfg,hotel-reserv-frontend,0,4
default,frontend-us-central-1-544956cf4-jbhfg,istio-proxy,7,93
default,frontend-us-central-1-544956cf4-zw9lk,hotel-reserv-frontend,0,4
default,frontend-us-central-1-544956cf4-zw9lk,istio-proxy,9,91
default,frontend-us-east-1-7d99795f7f-79vjj,hotel-reserv-frontend,0,18
default,frontend-us-east-1-7d99795f7f-79vjj,istio-proxy,6,134
default,frontend-us-east-1-7d99795f7f-krzpz,hotel-reserv-frontend,0,17
default,frontend-us-east-1-7d99795f7f-krzpz,istio-proxy,7,131
default,frontend-us-south-1-956674577-fd7kv,hotel-reserv-frontend,0,11
default,frontend-us-south-1-956674577-fd7kv,istio-proxy,8,107
default,frontend-us-south-1-956674577-mt84w,hotel-reserv-frontend,0,15
default,frontend-us-south-1-956674577-mt84w,istio-proxy,8,122
default,frontend-us-west-1-5fb58d77c9-gzxfw,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5fb58d77c9-gzxfw,istio-proxy,9,90
default,frontend-us-west-1-5fb58d77c9-pgbcz,hotel-reserv-frontend,0,4
default,frontend-us-west-1-5fb58d77c9-pgbcz,istio-proxy,8,95
default,geo-us-central-1-7dd58f96c8-42clz,hotel-reserv-geo,0,5
default,geo-us-central-1-7dd58f96c8-42clz,istio-proxy,8,91
default,geo-us-central-1-7dd58f96c8-zz59s,hotel-reserv-geo,0,6
default,geo-us-central-1-7dd58f96c8-zz59s,istio-proxy,9,94
default,geo-us-east-1-66ffc86787-44x8l,hotel-reserv-geo,0,6
default,geo-us-east-1-66ffc86787-44x8l,istio-proxy,10,92
default,geo-us-east-1-66ffc86787-sw96z,hotel-reserv-geo,0,6
default,geo-us-east-1-66ffc86787-sw96z,istio-proxy,8,92
default,geo-us-south-1-545755f899-4rfpw,hotel-reserv-geo,0,6
default,geo-us-south-1-545755f899-4rfpw,istio-proxy,10,91
default,geo-us-south-1-545755f899-bsmxr,hotel-reserv-geo,0,6
default,geo-us-south-1-545755f899-bsmxr,istio-proxy,9,92
default,geo-us-west-1-c99bf56cf-cd59n,hotel-reserv-geo,0,6
default,geo-us-west-1-c99bf56cf-cd59n,istio-proxy,10,93
default,geo-us-west-1-c99bf56cf-mbhxh,hotel-reserv-geo,0,10
default,geo-us-west-1-c99bf56cf-mbhxh,istio-proxy,9,92
default,jaeger-75b5874979-9r7km,hotel-reserv-jaeger,0,11
default,jaeger-75b5874979-9r7km,istio-proxy,7,92
default,memcached-profile-us-central-1-5f9bf998b4-d9624,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5f9bf998b4-d9624,istio-proxy,8,91
default,memcached-profile-us-central-1-5f9bf998b4-kqtbs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5f9bf998b4-kqtbs,istio-proxy,7,91
default,memcached-profile-us-east-1-547d988675-9wbz5,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-547d988675-9wbz5,istio-proxy,6,91
default,memcached-profile-us-east-1-547d988675-vs25t,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-547d988675-vs25t,istio-proxy,7,92
default,memcached-profile-us-south-1-7fb77f7fbc-gv7vc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7fb77f7fbc-gv7vc,istio-proxy,8,91
default,memcached-profile-us-south-1-7fb77f7fbc-hrrxd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7fb77f7fbc-hrrxd,istio-proxy,9,93
default,memcached-profile-us-west-1-54dfd6896c-bvgh9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54dfd6896c-bvgh9,istio-proxy,7,94
default,memcached-profile-us-west-1-54dfd6896c-cg6jh,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54dfd6896c-cg6jh,istio-proxy,10,93
default,memcached-rate-us-central-1-859fc579bc-58c48,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-859fc579bc-58c48,istio-proxy,8,93
default,memcached-rate-us-central-1-859fc579bc-zzbc9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-859fc579bc-zzbc9,istio-proxy,10,92
default,memcached-rate-us-east-1-68675cd58f-z72dj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-68675cd58f-z72dj,istio-proxy,9,92
default,memcached-rate-us-east-1-68675cd58f-zqdmt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-68675cd58f-zqdmt,istio-proxy,7,92
