counter,region,service,endpoint,rps
1,us-central-1,user,user@POST@/user.User/CheckUser,223
1,us-central-1,slateingress,slateingress@POST@/user,108
1,us-central-1,slateingress,slateingress@GET@/recommendations,992
1,us-central-1,slateingress,slateingress@POST@/reservation,105
1,us-central-1,slateingress,slateingress@GET@/hotels,106
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,105
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,926
1,us-central-1,frontend,frontend@POST@/user,103
1,us-central-1,frontend,frontend@GET@/recommendations,923
1,us-central-1,frontend,frontend@POST@/reservation,105
1,us-central-1,frontend,frontend@GET@/hotels,104
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,1049
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,103
1,us-central-1,search,search@POST@/search.Search/Nearby,102
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,105
1,us-east-1,slateingress,slateingress@POST@/user,109
1,us-east-1,slateingress,slateingress@GET@/recommendations,102
1,us-east-1,slateingress,slateingress@POST@/reservation,1001
1,us-east-1,slateingress,slateingress@GET@/hotels,106
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,103
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,112
1,us-east-1,search,search@POST@/search.Search/Nearby,105
1,us-east-1,frontend,frontend@POST@/user,106
1,us-east-1,frontend,frontend@GET@/hotels,98
1,us-east-1,frontend,frontend@GET@/recommendations,109
1,us-east-1,frontend,frontend@POST@/reservation,1013
1,us-east-1,user,user@POST@/user.User/CheckUser,1137
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,106
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,1011
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,110
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,215
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,99
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,86
1,us-south-1,search,search@POST@/search.Search/Nearby,86
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,95
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,93
1,us-south-1,frontend,frontend@GET@/hotels,97
1,us-south-1,frontend,frontend@POST@/user,841
1,us-south-1,frontend,frontend@GET@/recommendations,95
1,us-south-1,frontend,frontend@POST@/reservation,94
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,189
1,us-south-1,slateingress,slateingress@GET@/recommendations,98
1,us-south-1,slateingress,slateingress@POST@/user,788
1,us-south-1,slateingress,slateingress@POST@/reservation,109
1,us-south-1,slateingress,slateingress@GET@/hotels,100
1,us-south-1,user,user@POST@/user.User/CheckUser,937
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,88
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,966
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,987
1,us-west-1,user,user@POST@/user.User/CheckUser,220
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,109
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,929
1,us-west-1,slateingress,slateingress@POST@/reservation,109
1,us-west-1,slateingress,slateingress@POST@/user,109
1,us-west-1,slateingress,slateingress@GET@/recommendations,108
1,us-west-1,slateingress,slateingress@GET@/hotels,982
1,us-west-1,frontend,frontend@GET@/recommendations,121
1,us-west-1,frontend,frontend@POST@/user,113
1,us-west-1,frontend,frontend@POST@/reservation,111
1,us-west-1,frontend,frontend@GET@/hotels,988
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,112
1,us-west-1,search,search@POST@/search.Search/Nearby,1420
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,1016
2,us-central-1,user,user@POST@/user.User/CheckUser,210
2,us-central-1,slateingress,slateingress@POST@/user,115
2,us-central-1,slateingress,slateingress@GET@/recommendations,976
2,us-central-1,slateingress,slateingress@POST@/reservation,111
2,us-central-1,slateingress,slateingress@GET@/hotels,109
2,us-central-1,geo,geo@POST@/geo.Geo/Nearby,108
2,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,1004
2,us-central-1,frontend,frontend@POST@/user,104
2,us-central-1,frontend,frontend@GET@/recommendations,988
2,us-central-1,frontend,frontend@POST@/reservation,101
2,us-central-1,frontend,frontend@GET@/hotels,102
2,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,1103
2,us-central-1,rate,rate@POST@/rate.Rate/GetRates,108
2,us-central-1,search,search@POST@/search.Search/Nearby,108
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,105
2,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
2,us-east-1,slateingress,slateingress@POST@/user,97
2,us-east-1,slateingress,slateingress@GET@/recommendations,104
