Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-698577c788-jgl8t,consul,10,35
default,consul-698577c788-jgl8t,istio-proxy,3,94
default,frontend-us-central-1-5b9bb88b87-57z22,hotel-reserv-frontend,139,15
default,frontend-us-central-1-5b9bb88b87-57z22,istio-proxy,1018,114
default,frontend-us-central-1-5b9bb88b87-ngsv2,hotel-reserv-frontend,192,15
default,frontend-us-central-1-5b9bb88b87-ngsv2,istio-proxy,677,114
default,frontend-us-east-1-5c8f98757-9g5bm,hotel-reserv-frontend,6,51
default,frontend-us-east-1-5c8f98757-9g5bm,istio-proxy,557,219
default,frontend-us-east-1-5c8f98757-t5gl7,hotel-reserv-frontend,202,10
default,frontend-us-east-1-5c8f98757-t5gl7,istio-proxy,1299,104
default,frontend-us-south-1-fdbcb447b-m2drj,hotel-reserv-frontend,502,14
default,frontend-us-south-1-fdbcb447b-m2drj,istio-proxy,1242,120
default,frontend-us-south-1-fdbcb447b-sddnw,hotel-reserv-frontend,324,50
default,frontend-us-south-1-fdbcb447b-sddnw,istio-proxy,1288,169
default,frontend-us-west-1-7947c48f56-k9z92,hotel-reserv-frontend,163,23
default,frontend-us-west-1-7947c48f56-k9z92,istio-proxy,243,133
default,frontend-us-west-1-7947c48f56-lqqsj,hotel-reserv-frontend,107,24
default,frontend-us-west-1-7947c48f56-lqqsj,istio-proxy,148,131
default,geo-us-central-1-d458d668c-rwrpx,hotel-reserv-geo,10,8
default,geo-us-central-1-d458d668c-rwrpx,istio-proxy,125,93
default,geo-us-central-1-d458d668c-tpzw2,hotel-reserv-geo,15,8
default,geo-us-central-1-d458d668c-tpzw2,istio-proxy,37,92
default,geo-us-east-1-8cb6ff78c-v9brj,hotel-reserv-geo,10,8
default,geo-us-east-1-8cb6ff78c-v9brj,istio-proxy,10,93
default,geo-us-east-1-8cb6ff78c-vht6f,hotel-reserv-geo,5,8
default,geo-us-east-1-8cb6ff78c-vht6f,istio-proxy,21,92
default,geo-us-south-1-6596888b87-49q5p,hotel-reserv-geo,40,7
default,geo-us-south-1-6596888b87-49q5p,istio-proxy,34,95
default,geo-us-south-1-6596888b87-mxmb4,hotel-reserv-geo,30,8
default,geo-us-south-1-6596888b87-mxmb4,istio-proxy,77,94
default,geo-us-west-1-f7d5cb987-4szc2,hotel-reserv-geo,33,13
default,geo-us-west-1-f7d5cb987-4szc2,istio-proxy,41,92
default,geo-us-west-1-f7d5cb987-8672x,hotel-reserv-geo,36,11
default,geo-us-west-1-f7d5cb987-8672x,istio-proxy,100,93
default,jaeger-996855bf6-m8q6w,hotel-reserv-jaeger,227,400
default,jaeger-996855bf6-m8q6w,istio-proxy,3,95
default,memcached-profile-us-central-1-9f99447d9-9mv46,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-9f99447d9-9mv46,istio-proxy,4,94
