Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-698577c788-jgl8t,consul,11,35
default,consul-698577c788-jgl8t,istio-proxy,6,94
default,frontend-us-central-1-5b9bb88b87-57z22,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5b9bb88b87-57z22,istio-proxy,7,91
default,frontend-us-central-1-5b9bb88b87-ngsv2,hotel-reserv-frontend,0,4
default,frontend-us-central-1-5b9bb88b87-ngsv2,istio-proxy,7,91
default,frontend-us-east-1-5c8f98757-9g5bm,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5c8f98757-9g5bm,istio-proxy,4,91
default,frontend-us-east-1-5c8f98757-t5gl7,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5c8f98757-t5gl7,istio-proxy,8,94
default,frontend-us-south-1-fdbcb447b-m2drj,hotel-reserv-frontend,0,4
default,frontend-us-south-1-fdbcb447b-m2drj,istio-proxy,7,94
default,frontend-us-south-1-fdbcb447b-sddnw,hotel-reserv-frontend,0,4
default,frontend-us-south-1-fdbcb447b-sddnw,istio-proxy,5,92
default,frontend-us-west-1-7947c48f56-k9z92,hotel-reserv-frontend,0,4
default,frontend-us-west-1-7947c48f56-k9z92,istio-proxy,7,92
default,frontend-us-west-1-7947c48f56-lqqsj,hotel-reserv-frontend,0,4
default,frontend-us-west-1-7947c48f56-lqqsj,istio-proxy,8,91
default,geo-us-central-1-d458d668c-rwrpx,hotel-reserv-geo,0,5
default,geo-us-central-1-d458d668c-rwrpx,istio-proxy,5,92
default,geo-us-central-1-d458d668c-tpzw2,hotel-reserv-geo,0,6
default,geo-us-central-1-d458d668c-tpzw2,istio-proxy,6,91
default,geo-us-east-1-8cb6ff78c-v9brj,hotel-reserv-geo,0,10
default,geo-us-east-1-8cb6ff78c-v9brj,istio-proxy,6,92
default,geo-us-east-1-8cb6ff78c-vht6f,hotel-reserv-geo,0,9
default,geo-us-east-1-8cb6ff78c-vht6f,istio-proxy,7,91
default,geo-us-south-1-6596888b87-49q5p,hotel-reserv-geo,0,5
default,geo-us-south-1-6596888b87-49q5p,istio-proxy,7,95
default,geo-us-south-1-6596888b87-mxmb4,hotel-reserv-geo,0,6
default,geo-us-south-1-6596888b87-mxmb4,istio-proxy,7,93
default,geo-us-west-1-f7d5cb987-4szc2,hotel-reserv-geo,0,10
default,geo-us-west-1-f7d5cb987-4szc2,istio-proxy,6,91
default,geo-us-west-1-f7d5cb987-8672x,hotel-reserv-geo,0,10
default,geo-us-west-1-f7d5cb987-8672x,istio-proxy,6,92
default,jaeger-996855bf6-m8q6w,hotel-reserv-jaeger,0,10
default,jaeger-996855bf6-m8q6w,istio-proxy,5,95
default,memcached-profile-us-central-1-9f99447d9-9mv46,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-9f99447d9-9mv46,istio-proxy,8,94
default,memcached-profile-us-central-1-9f99447d9-dwlb2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-9f99447d9-dwlb2,istio-proxy,8,93
default,memcached-profile-us-east-1-5797666497-cxksg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5797666497-cxksg,istio-proxy,6,92
default,memcached-profile-us-east-1-5797666497-mflhl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5797666497-mflhl,istio-proxy,6,92
default,memcached-profile-us-south-1-bd84f6874-7htlx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-bd84f6874-7htlx,istio-proxy,7,91
default,memcached-profile-us-south-1-bd84f6874-szb6b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-bd84f6874-szb6b,istio-proxy,6,93
default,memcached-profile-us-west-1-574cb58f6d-jmb5w,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-574cb58f6d-jmb5w,istio-proxy,5,92
default,memcached-profile-us-west-1-574cb58f6d-wjzcr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-574cb58f6d-wjzcr,istio-proxy,5,93
default,memcached-rate-us-central-1-55f8474b9b-4xcv8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-55f8474b9b-4xcv8,istio-proxy,6,91
default,memcached-rate-us-central-1-55f8474b9b-9qkkt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-55f8474b9b-9qkkt,istio-proxy,9,91
default,memcached-rate-us-east-1-858f58cfc6-ksck9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-858f58cfc6-ksck9,istio-proxy,6,90
default,memcached-rate-us-east-1-858f58cfc6-ltz4t,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-858f58cfc6-ltz4t,istio-proxy,8,93
default,memcached-rate-us-south-1-56bbfdc6f5-92nkw,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-56bbfdc6f5-92nkw,istio-proxy,7,91
default,memcached-rate-us-south-1-56bbfdc6f5-m5nsh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-56bbfdc6f5-m5nsh,istio-proxy,6,94
default,memcached-rate-us-west-1-56597d4757-d92tb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-56597d4757-d92tb,istio-proxy,6,91
default,memcached-rate-us-west-1-56597d4757-vmqpm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-56597d4757-vmqpm,istio-proxy,8,92
default,memcached-reserve-us-central-1-9bfd95475-k498f,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-9bfd95475-k498f,istio-proxy,7,92
default,memcached-reserve-us-central-1-9bfd95475-wzphh,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-9bfd95475-wzphh,istio-proxy,8,93
default,memcached-reserve-us-east-1-57f75995d5-f96p9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-57f75995d5-f96p9,istio-proxy,5,91
default,memcached-reserve-us-east-1-57f75995d5-lfcwf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-57f75995d5-lfcwf,istio-proxy,8,92
default,memcached-reserve-us-south-1-5678c596bc-lll6h,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5678c596bc-lll6h,istio-proxy,6,92
default,memcached-reserve-us-south-1-5678c596bc-xn878,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5678c596bc-xn878,istio-proxy,5,92
default,memcached-reserve-us-west-1-6bbfc65588-68vck,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6bbfc65588-68vck,istio-proxy,5,93
default,memcached-reserve-us-west-1-6bbfc65588-k45dr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6bbfc65588-k45dr,istio-proxy,5,93
default,mongodb-geo-us-central-1-666d9f97bc-mkj54,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-666d9f97bc-mkj54,istio-proxy,8,91
default,mongodb-geo-us-east-1-7b9657dbf-m2dlv,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-7b9657dbf-m2dlv,istio-proxy,7,95
default,mongodb-geo-us-south-1-79968f9559-q8pc7,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-south-1-79968f9559-q8pc7,istio-proxy,8,92
default,mongodb-geo-us-west-1-f56779d74-hwf4c,hotel-reserv-geo-mongo,3,163
default,mongodb-geo-us-west-1-f56779d74-hwf4c,istio-proxy,8,92
default,mongodb-profile-us-central-1-d6cf84b96-jxzbg,hotel-reserv-profile-mongo,3,157
default,mongodb-profile-us-central-1-d6cf84b96-jxzbg,istio-proxy,6,95
default,mongodb-profile-us-east-1-5df444d54d-rjzv8,hotel-reserv-profile-mongo,3,158
default,mongodb-profile-us-east-1-5df444d54d-rjzv8,istio-proxy,7,92
default,mongodb-profile-us-south-1-6687976b84-gw5qh,hotel-reserv-profile-mongo,4,159
default,mongodb-profile-us-south-1-6687976b84-gw5qh,istio-proxy,6,93
default,mongodb-profile-us-west-1-6768746d88-rwr4s,hotel-reserv-profile-mongo,3,161
default,mongodb-profile-us-west-1-6768746d88-rwr4s,istio-proxy,8,92
default,mongodb-rate-us-central-1-854f4bb79d-qm965,hotel-reserv-rate-mongo,3,158
default,mongodb-rate-us-central-1-854f4bb79d-qm965,istio-proxy,7,91
default,mongodb-rate-us-east-1-c9f7f996-5gp4j,hotel-reserv-rate-mongo,3,161
