Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-599d5bc4c6-jbsnz,consul,10,34
default,consul-599d5bc4c6-jbsnz,istio-proxy,4,94
default,frontend-us-central-1-b6b67ddb-7vgfj,hotel-reserv-frontend,0,4
default,frontend-us-central-1-b6b67ddb-7vgfj,istio-proxy,7,92
default,frontend-us-central-1-b6b67ddb-n9mws,hotel-reserv-frontend,0,3
default,frontend-us-central-1-b6b67ddb-n9mws,istio-proxy,5,91
default,frontend-us-east-1-5465d55886-5d4k9,hotel-reserv-frontend,0,4
default,frontend-us-east-1-5465d55886-5d4k9,istio-proxy,4,91
default,frontend-us-east-1-5465d55886-lzgmh,hotel-reserv-frontend,0,3
default,frontend-us-east-1-5465d55886-lzgmh,istio-proxy,4,93
default,frontend-us-south-1-6c46865c94-fgsld,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6c46865c94-fgsld,istio-proxy,4,91
default,frontend-us-south-1-6c46865c94-whbbv,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6c46865c94-whbbv,istio-proxy,5,92
default,frontend-us-west-1-75fd9f964b-bbskz,hotel-reserv-frontend,0,4
default,frontend-us-west-1-75fd9f964b-bbskz,istio-proxy,5,93
default,frontend-us-west-1-75fd9f964b-pxmv4,hotel-reserv-frontend,0,4
default,frontend-us-west-1-75fd9f964b-pxmv4,istio-proxy,5,91
default,geo-us-central-1-57fc8fcff8-r57nj,hotel-reserv-geo,0,7
default,geo-us-central-1-57fc8fcff8-r57nj,istio-proxy,6,90
default,geo-us-central-1-57fc8fcff8-xvjj9,hotel-reserv-geo,0,9
default,geo-us-central-1-57fc8fcff8-xvjj9,istio-proxy,5,94
default,geo-us-east-1-584bd59b4-64h9w,hotel-reserv-geo,0,6
default,geo-us-east-1-584bd59b4-64h9w,istio-proxy,5,92
default,geo-us-east-1-584bd59b4-wwxh7,hotel-reserv-geo,0,6
default,geo-us-east-1-584bd59b4-wwxh7,istio-proxy,5,92
default,geo-us-south-1-7d7ff98c54-fh6qg,hotel-reserv-geo,0,6
default,geo-us-south-1-7d7ff98c54-fh6qg,istio-proxy,5,92
default,geo-us-south-1-7d7ff98c54-s4p6s,hotel-reserv-geo,0,9
default,geo-us-south-1-7d7ff98c54-s4p6s,istio-proxy,5,93
default,geo-us-west-1-79798df8fb-m8s7b,hotel-reserv-geo,0,6
default,geo-us-west-1-79798df8fb-m8s7b,istio-proxy,5,91
default,geo-us-west-1-79798df8fb-msmrd,hotel-reserv-geo,0,7
default,geo-us-west-1-79798df8fb-msmrd,istio-proxy,5,91
default,jaeger-84c4df5955-dr5hp,hotel-reserv-jaeger,0,10
default,jaeger-84c4df5955-dr5hp,istio-proxy,4,95
default,memcached-profile-us-central-1-56b7cb74b4-tcwzf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-56b7cb74b4-tcwzf,istio-proxy,5,93
default,memcached-profile-us-central-1-56b7cb74b4-v28pv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-56b7cb74b4-v28pv,istio-proxy,4,91
default,memcached-profile-us-east-1-9d7c4fb6-8hpds,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-9d7c4fb6-8hpds,istio-proxy,5,91
default,memcached-profile-us-east-1-9d7c4fb6-wbvrl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-9d7c4fb6-wbvrl,istio-proxy,4,91
default,memcached-profile-us-south-1-86676bb7b4-mfwxp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-86676bb7b4-mfwxp,istio-proxy,5,95
default,memcached-profile-us-south-1-86676bb7b4-wzs76,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-86676bb7b4-wzs76,istio-proxy,5,93
default,memcached-profile-us-west-1-f6687f8bc-mzpzx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-f6687f8bc-mzpzx,istio-proxy,5,91
default,memcached-profile-us-west-1-f6687f8bc-rdsdg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-f6687f8bc-rdsdg,istio-proxy,5,92
default,memcached-rate-us-central-1-695965cb7-76r8s,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-695965cb7-76r8s,istio-proxy,5,91
default,memcached-rate-us-central-1-695965cb7-dnc9h,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-695965cb7-dnc9h,istio-proxy,5,91
default,memcached-rate-us-east-1-7dbc87d769-2hf7b,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7dbc87d769-2hf7b,istio-proxy,4,93
default,memcached-rate-us-east-1-7dbc87d769-gdhxv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-7dbc87d769-gdhxv,istio-proxy,6,93
default,memcached-rate-us-south-1-797d99fc4c-4k27n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-797d99fc4c-4k27n,istio-proxy,5,90
default,memcached-rate-us-south-1-797d99fc4c-ldfx4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-797d99fc4c-ldfx4,istio-proxy,4,94
default,memcached-rate-us-west-1-9fd679477-9rs6d,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-9fd679477-9rs6d,istio-proxy,5,91
default,memcached-rate-us-west-1-9fd679477-krbkt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-9fd679477-krbkt,istio-proxy,4,94
default,memcached-reserve-us-central-1-88bbb9cf5-4ls8n,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-88bbb9cf5-4ls8n,istio-proxy,5,90
default,memcached-reserve-us-central-1-88bbb9cf5-vntdv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-88bbb9cf5-vntdv,istio-proxy,5,91
default,memcached-reserve-us-east-1-65b85f59f5-4mnnv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-65b85f59f5-4mnnv,istio-proxy,5,91
default,memcached-reserve-us-east-1-65b85f59f5-6p8cl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-65b85f59f5-6p8cl,istio-proxy,5,92
default,memcached-reserve-us-south-1-565554f9df-vtps5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-565554f9df-vtps5,istio-proxy,4,94
default,memcached-reserve-us-south-1-565554f9df-zddhl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-565554f9df-zddhl,istio-proxy,5,92
default,memcached-reserve-us-west-1-7b8ffd74d7-mxzr8,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b8ffd74d7-mxzr8,istio-proxy,5,93
default,memcached-reserve-us-west-1-7b8ffd74d7-v6pdw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7b8ffd74d7-v6pdw,istio-proxy,4,90
default,mongodb-geo-us-central-1-6845b84648-kszs9,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-6845b84648-kszs9,istio-proxy,5,93
default,mongodb-geo-us-east-1-7c74cdd75f-phcrs,hotel-reserv-geo-mongo,4,157
default,mongodb-geo-us-east-1-7c74cdd75f-phcrs,istio-proxy,5,93
default,mongodb-geo-us-south-1-5cd8b8bfdf-g9qzk,hotel-reserv-geo-mongo,4,159
default,mongodb-geo-us-south-1-5cd8b8bfdf-g9qzk,istio-proxy,5,92
default,mongodb-geo-us-west-1-5ccd56b975-9dpwl,hotel-reserv-geo-mongo,3,157
default,mongodb-geo-us-west-1-5ccd56b975-9dpwl,istio-proxy,4,96
default,mongodb-profile-us-central-1-559b984c75-dbnrd,hotel-reserv-profile-mongo,3,157
default,mongodb-profile-us-central-1-559b984c75-dbnrd,istio-proxy,4,92
default,mongodb-profile-us-east-1-7d6c9b7dd9-92w7h,hotel-reserv-profile-mongo,3,162
default,mongodb-profile-us-east-1-7d6c9b7dd9-92w7h,istio-proxy,5,94
default,mongodb-profile-us-south-1-668467cdb8-dstcb,hotel-reserv-profile-mongo,4,157
default,mongodb-profile-us-south-1-668467cdb8-dstcb,istio-proxy,5,93
default,mongodb-profile-us-west-1-569b687df6-w2xw7,hotel-reserv-profile-mongo,3,162
default,mongodb-profile-us-west-1-569b687df6-w2xw7,istio-proxy,4,91
