counter,region,service,endpoint,rps
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,89
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,80
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,93
1,us-south-1,user,user@POST@/user.User/CheckUser,195
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,173
1,us-south-1,frontend,frontend@POST@/user,105
1,us-south-1,frontend,frontend@GET@/recommendations,88
1,us-south-1,frontend,frontend@GET@/hotels,86
1,us-south-1,frontend,frontend@POST@/reservation,93
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,104
1,us-south-1,slateingress,slateingress@POST@/user,104
1,us-south-1,slateingress,slateingress@GET@/recommendations,110
1,us-south-1,slateingress,slateingress@GET@/hotels,114
1,us-south-1,slateingress,slateingress@POST@/reservation,111
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,89
1,us-south-1,search,search@POST@/search.Search/Nearby,116
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,112
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,107
1,us-east-1,slateingress,slateingress@POST@/user,105
1,us-east-1,slateingress,slateingress@GET@/recommendations,112
1,us-east-1,slateingress,slateingress@POST@/reservation,88
1,us-east-1,slateingress,slateingress@GET@/hotels,104
1,us-east-1,search,search@POST@/search.Search/Nearby,103
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,217
1,us-east-1,frontend,frontend@POST@/user,110
1,us-east-1,frontend,frontend@GET@/recommendations,106
1,us-east-1,frontend,frontend@POST@/reservation,108
1,us-east-1,frontend,frontend@GET@/hotels,106
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,110
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,111
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,107
1,us-east-1,user,user@POST@/user.User/CheckUser,211
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,109
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,112
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,113
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,113
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,113
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,215
1,us-central-1,user,user@POST@/user.User/CheckUser,221
1,us-central-1,frontend,frontend@POST@/user,106
1,us-central-1,frontend,frontend@GET@/hotels,108
1,us-central-1,frontend,frontend@POST@/reservation,112
1,us-central-1,frontend,frontend@GET@/recommendations,110
1,us-central-1,search,search@POST@/search.Search/Nearby,111
1,us-central-1,slateingress,slateingress@GET@/recommendations,113
