Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7588c57755-7pzzp,consul,12,36
default,consul-7588c57755-7pzzp,istio-proxy,10,92
default,frontend-us-central-1-675689c7b4-ddb5b,hotel-reserv-frontend,61,8
default,frontend-us-central-1-675689c7b4-ddb5b,istio-proxy,146,92
default,frontend-us-central-1-675689c7b4-mkfnf,hotel-reserv-frontend,40,7
default,frontend-us-central-1-675689c7b4-mkfnf,istio-proxy,348,96
default,frontend-us-east-1-74b944888c-5vjsd,hotel-reserv-frontend,74,8
default,frontend-us-east-1-74b944888c-5vjsd,istio-proxy,188,94
default,frontend-us-east-1-74b944888c-7jtfn,hotel-reserv-frontend,97,8
default,frontend-us-east-1-74b944888c-7jtfn,istio-proxy,228,93
default,frontend-us-south-1-69ffbd6997-gjwlq,hotel-reserv-frontend,77,8
default,frontend-us-south-1-69ffbd6997-gjwlq,istio-proxy,3,92
default,frontend-us-south-1-69ffbd6997-j6m7w,hotel-reserv-frontend,114,8
default,frontend-us-south-1-69ffbd6997-j6m7w,istio-proxy,68,95
default,frontend-us-west-1-9f9f4886c-djsx5,hotel-reserv-frontend,216,47
default,frontend-us-west-1-9f9f4886c-djsx5,istio-proxy,738,166
default,frontend-us-west-1-9f9f4886c-tmt9t,hotel-reserv-frontend,240,50
default,frontend-us-west-1-9f9f4886c-tmt9t,istio-proxy,13,91
default,geo-us-central-1-86c65f47d-cqsgg,hotel-reserv-geo,14,7
default,geo-us-central-1-86c65f47d-cqsgg,istio-proxy,26,96
default,geo-us-central-1-86c65f47d-scmzz,hotel-reserv-geo,0,6
default,geo-us-central-1-86c65f47d-scmzz,istio-proxy,46,95
default,geo-us-east-1-74cb875f68-pm2kq,hotel-reserv-geo,10,8
default,geo-us-east-1-74cb875f68-pm2kq,istio-proxy,30,92
default,geo-us-east-1-74cb875f68-wl4q4,hotel-reserv-geo,11,8
default,geo-us-east-1-74cb875f68-wl4q4,istio-proxy,20,94
default,geo-us-south-1-644d855974-npp9g,hotel-reserv-geo,0,7
default,geo-us-south-1-644d855974-npp9g,istio-proxy,19,93
default,geo-us-south-1-644d855974-p8cr9,hotel-reserv-geo,17,7
default,geo-us-south-1-644d855974-p8cr9,istio-proxy,43,93
default,geo-us-west-1-69ccc765c-dj7bw,hotel-reserv-geo,74,11
default,geo-us-west-1-69ccc765c-dj7bw,istio-proxy,116,92
default,geo-us-west-1-69ccc765c-rhvl8,hotel-reserv-geo,15,8
default,geo-us-west-1-69ccc765c-rhvl8,istio-proxy,12,94
default,jaeger-d7857c949-c9n62,hotel-reserv-jaeger,42,35
default,jaeger-d7857c949-c9n62,istio-proxy,4,92
default,memcached-profile-us-central-1-55b6cbb57d-bqd6d,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55b6cbb57d-bqd6d,istio-proxy,4,92
default,memcached-profile-us-central-1-55b6cbb57d-dn7sk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-55b6cbb57d-dn7sk,istio-proxy,4,92
default,memcached-profile-us-east-1-69b7b74fd4-chmm6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-69b7b74fd4-chmm6,istio-proxy,11,91
default,memcached-profile-us-east-1-69b7b74fd4-mxx7h,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-69b7b74fd4-mxx7h,istio-proxy,4,93
default,memcached-profile-us-south-1-5f48767775-b88g4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5f48767775-b88g4,istio-proxy,4,90
default,memcached-profile-us-south-1-5f48767775-hmfz6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-5f48767775-hmfz6,istio-proxy,4,91
default,memcached-profile-us-west-1-5b6df7489f-mbh95,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5b6df7489f-mbh95,istio-proxy,5,92
default,memcached-profile-us-west-1-5b6df7489f-vr79p,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5b6df7489f-vr79p,istio-proxy,4,94
default,memcached-rate-us-central-1-978dccbbc-jhnwr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-978dccbbc-jhnwr,istio-proxy,4,94
default,memcached-rate-us-central-1-978dccbbc-wrbr8,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-978dccbbc-wrbr8,istio-proxy,4,93
default,memcached-rate-us-east-1-6fccfdfcd9-6w9rm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6fccfdfcd9-6w9rm,istio-proxy,4,93
default,memcached-rate-us-east-1-6fccfdfcd9-cn4nc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6fccfdfcd9-cn4nc,istio-proxy,4,94
default,memcached-rate-us-south-1-6755f5f4bc-4ctrg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6755f5f4bc-4ctrg,istio-proxy,4,94
default,memcached-rate-us-south-1-6755f5f4bc-cmps5,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6755f5f4bc-cmps5,istio-proxy,4,91
default,memcached-rate-us-west-1-6fdb8b78bb-25lx9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6fdb8b78bb-25lx9,istio-proxy,4,93
default,memcached-rate-us-west-1-6fdb8b78bb-5st6x,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6fdb8b78bb-5st6x,istio-proxy,4,94
default,memcached-reserve-us-central-1-576cf47c5b-bkn29,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-576cf47c5b-bkn29,istio-proxy,4,92
default,memcached-reserve-us-central-1-576cf47c5b-v6twt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-576cf47c5b-v6twt,istio-proxy,5,94
default,memcached-reserve-us-east-1-68d6ffd6d-d5kfg,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-68d6ffd6d-d5kfg,istio-proxy,4,93
default,memcached-reserve-us-east-1-68d6ffd6d-dnskp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-68d6ffd6d-dnskp,istio-proxy,4,93
default,memcached-reserve-us-south-1-7557749568-4sbdv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-7557749568-4sbdv,istio-proxy,4,94
default,memcached-reserve-us-south-1-7557749568-lrjc6,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-7557749568-lrjc6,istio-proxy,4,90
default,memcached-reserve-us-west-1-68959cff99-dd677,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-68959cff99-dd677,istio-proxy,5,91
default,memcached-reserve-us-west-1-68959cff99-nzd7b,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-68959cff99-nzd7b,istio-proxy,4,93
default,mongodb-geo-us-central-1-57b6f9c976-g4pkm,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-57b6f9c976-g4pkm,istio-proxy,4,90
default,mongodb-geo-us-east-1-6fb7ff45cb-jzdbr,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-6fb7ff45cb-jzdbr,istio-proxy,4,93
default,mongodb-geo-us-south-1-5f74749bf6-2wch8,hotel-reserv-geo-mongo,3,159
default,mongodb-geo-us-south-1-5f74749bf6-2wch8,istio-proxy,12,93
default,mongodb-geo-us-west-1-5868f7c74d-hxxdg,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-5868f7c74d-hxxdg,istio-proxy,5,93
default,mongodb-profile-us-central-1-6cc64459c5-bbj2d,hotel-reserv-profile-mongo,34,161
default,mongodb-profile-us-central-1-6cc64459c5-bbj2d,istio-proxy,9,93
default,mongodb-profile-us-east-1-84cccdf857-bfz42,hotel-reserv-profile-mongo,40,163
default,mongodb-profile-us-east-1-84cccdf857-bfz42,istio-proxy,21,92
default,mongodb-profile-us-south-1-74b5d685f9-cfnss,hotel-reserv-profile-mongo,4,159
default,mongodb-profile-us-south-1-74b5d685f9-cfnss,istio-proxy,21,93
default,mongodb-profile-us-west-1-685b9b6d9c-p6p76,hotel-reserv-profile-mongo,8,161
default,mongodb-profile-us-west-1-685b9b6d9c-p6p76,istio-proxy,28,94
default,mongodb-rate-us-central-1-66794d89bb-frhv9,hotel-reserv-rate-mongo,3,157
default,mongodb-rate-us-central-1-66794d89bb-frhv9,istio-proxy,11,92
default,mongodb-rate-us-east-1-b8fcc5948-gqhgb,hotel-reserv-rate-mongo,23,159
default,mongodb-rate-us-east-1-b8fcc5948-gqhgb,istio-proxy,5,92
default,mongodb-rate-us-south-1-d54fcbdc4-jd79k,hotel-reserv-rate-mongo,70,162
default,mongodb-rate-us-south-1-d54fcbdc4-jd79k,istio-proxy,11,92
default,mongodb-rate-us-west-1-5897c68b44-8sbnt,hotel-reserv-rate-mongo,454,167
default,mongodb-rate-us-west-1-5897c68b44-8sbnt,istio-proxy,45,94
default,mongodb-recommendation-us-central-1-799764d6b5-m8mx5,hotel-reserv-recommendation-mongo,3,164
default,mongodb-recommendation-us-central-1-799764d6b5-m8mx5,istio-proxy,4,92
default,mongodb-recommendation-us-east-1-6fcd867954-d9kbz,hotel-reserv-recommendation-mongo,4,165
default,mongodb-recommendation-us-east-1-6fcd867954-d9kbz,istio-proxy,9,93
default,mongodb-recommendation-us-south-1-7866568678-xtflg,hotel-reserv-recommendation-mongo,4,157
default,mongodb-recommendation-us-south-1-7866568678-xtflg,istio-proxy,4,94
default,mongodb-recommendation-us-west-1-68b6fcb44b-77z2x,hotel-reserv-recommendation-mongo,4,164
default,mongodb-recommendation-us-west-1-68b6fcb44b-77z2x,istio-proxy,4,91
default,mongodb-reservation-us-central-1-67685cc9f6-4tmg4,hotel-reserv-reservation-mongo,3,161
default,mongodb-reservation-us-central-1-67685cc9f6-4tmg4,istio-proxy,4,91
default,mongodb-reservation-us-east-1-59d9697577-qshh9,hotel-reserv-reservation-mongo,3,158
default,mongodb-reservation-us-east-1-59d9697577-qshh9,istio-proxy,13,92
default,mongodb-reservation-us-south-1-57f84bf6f9-l5mxt,hotel-reserv-reservation-mongo,3,157
default,mongodb-reservation-us-south-1-57f84bf6f9-l5mxt,istio-proxy,4,92
default,mongodb-reservation-us-west-1-5478bcbfc7-dh6kh,hotel-reserv-reservation-mongo,4,157
default,mongodb-reservation-us-west-1-5478bcbfc7-dh6kh,istio-proxy,11,94
default,mongodb-user-us-central-1-86d44b4cc5-hk599,hotel-reserv-user-mongo,3,200
default,mongodb-user-us-central-1-86d44b4cc5-hk599,istio-proxy,4,95
default,mongodb-user-us-east-1-5959d87b4d-hfr7b,hotel-reserv-user-mongo,3,206
default,mongodb-user-us-east-1-5959d87b4d-hfr7b,istio-proxy,4,92
default,mongodb-user-us-south-1-55d9cbb884-7fcg5,hotel-reserv-user-mongo,3,191
default,mongodb-user-us-south-1-55d9cbb884-7fcg5,istio-proxy,11,91
default,mongodb-user-us-west-1-6545c4b6dd-c6499,hotel-reserv-user-mongo,3,214
default,mongodb-user-us-west-1-6545c4b6dd-c6499,istio-proxy,9,92
default,profile-us-central-1-6d67cfd664-cppvs,hotel-reserv-profile,42,8
default,profile-us-central-1-6d67cfd664-cppvs,istio-proxy,54,97
default,profile-us-central-1-6d67cfd664-r4tql,hotel-reserv-profile,0,5
default,profile-us-central-1-6d67cfd664-r4tql,istio-proxy,38,92
default,profile-us-east-1-5c65fc7fb9-fk4gh,hotel-reserv-profile,35,8
default,profile-us-east-1-5c65fc7fb9-fk4gh,istio-proxy,23,93
default,profile-us-east-1-5c65fc7fb9-srflq,hotel-reserv-profile,61,8
default,profile-us-east-1-5c65fc7fb9-srflq,istio-proxy,5,93
default,profile-us-south-1-6cb4db7ffc-kpzc9,hotel-reserv-profile,36,8
default,profile-us-south-1-6cb4db7ffc-kpzc9,istio-proxy,9,93
default,profile-us-south-1-6cb4db7ffc-mvqnz,hotel-reserv-profile,65,8
default,profile-us-south-1-6cb4db7ffc-mvqnz,istio-proxy,12,91
default,profile-us-west-1-564dc5477-hnkch,hotel-reserv-profile,0,5
default,profile-us-west-1-564dc5477-hnkch,istio-proxy,243,94
default,profile-us-west-1-564dc5477-sz4kb,hotel-reserv-profile,293,26
default,profile-us-west-1-564dc5477-sz4kb,istio-proxy,52,92
default,rate-us-central-1-78d964df89-gxs4z,hotel-reserv-rate,30,8
default,rate-us-central-1-78d964df89-gxs4z,istio-proxy,5,94
default,rate-us-central-1-78d964df89-qspd6,hotel-reserv-rate,42,8
default,rate-us-central-1-78d964df89-qspd6,istio-proxy,4,94
default,rate-us-east-1-69df8f4f9f-c4hm5,hotel-reserv-rate,35,8
default,rate-us-east-1-69df8f4f9f-c4hm5,istio-proxy,32,93
default,rate-us-east-1-69df8f4f9f-rpg4q,hotel-reserv-rate,6,7
default,rate-us-east-1-69df8f4f9f-rpg4q,istio-proxy,12,93
default,rate-us-south-1-777545c5db-47r8x,hotel-reserv-rate,15,7
default,rate-us-south-1-777545c5db-47r8x,istio-proxy,33,94
default,rate-us-south-1-777545c5db-6fp4p,hotel-reserv-rate,25,7
default,rate-us-south-1-777545c5db-6fp4p,istio-proxy,42,92
default,rate-us-west-1-85dc6df95d-vp774,hotel-reserv-rate,166,15
default,rate-us-west-1-85dc6df95d-vp774,istio-proxy,195,93
default,rate-us-west-1-85dc6df95d-xp2f4,hotel-reserv-rate,0,4
default,rate-us-west-1-85dc6df95d-xp2f4,istio-proxy,77,94
default,recommendation-us-central-1-76d4959476-dx5n7,hotel-reserv-recommendation,14,8
default,recommendation-us-central-1-76d4959476-dx5n7,istio-proxy,35,95
default,recommendation-us-central-1-76d4959476-w9wbb,hotel-reserv-recommendation,0,13
default,recommendation-us-central-1-76d4959476-w9wbb,istio-proxy,8,93
default,recommendation-us-east-1-57bfc65466-44h2j,hotel-reserv-recommendation,10,8
default,recommendation-us-east-1-57bfc65466-44h2j,istio-proxy,15,94
default,recommendation-us-east-1-57bfc65466-sszng,hotel-reserv-recommendation,6,14
default,recommendation-us-east-1-57bfc65466-sszng,istio-proxy,7,92
default,recommendation-us-south-1-5694d5d6bf-hx9f9,hotel-reserv-recommendation,15,8
default,recommendation-us-south-1-5694d5d6bf-hx9f9,istio-proxy,17,93
default,recommendation-us-south-1-5694d5d6bf-k8kgd,hotel-reserv-recommendation,16,8
default,recommendation-us-south-1-5694d5d6bf-k8kgd,istio-proxy,38,94
default,recommendation-us-west-1-776644fcc-b8rmr,hotel-reserv-recommendation,102,14
default,recommendation-us-west-1-776644fcc-b8rmr,istio-proxy,15,94
default,recommendation-us-west-1-776644fcc-t7wgv,hotel-reserv-recommendation,39,13
default,recommendation-us-west-1-776644fcc-t7wgv,istio-proxy,73,93
default,reservation-us-central-1-67b4df5db-7bft6,hotel-reserv-reservation,0,4
default,reservation-us-central-1-67b4df5db-7bft6,istio-proxy,41,94
default,reservation-us-central-1-67b4df5db-wdp9p,hotel-reserv-reservation,0,3
default,reservation-us-central-1-67b4df5db-wdp9p,istio-proxy,16,93
default,reservation-us-east-1-6fbcd64b7d-h84cv,hotel-reserv-reservation,266,13
default,reservation-us-east-1-6fbcd64b7d-h84cv,istio-proxy,13,94
default,reservation-us-east-1-6fbcd64b7d-vk5g6,hotel-reserv-reservation,559,12
default,reservation-us-east-1-6fbcd64b7d-vk5g6,istio-proxy,48,93
default,reservation-us-south-1-984d97cf7-8rkjf,hotel-reserv-reservation,356,13
default,reservation-us-south-1-984d97cf7-8rkjf,istio-proxy,57,92
default,reservation-us-south-1-984d97cf7-w59qf,hotel-reserv-reservation,409,10
default,reservation-us-south-1-984d97cf7-w59qf,istio-proxy,46,97
default,reservation-us-west-1-587f568c87-7s7gq,hotel-reserv-reservation,527,49
default,reservation-us-west-1-587f568c87-7s7gq,istio-proxy,307,101
default,reservation-us-west-1-587f568c87-jm69p,hotel-reserv-reservation,1482,60
default,reservation-us-west-1-587f568c87-jm69p,istio-proxy,219,95
default,search-us-central-1-75f68dc6d-64zjv,hotel-reserv-search,0,3
default,search-us-central-1-75f68dc6d-64zjv,istio-proxy,73,92
default,search-us-central-1-75f68dc6d-9hbg7,hotel-reserv-search,36,7
default,search-us-central-1-75f68dc6d-9hbg7,istio-proxy,82,92
default,search-us-east-1-58ddf879b8-vlj7q,hotel-reserv-search,0,2
default,search-us-east-1-58ddf879b8-vlj7q,istio-proxy,87,92
default,search-us-east-1-58ddf879b8-z5877,hotel-reserv-search,0,2
default,search-us-east-1-58ddf879b8-z5877,istio-proxy,111,92
default,search-us-south-1-86bf4d8665-29cn9,hotel-reserv-search,0,2
default,search-us-south-1-86bf4d8665-29cn9,istio-proxy,41,92
default,search-us-south-1-86bf4d8665-789l9,hotel-reserv-search,13,6
default,search-us-south-1-86bf4d8665-789l9,istio-proxy,17,93
default,search-us-west-1-685dfccc5f-jvm6j,hotel-reserv-search,0,2
default,search-us-west-1-685dfccc5f-jvm6j,istio-proxy,201,95
default,search-us-west-1-685dfccc5f-t5klw,hotel-reserv-search,130,19
