Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-6df6f774c7-7z4mn,consul,13,36
default,consul-6df6f774c7-7z4mn,istio-proxy,3,94
default,frontend-us-central-1-79774f7466-2zp8d,hotel-reserv-frontend,0,4
default,frontend-us-central-1-79774f7466-2zp8d,istio-proxy,413,94
default,frontend-us-central-1-79774f7466-hb5tb,hotel-reserv-frontend,181,8
default,frontend-us-central-1-79774f7466-hb5tb,istio-proxy,489,93
default,frontend-us-east-1-559bdf599d-4fx45,hotel-reserv-frontend,0,4
default,frontend-us-east-1-559bdf599d-4fx45,istio-proxy,37,95
default,frontend-us-east-1-559bdf599d-9kvm2,hotel-reserv-frontend,72,7
default,frontend-us-east-1-559bdf599d-9kvm2,istio-proxy,322,93
default,frontend-us-south-1-64b7b5ddc5-8sbxj,hotel-reserv-frontend,162,8
default,frontend-us-south-1-64b7b5ddc5-8sbxj,istio-proxy,240,93
default,frontend-us-south-1-64b7b5ddc5-stqfz,hotel-reserv-frontend,171,8
default,frontend-us-south-1-64b7b5ddc5-stqfz,istio-proxy,222,92
default,frontend-us-west-1-5b7b8db46f-7r7fr,hotel-reserv-frontend,398,38
default,frontend-us-west-1-5b7b8db46f-7r7fr,istio-proxy,1774,145
default,frontend-us-west-1-5b7b8db46f-9rjvh,hotel-reserv-frontend,54,21
default,frontend-us-west-1-5b7b8db46f-9rjvh,istio-proxy,1048,143
default,geo-us-central-1-6dcf4b9b8d-d2s8j,hotel-reserv-geo,19,8
default,geo-us-central-1-6dcf4b9b8d-d2s8j,istio-proxy,24,94
default,geo-us-central-1-6dcf4b9b8d-dfz4g,hotel-reserv-geo,8,7
default,geo-us-central-1-6dcf4b9b8d-dfz4g,istio-proxy,21,92
default,geo-us-east-1-69c774857d-8g4j5,hotel-reserv-geo,15,8
default,geo-us-east-1-69c774857d-8g4j5,istio-proxy,35,92
default,geo-us-east-1-69c774857d-wwx4t,hotel-reserv-geo,7,7
default,geo-us-east-1-69c774857d-wwx4t,istio-proxy,26,94
