Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-76c5d45866-9r2m7,consul,10,35
default,consul-76c5d45866-9r2m7,istio-proxy,4,96
default,frontend-us-central-1-76bc89766f-4tt7l,hotel-reserv-frontend,738,9
default,frontend-us-central-1-76bc89766f-4tt7l,istio-proxy,1693,97
default,frontend-us-central-1-76bc89766f-724hw,hotel-reserv-frontend,631,10
default,frontend-us-central-1-76bc89766f-724hw,istio-proxy,1384,96
default,frontend-us-east-1-6b5ffd9bc4-sf4n6,hotel-reserv-frontend,456,46
default,frontend-us-east-1-6b5ffd9bc4-sf4n6,istio-proxy,1716,164
default,frontend-us-east-1-6b5ffd9bc4-x8q95,hotel-reserv-frontend,462,46
default,frontend-us-east-1-6b5ffd9bc4-x8q95,istio-proxy,1702,166
default,frontend-us-south-1-78dd8dbb94-9pqfx,hotel-reserv-frontend,317,11
default,frontend-us-south-1-78dd8dbb94-9pqfx,istio-proxy,1148,98
default,frontend-us-south-1-78dd8dbb94-q4z9s,hotel-reserv-frontend,357,10
default,frontend-us-south-1-78dd8dbb94-q4z9s,istio-proxy,1174,100
default,frontend-us-west-1-6859b7f494-lwd5s,hotel-reserv-frontend,454,21
default,frontend-us-west-1-6859b7f494-lwd5s,istio-proxy,1749,124
default,frontend-us-west-1-6859b7f494-mspwz,hotel-reserv-frontend,414,23
default,frontend-us-west-1-6859b7f494-mspwz,istio-proxy,2238,122
default,geo-us-central-1-55dcdf95bf-8kjc7,hotel-reserv-geo,33,9
default,geo-us-central-1-55dcdf95bf-8kjc7,istio-proxy,69,93
default,geo-us-central-1-55dcdf95bf-8rk28,hotel-reserv-geo,32,8
default,geo-us-central-1-55dcdf95bf-8rk28,istio-proxy,64,94
default,geo-us-east-1-7f85855c76-gts9d,hotel-reserv-geo,34,8
default,geo-us-east-1-7f85855c76-gts9d,istio-proxy,71,94
default,geo-us-east-1-7f85855c76-tzz89,hotel-reserv-geo,31,8
default,geo-us-east-1-7f85855c76-tzz89,istio-proxy,61,94
default,geo-us-south-1-79f9d765b6-qnmvx,hotel-reserv-geo,30,7
default,geo-us-south-1-79f9d765b6-qnmvx,istio-proxy,55,92
default,geo-us-south-1-79f9d765b6-zd7ql,hotel-reserv-geo,25,8
