Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-76c5d45866-9r2m7,consul,10,35
default,consul-76c5d45866-9r2m7,istio-proxy,3,96
default,frontend-us-central-1-76bc89766f-4tt7l,hotel-reserv-frontend,655,9
default,frontend-us-central-1-76bc89766f-4tt7l,istio-proxy,1698,101
default,frontend-us-central-1-76bc89766f-724hw,hotel-reserv-frontend,403,9
default,frontend-us-central-1-76bc89766f-724hw,istio-proxy,1337,101
default,frontend-us-east-1-6b5ffd9bc4-sf4n6,hotel-reserv-frontend,309,48
default,frontend-us-east-1-6b5ffd9bc4-sf4n6,istio-proxy,1643,168
default,frontend-us-east-1-6b5ffd9bc4-x8q95,hotel-reserv-frontend,448,49
default,frontend-us-east-1-6b5ffd9bc4-x8q95,istio-proxy,1701,170
default,frontend-us-south-1-78dd8dbb94-9pqfx,hotel-reserv-frontend,317,11
default,frontend-us-south-1-78dd8dbb94-9pqfx,istio-proxy,792,104
default,frontend-us-south-1-78dd8dbb94-q4z9s,hotel-reserv-frontend,268,12
default,frontend-us-south-1-78dd8dbb94-q4z9s,istio-proxy,1129,105
default,frontend-us-west-1-6859b7f494-lwd5s,hotel-reserv-frontend,194,19
default,frontend-us-west-1-6859b7f494-lwd5s,istio-proxy,845,124
default,frontend-us-west-1-6859b7f494-mspwz,hotel-reserv-frontend,557,22
default,frontend-us-west-1-6859b7f494-mspwz,istio-proxy,1633,125
default,geo-us-central-1-55dcdf95bf-8kjc7,hotel-reserv-geo,27,8
default,geo-us-central-1-55dcdf95bf-8kjc7,istio-proxy,65,93
default,geo-us-central-1-55dcdf95bf-8rk28,hotel-reserv-geo,33,8
default,geo-us-central-1-55dcdf95bf-8rk28,istio-proxy,52,94
default,geo-us-east-1-7f85855c76-gts9d,hotel-reserv-geo,34,7
default,geo-us-east-1-7f85855c76-gts9d,istio-proxy,69,94
default,geo-us-east-1-7f85855c76-tzz89,hotel-reserv-geo,23,8
default,geo-us-east-1-7f85855c76-tzz89,istio-proxy,61,94
default,geo-us-south-1-79f9d765b6-qnmvx,hotel-reserv-geo,30,7
default,geo-us-south-1-79f9d765b6-qnmvx,istio-proxy,37,92
default,geo-us-south-1-79f9d765b6-zd7ql,hotel-reserv-geo,16,8
default,geo-us-south-1-79f9d765b6-zd7ql,istio-proxy,37,95
default,geo-us-west-1-554c98d88-5fll8,hotel-reserv-geo,221,13
default,geo-us-west-1-554c98d88-5fll8,istio-proxy,313,97
default,geo-us-west-1-554c98d88-8t8cz,hotel-reserv-geo,191,15
default,geo-us-west-1-554c98d88-8t8cz,istio-proxy,529,96
default,jaeger-6dfccffbb8-7vzvx,hotel-reserv-jaeger,280,459
default,jaeger-6dfccffbb8-7vzvx,istio-proxy,3,94
default,memcached-profile-us-central-1-844c94f898-j6pcj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-844c94f898-j6pcj,istio-proxy,4,93
default,memcached-profile-us-central-1-844c94f898-q4jvg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-844c94f898-q4jvg,istio-proxy,4,92
default,memcached-profile-us-east-1-66c476649b-7clgl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-66c476649b-7clgl,istio-proxy,7,92
default,memcached-profile-us-east-1-66c476649b-hvkgs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-66c476649b-hvkgs,istio-proxy,7,90
default,memcached-profile-us-south-1-6d6d84c96b-g9tr7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6d6d84c96b-g9tr7,istio-proxy,4,90
default,memcached-profile-us-south-1-6d6d84c96b-tlfm4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6d6d84c96b-tlfm4,istio-proxy,4,92
default,memcached-profile-us-west-1-64d85db4fb-fpm2l,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-64d85db4fb-fpm2l,istio-proxy,5,94
default,memcached-profile-us-west-1-64d85db4fb-pmdrx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-64d85db4fb-pmdrx,istio-proxy,5,95
default,memcached-rate-us-central-1-67b5dd9bd7-9cl47,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-67b5dd9bd7-9cl47,istio-proxy,4,90
default,memcached-rate-us-central-1-67b5dd9bd7-svcx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-67b5dd9bd7-svcx7,istio-proxy,4,94
default,memcached-rate-us-east-1-8ff647dbf-27p8g,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-8ff647dbf-27p8g,istio-proxy,8,91
default,memcached-rate-us-east-1-8ff647dbf-v5mv2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-8ff647dbf-v5mv2,istio-proxy,8,91
default,memcached-rate-us-south-1-5d8bd4bc75-bzlgh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5d8bd4bc75-bzlgh,istio-proxy,4,90
default,memcached-rate-us-south-1-5d8bd4bc75-zc6cv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-5d8bd4bc75-zc6cv,istio-proxy,4,93
default,memcached-rate-us-west-1-7d5dbbfd9c-8zr8j,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7d5dbbfd9c-8zr8j,istio-proxy,5,91
default,memcached-rate-us-west-1-7d5dbbfd9c-zknzf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-7d5dbbfd9c-zknzf,istio-proxy,5,92
default,memcached-reserve-us-central-1-9798f4dc5-kmspz,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-9798f4dc5-kmspz,istio-proxy,5,92
default,memcached-reserve-us-central-1-9798f4dc5-x9mlf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-9798f4dc5-x9mlf,istio-proxy,5,93
default,memcached-reserve-us-east-1-5dd88dbcb-q2k7l,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5dd88dbcb-q2k7l,istio-proxy,9,94
default,memcached-reserve-us-east-1-5dd88dbcb-vjn6t,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5dd88dbcb-vjn6t,istio-proxy,7,92
default,memcached-reserve-us-south-1-655d487b9b-nr2m9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-655d487b9b-nr2m9,istio-proxy,4,92
default,memcached-reserve-us-south-1-655d487b9b-xbl2z,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-655d487b9b-xbl2z,istio-proxy,4,92
default,memcached-reserve-us-west-1-58967d444-7xj8r,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-58967d444-7xj8r,istio-proxy,6,92
default,memcached-reserve-us-west-1-58967d444-9ndbs,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-58967d444-9ndbs,istio-proxy,5,92
default,mongodb-geo-us-central-1-86dd9c8ddd-p8rkn,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-86dd9c8ddd-p8rkn,istio-proxy,5,89
default,mongodb-geo-us-east-1-64799644c6-nkkfm,hotel-reserv-geo-mongo,9,161
default,mongodb-geo-us-east-1-64799644c6-nkkfm,istio-proxy,8,92
default,mongodb-geo-us-south-1-5fc66d84dd-j65lp,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-5fc66d84dd-j65lp,istio-proxy,4,93
default,mongodb-geo-us-west-1-6f684f85b4-2dbtf,hotel-reserv-geo-mongo,5,161
default,mongodb-geo-us-west-1-6f684f85b4-2dbtf,istio-proxy,5,91
default,mongodb-profile-us-central-1-77f8d56fc8-8h88t,hotel-reserv-profile-mongo,721,169
default,mongodb-profile-us-central-1-77f8d56fc8-8h88t,istio-proxy,366,94
default,mongodb-profile-us-east-1-6bc778bdd9-xn5v6,hotel-reserv-profile-mongo,111,174
default,mongodb-profile-us-east-1-6bc778bdd9-xn5v6,istio-proxy,68,93
default,mongodb-profile-us-south-1-b5f789f87-qfpqb,hotel-reserv-profile-mongo,84,163
default,mongodb-profile-us-south-1-b5f789f87-qfpqb,istio-proxy,45,90
default,mongodb-profile-us-west-1-86648f4577-tv5hh,hotel-reserv-profile-mongo,53,167
default,mongodb-profile-us-west-1-86648f4577-tv5hh,istio-proxy,54,95
default,mongodb-rate-us-central-1-84ff98c744-v8474,hotel-reserv-rate-mongo,188,162
default,mongodb-rate-us-central-1-84ff98c744-v8474,istio-proxy,25,93
default,mongodb-rate-us-east-1-54596fd558-6kfsw,hotel-reserv-rate-mongo,202,163
default,mongodb-rate-us-east-1-54596fd558-6kfsw,istio-proxy,27,92
default,mongodb-rate-us-south-1-dc9b86567-zp6hd,hotel-reserv-rate-mongo,130,162
default,mongodb-rate-us-south-1-dc9b86567-zp6hd,istio-proxy,19,92
default,mongodb-rate-us-west-1-58cc57ccf-t9gfr,hotel-reserv-rate-mongo,3027,177
default,mongodb-rate-us-west-1-58cc57ccf-t9gfr,istio-proxy,142,91
default,mongodb-recommendation-us-central-1-7cd7dc99f8-mlvqh,hotel-reserv-recommendation-mongo,4,165
default,mongodb-recommendation-us-central-1-7cd7dc99f8-mlvqh,istio-proxy,5,92
default,mongodb-recommendation-us-east-1-6fb4cc6f66-8rdfz,hotel-reserv-recommendation-mongo,8,163
default,mongodb-recommendation-us-east-1-6fb4cc6f66-8rdfz,istio-proxy,7,91
