Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-76c5d45866-9r2m7,consul,12,34
default,consul-76c5d45866-9r2m7,istio-proxy,4,96
default,frontend-us-central-1-76bc89766f-4tt7l,hotel-reserv-frontend,0,4
default,frontend-us-central-1-76bc89766f-4tt7l,istio-proxy,5,93
default,frontend-us-central-1-76bc89766f-724hw,hotel-reserv-frontend,0,4
default,frontend-us-central-1-76bc89766f-724hw,istio-proxy,5,91
default,frontend-us-east-1-6b5ffd9bc4-sf4n6,hotel-reserv-frontend,0,13
default,frontend-us-east-1-6b5ffd9bc4-sf4n6,istio-proxy,7,114
default,frontend-us-east-1-6b5ffd9bc4-x8q95,hotel-reserv-frontend,0,19
default,frontend-us-east-1-6b5ffd9bc4-x8q95,istio-proxy,8,129
default,frontend-us-south-1-78dd8dbb94-9pqfx,hotel-reserv-frontend,0,4
default,frontend-us-south-1-78dd8dbb94-9pqfx,istio-proxy,4,91
default,frontend-us-south-1-78dd8dbb94-q4z9s,hotel-reserv-frontend,0,3
default,frontend-us-south-1-78dd8dbb94-q4z9s,istio-proxy,3,93
default,frontend-us-west-1-6859b7f494-lwd5s,hotel-reserv-frontend,0,4
default,frontend-us-west-1-6859b7f494-lwd5s,istio-proxy,4,93
default,frontend-us-west-1-6859b7f494-mspwz,hotel-reserv-frontend,0,4
default,frontend-us-west-1-6859b7f494-mspwz,istio-proxy,4,93
default,geo-us-central-1-55dcdf95bf-8kjc7,hotel-reserv-geo,0,10
default,geo-us-central-1-55dcdf95bf-8kjc7,istio-proxy,5,92
default,geo-us-central-1-55dcdf95bf-8rk28,hotel-reserv-geo,0,9
default,geo-us-central-1-55dcdf95bf-8rk28,istio-proxy,4,93
default,geo-us-east-1-7f85855c76-gts9d,hotel-reserv-geo,0,9
default,geo-us-east-1-7f85855c76-gts9d,istio-proxy,7,93
default,geo-us-east-1-7f85855c76-tzz89,hotel-reserv-geo,0,6
default,geo-us-east-1-7f85855c76-tzz89,istio-proxy,7,94
default,geo-us-south-1-79f9d765b6-qnmvx,hotel-reserv-geo,0,7
default,geo-us-south-1-79f9d765b6-qnmvx,istio-proxy,4,91
default,geo-us-south-1-79f9d765b6-zd7ql,hotel-reserv-geo,0,10
default,geo-us-south-1-79f9d765b6-zd7ql,istio-proxy,4,94
default,geo-us-west-1-554c98d88-5fll8,hotel-reserv-geo,0,6
default,geo-us-west-1-554c98d88-5fll8,istio-proxy,4,93
default,geo-us-west-1-554c98d88-8t8cz,hotel-reserv-geo,0,9
default,geo-us-west-1-554c98d88-8t8cz,istio-proxy,4,93
default,jaeger-6dfccffbb8-7vzvx,hotel-reserv-jaeger,0,11
default,jaeger-6dfccffbb8-7vzvx,istio-proxy,4,94
default,memcached-profile-us-central-1-844c94f898-j6pcj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-844c94f898-j6pcj,istio-proxy,5,93
default,memcached-profile-us-central-1-844c94f898-q4jvg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-844c94f898-q4jvg,istio-proxy,4,92
default,memcached-profile-us-east-1-66c476649b-7clgl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-66c476649b-7clgl,istio-proxy,7,92
default,memcached-profile-us-east-1-66c476649b-hvkgs,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-66c476649b-hvkgs,istio-proxy,7,90
default,memcached-profile-us-south-1-6d6d84c96b-g9tr7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6d6d84c96b-g9tr7,istio-proxy,4,91
default,memcached-profile-us-south-1-6d6d84c96b-tlfm4,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6d6d84c96b-tlfm4,istio-proxy,4,92
default,memcached-profile-us-west-1-64d85db4fb-fpm2l,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-64d85db4fb-fpm2l,istio-proxy,4,94
default,memcached-profile-us-west-1-64d85db4fb-pmdrx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-64d85db4fb-pmdrx,istio-proxy,4,95
default,memcached-rate-us-central-1-67b5dd9bd7-9cl47,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-67b5dd9bd7-9cl47,istio-proxy,4,90
default,memcached-rate-us-central-1-67b5dd9bd7-svcx7,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-67b5dd9bd7-svcx7,istio-proxy,4,94
