Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-d4df69f7f-mprvz,consul,10,35
default,consul-d4df69f7f-mprvz,istio-proxy,4,94
default,frontend-us-central-1-684869899b-5srr8,hotel-reserv-frontend,193,8
default,frontend-us-central-1-684869899b-5srr8,istio-proxy,403,94
default,frontend-us-central-1-684869899b-v2dz5,hotel-reserv-frontend,190,8
default,frontend-us-central-1-684869899b-v2dz5,istio-proxy,355,93
default,frontend-us-east-1-75c898f88f-gsmrc,hotel-reserv-frontend,113,8
default,frontend-us-east-1-75c898f88f-gsmrc,istio-proxy,332,94
default,frontend-us-east-1-75c898f88f-zhbmt,hotel-reserv-frontend,128,8
default,frontend-us-east-1-75c898f88f-zhbmt,istio-proxy,324,93
default,frontend-us-south-1-fb4c5fb67-5crbw,hotel-reserv-frontend,102,8
default,frontend-us-south-1-fb4c5fb67-5crbw,istio-proxy,282,94
default,frontend-us-south-1-fb4c5fb67-f8wqb,hotel-reserv-frontend,68,14
default,frontend-us-south-1-fb4c5fb67-f8wqb,istio-proxy,99,119
default,frontend-us-west-1-77b9964d7c-bsckc,hotel-reserv-frontend,624,17
default,frontend-us-west-1-77b9964d7c-bsckc,istio-proxy,527,111
default,frontend-us-west-1-77b9964d7c-rxcdt,hotel-reserv-frontend,672,16
default,frontend-us-west-1-77b9964d7c-rxcdt,istio-proxy,1659,117
default,geo-us-central-1-7b67ddf6b8-4dbvz,hotel-reserv-geo,23,8
default,geo-us-central-1-7b67ddf6b8-4dbvz,istio-proxy,54,93
default,geo-us-central-1-7b67ddf6b8-wg7nw,hotel-reserv-geo,28,8
default,geo-us-central-1-7b67ddf6b8-wg7nw,istio-proxy,47,94
default,geo-us-east-1-6bc7846566-4kl2q,hotel-reserv-geo,16,8
default,geo-us-east-1-6bc7846566-4kl2q,istio-proxy,37,91
default,geo-us-east-1-6bc7846566-spkbc,hotel-reserv-geo,19,8
default,geo-us-east-1-6bc7846566-spkbc,istio-proxy,28,94
default,geo-us-south-1-575dbf9c89-jm64t,hotel-reserv-geo,6,7
default,geo-us-south-1-575dbf9c89-jm64t,istio-proxy,18,93
default,geo-us-south-1-575dbf9c89-wvx72,hotel-reserv-geo,8,7
default,geo-us-south-1-575dbf9c89-wvx72,istio-proxy,30,92
default,geo-us-west-1-5f86df99f7-cvx5q,hotel-reserv-geo,105,9
default,geo-us-west-1-5f86df99f7-cvx5q,istio-proxy,235,92
default,geo-us-west-1-5f86df99f7-vx9rh,hotel-reserv-geo,97,9
default,geo-us-west-1-5f86df99f7-vx9rh,istio-proxy,235,95
default,jaeger-654f5cd4cc-cszcw,hotel-reserv-jaeger,193,167
default,jaeger-654f5cd4cc-cszcw,istio-proxy,4,95
default,memcached-profile-us-central-1-8457c9cdbb-bjc7t,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-8457c9cdbb-bjc7t,istio-proxy,4,94
default,memcached-profile-us-central-1-8457c9cdbb-kgw4x,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-8457c9cdbb-kgw4x,istio-proxy,4,93
default,memcached-profile-us-east-1-59df9cd5dd-96c8z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-59df9cd5dd-96c8z,istio-proxy,4,91
default,memcached-profile-us-east-1-59df9cd5dd-wx7tf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-59df9cd5dd-wx7tf,istio-proxy,4,90
default,memcached-profile-us-south-1-65c4f467f7-5clzl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-65c4f467f7-5clzl,istio-proxy,4,93
default,memcached-profile-us-south-1-65c4f467f7-l97hd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-65c4f467f7-l97hd,istio-proxy,4,93
default,memcached-profile-us-west-1-54b4df5997-gcqv7,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54b4df5997-gcqv7,istio-proxy,5,91
default,memcached-profile-us-west-1-54b4df5997-pgtkr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-54b4df5997-pgtkr,istio-proxy,5,92
default,memcached-rate-us-central-1-d48f9c76f-9dvmh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-d48f9c76f-9dvmh,istio-proxy,3,92
default,memcached-rate-us-central-1-d48f9c76f-zccjf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-d48f9c76f-zccjf,istio-proxy,4,93
default,memcached-rate-us-east-1-6b5f8b8f65-2th2q,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6b5f8b8f65-2th2q,istio-proxy,4,91
default,memcached-rate-us-east-1-6b5f8b8f65-5k285,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6b5f8b8f65-5k285,istio-proxy,4,92
default,memcached-rate-us-south-1-7c974476cf-95rtk,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7c974476cf-95rtk,istio-proxy,4,91
default,memcached-rate-us-south-1-7c974476cf-pcv7f,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7c974476cf-pcv7f,istio-proxy,4,94
default,memcached-rate-us-west-1-589cd8c785-9px6t,hotel-reserv-rate-mmc,0,1
