Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-d4df69f7f-mprvz,consul,11,35
default,consul-d4df69f7f-mprvz,istio-proxy,10,94
default,frontend-us-central-1-684869899b-5srr8,hotel-reserv-frontend,0,4
default,frontend-us-central-1-684869899b-5srr8,istio-proxy,9,92
default,frontend-us-central-1-684869899b-v2dz5,hotel-reserv-frontend,0,4
default,frontend-us-central-1-684869899b-v2dz5,istio-proxy,7,91
default,frontend-us-east-1-75c898f88f-gsmrc,hotel-reserv-frontend,0,4
default,frontend-us-east-1-75c898f88f-gsmrc,istio-proxy,7,93
default,frontend-us-east-1-75c898f88f-zhbmt,hotel-reserv-frontend,0,4
default,frontend-us-east-1-75c898f88f-zhbmt,istio-proxy,7,91
default,frontend-us-south-1-fb4c5fb67-5crbw,hotel-reserv-frontend,0,4
default,frontend-us-south-1-fb4c5fb67-5crbw,istio-proxy,9,92
default,frontend-us-south-1-fb4c5fb67-f8wqb,hotel-reserv-frontend,0,4
default,frontend-us-south-1-fb4c5fb67-f8wqb,istio-proxy,5,92
default,frontend-us-west-1-77b9964d7c-bsckc,hotel-reserv-frontend,0,4
default,frontend-us-west-1-77b9964d7c-bsckc,istio-proxy,9,89
default,frontend-us-west-1-77b9964d7c-rxcdt,hotel-reserv-frontend,0,4
default,frontend-us-west-1-77b9964d7c-rxcdt,istio-proxy,9,93
default,geo-us-central-1-7b67ddf6b8-4dbvz,hotel-reserv-geo,0,10
default,geo-us-central-1-7b67ddf6b8-4dbvz,istio-proxy,6,93
default,geo-us-central-1-7b67ddf6b8-wg7nw,hotel-reserv-geo,0,7
default,geo-us-central-1-7b67ddf6b8-wg7nw,istio-proxy,8,94
default,geo-us-east-1-6bc7846566-4kl2q,hotel-reserv-geo,0,10
default,geo-us-east-1-6bc7846566-4kl2q,istio-proxy,6,91
default,geo-us-east-1-6bc7846566-spkbc,hotel-reserv-geo,0,6
default,geo-us-east-1-6bc7846566-spkbc,istio-proxy,9,93
default,geo-us-south-1-575dbf9c89-jm64t,hotel-reserv-geo,0,6
default,geo-us-south-1-575dbf9c89-jm64t,istio-proxy,9,92
default,geo-us-south-1-575dbf9c89-wvx72,hotel-reserv-geo,0,9
