Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-58f49b9b98-qnvqz,consul,10,36
default,consul-58f49b9b98-qnvqz,istio-proxy,3,93
default,frontend-us-central-1-77c7c88c98-4kd2f,hotel-reserv-frontend,125,8
default,frontend-us-central-1-77c7c88c98-4kd2f,istio-proxy,368,95
default,frontend-us-central-1-77c7c88c98-sdkqh,hotel-reserv-frontend,202,8
default,frontend-us-central-1-77c7c88c98-sdkqh,istio-proxy,282,94
default,frontend-us-east-1-9db7659b6-7kv65,hotel-reserv-frontend,17,7
default,frontend-us-east-1-9db7659b6-7kv65,istio-proxy,502,95
default,frontend-us-east-1-9db7659b6-kzdqf,hotel-reserv-frontend,199,8
default,frontend-us-east-1-9db7659b6-kzdqf,istio-proxy,439,95
default,frontend-us-south-1-58c6b6957d-trssw,hotel-reserv-frontend,69,8
default,frontend-us-south-1-58c6b6957d-trssw,istio-proxy,332,92
default,frontend-us-south-1-58c6b6957d-vt2rz,hotel-reserv-frontend,195,8
default,frontend-us-south-1-58c6b6957d-vt2rz,istio-proxy,253,96
default,frontend-us-west-1-64f597d9cd-hnftf,hotel-reserv-frontend,439,44
default,frontend-us-west-1-64f597d9cd-hnftf,istio-proxy,1504,157
default,frontend-us-west-1-64f597d9cd-jncks,hotel-reserv-frontend,533,44
default,frontend-us-west-1-64f597d9cd-jncks,istio-proxy,1626,153
default,geo-us-central-1-d54f56684-fp8r8,hotel-reserv-geo,28,7
default,geo-us-central-1-d54f56684-fp8r8,istio-proxy,25,93
default,geo-us-central-1-d54f56684-jlg2s,hotel-reserv-geo,28,8
default,geo-us-central-1-d54f56684-jlg2s,istio-proxy,21,94
default,geo-us-east-1-78b894758-gqb8d,hotel-reserv-geo,25,7
default,geo-us-east-1-78b894758-gqb8d,istio-proxy,20,92
default,geo-us-east-1-78b894758-xd9cn,hotel-reserv-geo,15,7
default,geo-us-east-1-78b894758-xd9cn,istio-proxy,28,91
default,geo-us-south-1-589d455fbd-2r2p6,hotel-reserv-geo,12,10
default,geo-us-south-1-589d455fbd-2r2p6,istio-proxy,32,90
default,geo-us-south-1-589d455fbd-cthd6,hotel-reserv-geo,28,8
default,geo-us-south-1-589d455fbd-cthd6,istio-proxy,37,93
default,geo-us-west-1-648bd84d58-hvg64,hotel-reserv-geo,81,16
default,geo-us-west-1-648bd84d58-hvg64,istio-proxy,193,94
default,geo-us-west-1-648bd84d58-t4w8z,hotel-reserv-geo,104,20
default,geo-us-west-1-648bd84d58-t4w8z,istio-proxy,238,95
default,jaeger-dfc74cd66-2cps6,hotel-reserv-jaeger,298,176
default,jaeger-dfc74cd66-2cps6,istio-proxy,4,93
default,memcached-profile-us-central-1-54595b4cb8-4nq46,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-54595b4cb8-4nq46,istio-proxy,4,92
default,memcached-profile-us-central-1-54595b4cb8-pbxtl,hotel-reserv-profile-mmc,0,1
