Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-58f49b9b98-qnvqz,consul,10,35
default,consul-58f49b9b98-qnvqz,istio-proxy,3,91
default,frontend-us-central-1-77c7c88c98-4kd2f,hotel-reserv-frontend,106,8
default,frontend-us-central-1-77c7c88c98-4kd2f,istio-proxy,130,93
default,frontend-us-central-1-77c7c88c98-sdkqh,hotel-reserv-frontend,0,8
default,frontend-us-central-1-77c7c88c98-sdkqh,istio-proxy,163,92
default,frontend-us-east-1-9db7659b6-7kv65,hotel-reserv-frontend,182,8
default,frontend-us-east-1-9db7659b6-7kv65,istio-proxy,124,96
default,frontend-us-east-1-9db7659b6-kzdqf,hotel-reserv-frontend,156,8
default,frontend-us-east-1-9db7659b6-kzdqf,istio-proxy,5,94
default,frontend-us-south-1-58c6b6957d-trssw,hotel-reserv-frontend,65,8
default,frontend-us-south-1-58c6b6957d-trssw,istio-proxy,197,92
default,frontend-us-south-1-58c6b6957d-vt2rz,hotel-reserv-frontend,129,8
default,frontend-us-south-1-58c6b6957d-vt2rz,istio-proxy,192,96
default,frontend-us-west-1-64f597d9cd-hnftf,hotel-reserv-frontend,0,46
default,frontend-us-west-1-64f597d9cd-hnftf,istio-proxy,514,168
default,frontend-us-west-1-64f597d9cd-jncks,hotel-reserv-frontend,236,47
default,frontend-us-west-1-64f597d9cd-jncks,istio-proxy,681,171
default,geo-us-central-1-d54f56684-fp8r8,hotel-reserv-geo,0,8
default,geo-us-central-1-d54f56684-fp8r8,istio-proxy,21,93
default,geo-us-central-1-d54f56684-jlg2s,hotel-reserv-geo,7,8
default,geo-us-central-1-d54f56684-jlg2s,istio-proxy,50,94
default,geo-us-east-1-78b894758-gqb8d,hotel-reserv-geo,0,8
default,geo-us-east-1-78b894758-gqb8d,istio-proxy,21,92
default,geo-us-east-1-78b894758-xd9cn,hotel-reserv-geo,10,8
default,geo-us-east-1-78b894758-xd9cn,istio-proxy,26,89
default,geo-us-south-1-589d455fbd-2r2p6,hotel-reserv-geo,10,8
default,geo-us-south-1-589d455fbd-2r2p6,istio-proxy,47,90
default,geo-us-south-1-589d455fbd-cthd6,hotel-reserv-geo,8,8
default,geo-us-south-1-589d455fbd-cthd6,istio-proxy,9,94
default,geo-us-west-1-648bd84d58-hvg64,hotel-reserv-geo,97,22
default,geo-us-west-1-648bd84d58-hvg64,istio-proxy,96,97
default,geo-us-west-1-648bd84d58-t4w8z,hotel-reserv-geo,20,23
default,geo-us-west-1-648bd84d58-t4w8z,istio-proxy,132,98
default,jaeger-dfc74cd66-2cps6,hotel-reserv-jaeger,107,323
default,jaeger-dfc74cd66-2cps6,istio-proxy,4,92
default,memcached-profile-us-central-1-54595b4cb8-4nq46,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-54595b4cb8-4nq46,istio-proxy,3,92
default,memcached-profile-us-central-1-54595b4cb8-pbxtl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-54595b4cb8-pbxtl,istio-proxy,3,91
default,memcached-profile-us-east-1-68998b78b-dpwvf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-68998b78b-dpwvf,istio-proxy,4,92
default,memcached-profile-us-east-1-68998b78b-m4css,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-68998b78b-m4css,istio-proxy,4,91
default,memcached-profile-us-south-1-7b4846584d-8msh2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b4846584d-8msh2,istio-proxy,3,91
default,memcached-profile-us-south-1-7b4846584d-9nngd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b4846584d-9nngd,istio-proxy,3,91
default,memcached-profile-us-west-1-6cddd4b74-tw7sm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6cddd4b74-tw7sm,istio-proxy,5,90
default,memcached-profile-us-west-1-6cddd4b74-vh9t6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6cddd4b74-vh9t6,istio-proxy,5,90
default,memcached-rate-us-central-1-74cff5dfb6-fqvdt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-74cff5dfb6-fqvdt,istio-proxy,5,89
default,memcached-rate-us-central-1-74cff5dfb6-lwpd9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-74cff5dfb6-lwpd9,istio-proxy,3,91
default,memcached-rate-us-east-1-55cdcb99f-nvwgc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-55cdcb99f-nvwgc,istio-proxy,3,91
default,memcached-rate-us-east-1-55cdcb99f-zqxlq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-55cdcb99f-zqxlq,istio-proxy,4,93
default,memcached-rate-us-south-1-7f7d76d857-7llpz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7f7d76d857-7llpz,istio-proxy,4,92
default,memcached-rate-us-south-1-7f7d76d857-qp4p4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7f7d76d857-qp4p4,istio-proxy,4,91
default,memcached-rate-us-west-1-cc5b5b9b4-52nlx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-cc5b5b9b4-52nlx,istio-proxy,4,93
default,memcached-rate-us-west-1-cc5b5b9b4-fpmmw,hotel-reserv-rate-mmc,0,1
