Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-58f49b9b98-qnvqz,consul,11,37
default,consul-58f49b9b98-qnvqz,istio-proxy,3,93
default,frontend-us-central-1-77c7c88c98-4kd2f,hotel-reserv-frontend,0,4
default,frontend-us-central-1-77c7c88c98-4kd2f,istio-proxy,4,94
default,frontend-us-central-1-77c7c88c98-sdkqh,hotel-reserv-frontend,17,7
default,frontend-us-central-1-77c7c88c98-sdkqh,istio-proxy,4,92
default,frontend-us-east-1-9db7659b6-7kv65,hotel-reserv-frontend,17,7
default,frontend-us-east-1-9db7659b6-7kv65,istio-proxy,4,94
default,frontend-us-east-1-9db7659b6-kzdqf,hotel-reserv-frontend,1,5
default,frontend-us-east-1-9db7659b6-kzdqf,istio-proxy,3,93
default,frontend-us-south-1-58c6b6957d-trssw,hotel-reserv-frontend,0,5
default,frontend-us-south-1-58c6b6957d-trssw,istio-proxy,3,90
default,frontend-us-south-1-58c6b6957d-vt2rz,hotel-reserv-frontend,0,5
default,frontend-us-south-1-58c6b6957d-vt2rz,istio-proxy,3,95
default,frontend-us-west-1-64f597d9cd-hnftf,hotel-reserv-frontend,120,36
default,frontend-us-west-1-64f597d9cd-hnftf,istio-proxy,3,91
default,frontend-us-west-1-64f597d9cd-jncks,hotel-reserv-frontend,0,3
default,frontend-us-west-1-64f597d9cd-jncks,istio-proxy,3,92
default,geo-us-central-1-d54f56684-fp8r8,hotel-reserv-geo,0,10
default,geo-us-central-1-d54f56684-fp8r8,istio-proxy,3,93
default,geo-us-central-1-d54f56684-jlg2s,hotel-reserv-geo,3,10
default,geo-us-central-1-d54f56684-jlg2s,istio-proxy,4,93
default,geo-us-east-1-78b894758-gqb8d,hotel-reserv-geo,0,10
default,geo-us-east-1-78b894758-gqb8d,istio-proxy,3,92
default,geo-us-east-1-78b894758-xd9cn,hotel-reserv-geo,0,9
default,geo-us-east-1-78b894758-xd9cn,istio-proxy,3,90
default,geo-us-south-1-589d455fbd-2r2p6,hotel-reserv-geo,0,9
default,geo-us-south-1-589d455fbd-2r2p6,istio-proxy,3,90
default,geo-us-south-1-589d455fbd-cthd6,hotel-reserv-geo,3,10
default,geo-us-south-1-589d455fbd-cthd6,istio-proxy,3,93
default,geo-us-west-1-648bd84d58-hvg64,hotel-reserv-geo,0,6
default,geo-us-west-1-648bd84d58-hvg64,istio-proxy,3,92
default,geo-us-west-1-648bd84d58-t4w8z,hotel-reserv-geo,0,10
default,geo-us-west-1-648bd84d58-t4w8z,istio-proxy,4,93
default,jaeger-dfc74cd66-2cps6,hotel-reserv-jaeger,33,32
default,jaeger-dfc74cd66-2cps6,istio-proxy,3,93
default,memcached-profile-us-central-1-54595b4cb8-4nq46,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-54595b4cb8-4nq46,istio-proxy,3,92
default,memcached-profile-us-central-1-54595b4cb8-pbxtl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-54595b4cb8-pbxtl,istio-proxy,4,91
default,memcached-profile-us-east-1-68998b78b-dpwvf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-68998b78b-dpwvf,istio-proxy,4,92
default,memcached-profile-us-east-1-68998b78b-m4css,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-68998b78b-m4css,istio-proxy,4,91
default,memcached-profile-us-south-1-7b4846584d-8msh2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b4846584d-8msh2,istio-proxy,3,91
default,memcached-profile-us-south-1-7b4846584d-9nngd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7b4846584d-9nngd,istio-proxy,3,91
default,memcached-profile-us-west-1-6cddd4b74-tw7sm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6cddd4b74-tw7sm,istio-proxy,4,90
default,memcached-profile-us-west-1-6cddd4b74-vh9t6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6cddd4b74-vh9t6,istio-proxy,3,91
default,memcached-rate-us-central-1-74cff5dfb6-fqvdt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-74cff5dfb6-fqvdt,istio-proxy,4,91
default,memcached-rate-us-central-1-74cff5dfb6-lwpd9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-74cff5dfb6-lwpd9,istio-proxy,3,91
default,memcached-rate-us-east-1-55cdcb99f-nvwgc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-55cdcb99f-nvwgc,istio-proxy,3,92
default,memcached-rate-us-east-1-55cdcb99f-zqxlq,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-55cdcb99f-zqxlq,istio-proxy,4,93
default,memcached-rate-us-south-1-7f7d76d857-7llpz,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7f7d76d857-7llpz,istio-proxy,3,94
default,memcached-rate-us-south-1-7f7d76d857-qp4p4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-7f7d76d857-qp4p4,istio-proxy,3,94
default,memcached-rate-us-west-1-cc5b5b9b4-52nlx,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-cc5b5b9b4-52nlx,istio-proxy,4,94
default,memcached-rate-us-west-1-cc5b5b9b4-fpmmw,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-cc5b5b9b4-fpmmw,istio-proxy,3,92
default,memcached-reserve-us-central-1-56d46c8b66-cxm5x,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-56d46c8b66-cxm5x,istio-proxy,4,93
default,memcached-reserve-us-central-1-56d46c8b66-k7rx7,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-56d46c8b66-k7rx7,istio-proxy,4,91
default,memcached-reserve-us-east-1-6f77cb4866-hz68l,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6f77cb4866-hz68l,istio-proxy,4,92
default,memcached-reserve-us-east-1-6f77cb4866-nrmsh,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-6f77cb4866-nrmsh,istio-proxy,4,95
