Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7ff67d857-qf4xb,consul,13,36
default,consul-7ff67d857-qf4xb,istio-proxy,4,95
default,frontend-us-central-1-5856f89c4-84h96,hotel-reserv-frontend,110,8
default,frontend-us-central-1-5856f89c4-84h96,istio-proxy,8,92
default,frontend-us-central-1-5856f89c4-wv6sk,hotel-reserv-frontend,316,8
default,frontend-us-central-1-5856f89c4-wv6sk,istio-proxy,343,94
default,frontend-us-east-1-7bd69f9554-6mzll,hotel-reserv-frontend,53,8
default,frontend-us-east-1-7bd69f9554-6mzll,istio-proxy,31,93
default,frontend-us-east-1-7bd69f9554-ljx68,hotel-reserv-frontend,142,9
default,frontend-us-east-1-7bd69f9554-ljx68,istio-proxy,10,91
default,frontend-us-south-1-5848f5f846-5nmzc,hotel-reserv-frontend,145,9
default,frontend-us-south-1-5848f5f846-5nmzc,istio-proxy,403,95
default,frontend-us-south-1-5848f5f846-nhzvc,hotel-reserv-frontend,149,8
default,frontend-us-south-1-5848f5f846-nhzvc,istio-proxy,10,90
default,frontend-us-west-1-d95df669f-cf8jr,hotel-reserv-frontend,20,7
default,frontend-us-west-1-d95df669f-cf8jr,istio-proxy,21,93
default,frontend-us-west-1-d95df669f-sgncg,hotel-reserv-frontend,169,29
default,frontend-us-west-1-d95df669f-sgncg,istio-proxy,561,137
default,geo-us-central-1-7bc4f9f554-stv68,hotel-reserv-geo,2,6
default,geo-us-central-1-7bc4f9f554-stv68,istio-proxy,4,92
default,geo-us-central-1-7bc4f9f554-zg7f5,hotel-reserv-geo,0,9
default,geo-us-central-1-7bc4f9f554-zg7f5,istio-proxy,6,91
default,geo-us-east-1-6d4b46bbbd-26trn,hotel-reserv-geo,10,7
default,geo-us-east-1-6d4b46bbbd-26trn,istio-proxy,17,92
default,geo-us-east-1-6d4b46bbbd-fw422,hotel-reserv-geo,0,10
default,geo-us-east-1-6d4b46bbbd-fw422,istio-proxy,34,92
default,geo-us-south-1-6b77868fb6-ftkl5,hotel-reserv-geo,0,10
default,geo-us-south-1-6b77868fb6-ftkl5,istio-proxy,24,92
default,geo-us-south-1-6b77868fb6-zr7bp,hotel-reserv-geo,0,10
default,geo-us-south-1-6b77868fb6-zr7bp,istio-proxy,5,92
default,geo-us-west-1-776f8788cb-fwnjq,hotel-reserv-geo,0,10
default,geo-us-west-1-776f8788cb-fwnjq,istio-proxy,6,92
default,geo-us-west-1-776f8788cb-wxflj,hotel-reserv-geo,24,12
default,geo-us-west-1-776f8788cb-wxflj,istio-proxy,184,94
default,jaeger-868bb5b955-rfpp2,hotel-reserv-jaeger,101,129
default,jaeger-868bb5b955-rfpp2,istio-proxy,4,94
default,memcached-profile-us-central-1-56644bbdcb-bd87l,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-56644bbdcb-bd87l,istio-proxy,4,91
default,memcached-profile-us-central-1-56644bbdcb-vp42b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-56644bbdcb-vp42b,istio-proxy,5,91
default,memcached-profile-us-east-1-c886c6d54-d7jtj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-c886c6d54-d7jtj,istio-proxy,4,93
default,memcached-profile-us-east-1-c886c6d54-wzqjj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-c886c6d54-wzqjj,istio-proxy,6,90
default,memcached-profile-us-south-1-745b6978c6-lnm4l,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-745b6978c6-lnm4l,istio-proxy,5,94
