Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-5bf9f75959-2pbsm,consul,11,35
default,consul-5bf9f75959-2pbsm,istio-proxy,4,96
default,frontend-us-central-1-8578797d75-ck5xv,hotel-reserv-frontend,28,7
default,frontend-us-central-1-8578797d75-ck5xv,istio-proxy,5,91
default,frontend-us-central-1-8578797d75-lzbv6,hotel-reserv-frontend,0,4
default,frontend-us-central-1-8578797d75-lzbv6,istio-proxy,5,93
default,frontend-us-east-1-74c58d8bdf-8rkkd,hotel-reserv-frontend,58,8
default,frontend-us-east-1-74c58d8bdf-8rkkd,istio-proxy,7,92
default,frontend-us-east-1-74c58d8bdf-g8287,hotel-reserv-frontend,53,8
default,frontend-us-east-1-74c58d8bdf-g8287,istio-proxy,130,93
default,frontend-us-south-1-645cf986f9-jxh7v,hotel-reserv-frontend,0,3
default,frontend-us-south-1-645cf986f9-jxh7v,istio-proxy,4,93
default,frontend-us-south-1-645cf986f9-mtwhn,hotel-reserv-frontend,7,12
default,frontend-us-south-1-645cf986f9-mtwhn,istio-proxy,5,102
default,frontend-us-west-1-789c7cc7df-6sp42,hotel-reserv-frontend,0,4
default,frontend-us-west-1-789c7cc7df-6sp42,istio-proxy,5,92
default,frontend-us-west-1-789c7cc7df-jwbt8,hotel-reserv-frontend,0,4
default,frontend-us-west-1-789c7cc7df-jwbt8,istio-proxy,4,92
default,geo-us-central-1-5f44ccf55b-bd47d,hotel-reserv-geo,2,10
default,geo-us-central-1-5f44ccf55b-bd47d,istio-proxy,5,92
default,geo-us-central-1-5f44ccf55b-rxvnb,hotel-reserv-geo,1,7
default,geo-us-central-1-5f44ccf55b-rxvnb,istio-proxy,6,90
default,geo-us-east-1-64cd579997-42r8d,hotel-reserv-geo,7,10
default,geo-us-east-1-64cd579997-42r8d,istio-proxy,7,94
default,geo-us-east-1-64cd579997-jmf6r,hotel-reserv-geo,0,6
default,geo-us-east-1-64cd579997-jmf6r,istio-proxy,20,92
default,geo-us-south-1-65885bfd45-46hh2,hotel-reserv-geo,0,6
default,geo-us-south-1-65885bfd45-46hh2,istio-proxy,5,91
default,geo-us-south-1-65885bfd45-tw65t,hotel-reserv-geo,0,10
default,geo-us-south-1-65885bfd45-tw65t,istio-proxy,5,94
default,geo-us-west-1-5497bc9d9c-84wxl,hotel-reserv-geo,0,6
default,geo-us-west-1-5497bc9d9c-84wxl,istio-proxy,4,93
default,geo-us-west-1-5497bc9d9c-g7mwd,hotel-reserv-geo,0,6
default,geo-us-west-1-5497bc9d9c-g7mwd,istio-proxy,5,91
default,jaeger-76cd75f869-jmqw9,hotel-reserv-jaeger,40,38
default,jaeger-76cd75f869-jmqw9,istio-proxy,4,93
default,memcached-profile-us-central-1-5ff5b69f66-5hmst,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5ff5b69f66-5hmst,istio-proxy,5,91
default,memcached-profile-us-central-1-5ff5b69f66-s2mpr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5ff5b69f66-s2mpr,istio-proxy,4,93
default,memcached-profile-us-east-1-6484786f65-c9p5m,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6484786f65-c9p5m,istio-proxy,8,93
default,memcached-profile-us-east-1-6484786f65-qh8q8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6484786f65-qh8q8,istio-proxy,9,92
default,memcached-profile-us-south-1-78d6b77965-jp7b8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78d6b77965-jp7b8,istio-proxy,4,91
default,memcached-profile-us-south-1-78d6b77965-r2x6g,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-78d6b77965-r2x6g,istio-proxy,5,92
default,memcached-profile-us-west-1-859f54cf57-htjlk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-859f54cf57-htjlk,istio-proxy,5,92
default,memcached-profile-us-west-1-859f54cf57-qnnhb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-859f54cf57-qnnhb,istio-proxy,5,93
default,memcached-rate-us-central-1-577f7547d5-lmktr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-577f7547d5-lmktr,istio-proxy,5,93
default,memcached-rate-us-central-1-577f7547d5-lxmpr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-577f7547d5-lxmpr,istio-proxy,4,92
default,memcached-rate-us-east-1-577d57db87-4hb5n,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-577d57db87-4hb5n,istio-proxy,8,91
