Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-699c85fcbf-mzpqh,consul,10,35
default,consul-699c85fcbf-mzpqh,istio-proxy,3,93
default,frontend-us-central-1-568567c6c-wr5n5,hotel-reserv-frontend,198,8
default,frontend-us-central-1-568567c6c-wr5n5,istio-proxy,486,93
default,frontend-us-central-1-568567c6c-zcbv6,hotel-reserv-frontend,181,8
default,frontend-us-central-1-568567c6c-zcbv6,istio-proxy,479,95
default,frontend-us-east-1-595fdb5769-d99hf,hotel-reserv-frontend,195,8
default,frontend-us-east-1-595fdb5769-d99hf,istio-proxy,458,96
default,frontend-us-east-1-595fdb5769-nm4h9,hotel-reserv-frontend,196,8
default,frontend-us-east-1-595fdb5769-nm4h9,istio-proxy,436,96
default,frontend-us-south-1-558b787684-qlwns,hotel-reserv-frontend,194,8
default,frontend-us-south-1-558b787684-qlwns,istio-proxy,452,95
default,frontend-us-south-1-558b787684-r6jbm,hotel-reserv-frontend,194,8
default,frontend-us-south-1-558b787684-r6jbm,istio-proxy,297,93
default,frontend-us-west-1-5b5cc7d7c5-6sh99,hotel-reserv-frontend,549,42
default,frontend-us-west-1-5b5cc7d7c5-6sh99,istio-proxy,1219,178
default,frontend-us-west-1-5b5cc7d7c5-phrfj,hotel-reserv-frontend,432,41
default,frontend-us-west-1-5b5cc7d7c5-phrfj,istio-proxy,1041,177
default,geo-us-central-1-5fc9c7854-cp5mn,hotel-reserv-geo,27,8
default,geo-us-central-1-5fc9c7854-cp5mn,istio-proxy,55,93
default,geo-us-central-1-5fc9c7854-vhqnn,hotel-reserv-geo,27,8
default,geo-us-central-1-5fc9c7854-vhqnn,istio-proxy,52,93
default,geo-us-east-1-5b94d84b65-ggpdm,hotel-reserv-geo,25,8
default,geo-us-east-1-5b94d84b65-ggpdm,istio-proxy,53,94
default,geo-us-east-1-5b94d84b65-vpzbx,hotel-reserv-geo,28,8
default,geo-us-east-1-5b94d84b65-vpzbx,istio-proxy,56,92
default,geo-us-south-1-6d59fd6b7c-dzgv9,hotel-reserv-geo,22,7
default,geo-us-south-1-6d59fd6b7c-dzgv9,istio-proxy,53,90
default,geo-us-south-1-6d59fd6b7c-wjzp8,hotel-reserv-geo,28,8
default,geo-us-south-1-6d59fd6b7c-wjzp8,istio-proxy,52,93
default,geo-us-west-1-68f747b47d-4znh4,hotel-reserv-geo,66,11
default,geo-us-west-1-68f747b47d-4znh4,istio-proxy,188,95
default,geo-us-west-1-68f747b47d-n52n8,hotel-reserv-geo,98,14
default,geo-us-west-1-68f747b47d-n52n8,istio-proxy,166,92
default,jaeger-567ccdb56b-2fdhj,hotel-reserv-jaeger,267,189
default,jaeger-567ccdb56b-2fdhj,istio-proxy,3,92
default,memcached-profile-us-central-1-7747499976-4gtnl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7747499976-4gtnl,istio-proxy,4,90
default,memcached-profile-us-central-1-7747499976-p5z7b,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7747499976-p5z7b,istio-proxy,4,93
default,memcached-profile-us-east-1-76fd7d8c66-8k96z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-76fd7d8c66-8k96z,istio-proxy,4,94
default,memcached-profile-us-east-1-76fd7d8c66-kgqm2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-76fd7d8c66-kgqm2,istio-proxy,4,94
default,memcached-profile-us-south-1-688785f5d8-2b8fw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-688785f5d8-2b8fw,istio-proxy,4,90
default,memcached-profile-us-south-1-688785f5d8-mxw2z,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-688785f5d8-mxw2z,istio-proxy,3,91
default,memcached-profile-us-west-1-6f47d56dd8-fmzmb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6f47d56dd8-fmzmb,istio-proxy,4,93
