Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-8d549b8c-qcwxj,consul,11,34
default,consul-8d549b8c-qcwxj,istio-proxy,4,93
default,frontend-us-central-1-b9b7c6bd4-6nnnt,hotel-reserv-frontend,0,4
default,frontend-us-central-1-b9b7c6bd4-6nnnt,istio-proxy,8,92
default,frontend-us-central-1-b9b7c6bd4-h58wq,hotel-reserv-frontend,0,4
default,frontend-us-central-1-b9b7c6bd4-h58wq,istio-proxy,4,92
default,frontend-us-east-1-87bc897d8-czxgd,hotel-reserv-frontend,0,3
default,frontend-us-east-1-87bc897d8-czxgd,istio-proxy,3,92
default,frontend-us-east-1-87bc897d8-x7zz7,hotel-reserv-frontend,0,3
default,frontend-us-east-1-87bc897d8-x7zz7,istio-proxy,4,93
default,frontend-us-south-1-7cdd96b896-nd9v8,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7cdd96b896-nd9v8,istio-proxy,4,92
default,frontend-us-south-1-7cdd96b896-nn24k,hotel-reserv-frontend,0,4
default,frontend-us-south-1-7cdd96b896-nn24k,istio-proxy,4,91
default,frontend-us-west-1-56fd5bbd47-vfs98,hotel-reserv-frontend,10,7
default,frontend-us-west-1-56fd5bbd47-vfs98,istio-proxy,196,105
default,frontend-us-west-1-56fd5bbd47-xpmx6,hotel-reserv-frontend,0,4
default,frontend-us-west-1-56fd5bbd47-xpmx6,istio-proxy,4,93
default,geo-us-central-1-677df6bbbb-p5z4t,hotel-reserv-geo,0,9
default,geo-us-central-1-677df6bbbb-p5z4t,istio-proxy,4,92
default,geo-us-central-1-677df6bbbb-x77qp,hotel-reserv-geo,0,10
default,geo-us-central-1-677df6bbbb-x77qp,istio-proxy,4,93
default,geo-us-east-1-7db846d577-ghn88,hotel-reserv-geo,0,10
default,geo-us-east-1-7db846d577-ghn88,istio-proxy,4,91
default,geo-us-east-1-7db846d577-rhz67,hotel-reserv-geo,0,6
default,geo-us-east-1-7db846d577-rhz67,istio-proxy,4,91
default,geo-us-south-1-6f55b4f787-p7qlt,hotel-reserv-geo,0,9
default,geo-us-south-1-6f55b4f787-p7qlt,istio-proxy,4,92
default,geo-us-south-1-6f55b4f787-pc52q,hotel-reserv-geo,0,9
default,geo-us-south-1-6f55b4f787-pc52q,istio-proxy,4,92
default,geo-us-west-1-79d9979c4-6mrlc,hotel-reserv-geo,8,8
default,geo-us-west-1-79d9979c4-6mrlc,istio-proxy,5,93
default,geo-us-west-1-79d9979c4-j8q8v,hotel-reserv-geo,0,10
default,geo-us-west-1-79d9979c4-j8q8v,istio-proxy,4,91
default,jaeger-86b7f897f4-fnpvn,hotel-reserv-jaeger,0,10
default,jaeger-86b7f897f4-fnpvn,istio-proxy,4,95
default,memcached-profile-us-central-1-868564f7f-2w2b8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-868564f7f-2w2b8,istio-proxy,4,92
default,memcached-profile-us-central-1-868564f7f-4dh29,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-868564f7f-4dh29,istio-proxy,4,91
default,memcached-profile-us-east-1-6f948b485f-4j9gd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6f948b485f-4j9gd,istio-proxy,3,95
default,memcached-profile-us-east-1-6f948b485f-gfv5q,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6f948b485f-gfv5q,istio-proxy,4,93
default,memcached-profile-us-south-1-7886d95dfd-pmcdw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7886d95dfd-pmcdw,istio-proxy,4,94
default,memcached-profile-us-south-1-7886d95dfd-v8n9q,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7886d95dfd-v8n9q,istio-proxy,4,93
default,memcached-profile-us-west-1-648fc5f8bd-cmfxp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-648fc5f8bd-cmfxp,istio-proxy,4,91
default,memcached-profile-us-west-1-648fc5f8bd-kkxfp,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-648fc5f8bd-kkxfp,istio-proxy,5,93
default,memcached-rate-us-central-1-7979855876-hcwls,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7979855876-hcwls,istio-proxy,4,92
default,memcached-rate-us-central-1-7979855876-tj7g6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7979855876-tj7g6,istio-proxy,4,92
default,memcached-rate-us-east-1-5c86d58d6d-gv555,hotel-reserv-rate-mmc,0,1
