counter,region,service,endpoint,rps
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,1024
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,980
1,us-west-1,user,user@POST@/user.User/CheckUser,223
1,us-west-1,frontend,frontend@GET@/recommendations,111
1,us-west-1,frontend,frontend@POST@/user,109
1,us-west-1,frontend,frontend@POST@/reservation,107
1,us-west-1,frontend,frontend@GET@/hotels,1006
1,us-west-1,slateingress,slateingress@POST@/user,107
1,us-west-1,slateingress,slateingress@GET@/recommendations,105
1,us-west-1,slateingress,slateingress@POST@/reservation,104
1,us-west-1,slateingress,slateingress@GET@/hotels,978
1,us-west-1,search,search@POST@/search.Search/Nearby,1353
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,136
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,1347
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,1040
1,us-south-1,search,search@POST@/search.Search/Nearby,105
1,us-south-1,slateingress,slateingress@POST@/user,679
1,us-south-1,slateingress,slateingress@GET@/recommendations,114
1,us-south-1,slateingress,slateingress@POST@/reservation,109
1,us-south-1,slateingress,slateingress@GET@/hotels,101
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,113
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,105
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,108
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,87
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,213
1,us-south-1,user,user@POST@/user.User/CheckUser,799
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,110
1,us-south-1,frontend,frontend@POST@/user,-148
1,us-south-1,frontend,frontend@POST@/reservation,104
1,us-south-1,frontend,frontend@GET@/recommendations,109
1,us-south-1,frontend,frontend@GET@/hotels,109
1,us-east-1,frontend,frontend@POST@/user,106
