Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65f47dc684-rkrl2,consul,9,34
default,consul-65f47dc684-rkrl2,istio-proxy,3,93
default,frontend-us-central-1-5f68f75655-4thhn,hotel-reserv-frontend,691,9
default,frontend-us-central-1-5f68f75655-4thhn,istio-proxy,765,95
default,frontend-us-central-1-5f68f75655-kzbjq,hotel-reserv-frontend,62,12
default,frontend-us-central-1-5f68f75655-kzbjq,istio-proxy,1524,107
default,frontend-us-east-1-7fd9cc965b-678wk,hotel-reserv-frontend,604,9
default,frontend-us-east-1-7fd9cc965b-678wk,istio-proxy,1055,99
default,frontend-us-east-1-7fd9cc965b-v7vkg,hotel-reserv-frontend,391,9
default,frontend-us-east-1-7fd9cc965b-v7vkg,istio-proxy,1173,97
default,frontend-us-south-1-5b45fc44b4-nhvpz,hotel-reserv-frontend,412,27
default,frontend-us-south-1-5b45fc44b4-nhvpz,istio-proxy,697,131
default,frontend-us-south-1-5b45fc44b4-x7xbp,hotel-reserv-frontend,123,19
default,frontend-us-south-1-5b45fc44b4-x7xbp,istio-proxy,789,115
default,frontend-us-west-1-866465f85b-dgnd6,hotel-reserv-frontend,509,19
default,frontend-us-west-1-866465f85b-dgnd6,istio-proxy,1190,121
default,frontend-us-west-1-866465f85b-mln8w,hotel-reserv-frontend,522,20
default,frontend-us-west-1-866465f85b-mln8w,istio-proxy,1234,118
default,geo-us-central-1-5bc7b57c95-6h6vp,hotel-reserv-geo,32,8
default,geo-us-central-1-5bc7b57c95-6h6vp,istio-proxy,43,93
default,geo-us-central-1-5bc7b57c95-7jdrj,hotel-reserv-geo,11,7
default,geo-us-central-1-5bc7b57c95-7jdrj,istio-proxy,67,92
default,geo-us-east-1-b94fbc748-tn5sk,hotel-reserv-geo,20,7
default,geo-us-east-1-b94fbc748-tn5sk,istio-proxy,67,92
default,geo-us-east-1-b94fbc748-zrtnz,hotel-reserv-geo,25,7
default,geo-us-east-1-b94fbc748-zrtnz,istio-proxy,60,93
default,geo-us-south-1-c67668f8-hwz5t,hotel-reserv-geo,31,7
default,geo-us-south-1-c67668f8-hwz5t,istio-proxy,27,92
default,geo-us-south-1-c67668f8-wql8q,hotel-reserv-geo,32,7
