Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65f47dc684-rkrl2,consul,12,34
default,consul-65f47dc684-rkrl2,istio-proxy,3,93
default,frontend-us-central-1-5f68f75655-4thhn,hotel-reserv-frontend,503,9
default,frontend-us-central-1-5f68f75655-4thhn,istio-proxy,1353,99
default,frontend-us-central-1-5f68f75655-kzbjq,hotel-reserv-frontend,592,13
default,frontend-us-central-1-5f68f75655-kzbjq,istio-proxy,1300,108
default,frontend-us-east-1-7fd9cc965b-678wk,hotel-reserv-frontend,569,9
default,frontend-us-east-1-7fd9cc965b-678wk,istio-proxy,1641,103
default,frontend-us-east-1-7fd9cc965b-v7vkg,hotel-reserv-frontend,625,9
default,frontend-us-east-1-7fd9cc965b-v7vkg,istio-proxy,1614,101
default,frontend-us-south-1-5b45fc44b4-nhvpz,hotel-reserv-frontend,412,27
default,frontend-us-south-1-5b45fc44b4-nhvpz,istio-proxy,1155,131
default,frontend-us-south-1-5b45fc44b4-x7xbp,hotel-reserv-frontend,405,20
default,frontend-us-south-1-5b45fc44b4-x7xbp,istio-proxy,1171,117
default,frontend-us-west-1-866465f85b-dgnd6,hotel-reserv-frontend,483,18
default,frontend-us-west-1-866465f85b-dgnd6,istio-proxy,1643,124
default,frontend-us-west-1-866465f85b-mln8w,hotel-reserv-frontend,384,21
default,frontend-us-west-1-866465f85b-mln8w,istio-proxy,2045,123
default,geo-us-central-1-5bc7b57c95-6h6vp,hotel-reserv-geo,21,8
default,geo-us-central-1-5bc7b57c95-6h6vp,istio-proxy,50,93
default,geo-us-central-1-5bc7b57c95-7jdrj,hotel-reserv-geo,28,8
default,geo-us-central-1-5bc7b57c95-7jdrj,istio-proxy,51,92
default,geo-us-east-1-b94fbc748-tn5sk,hotel-reserv-geo,29,7
default,geo-us-east-1-b94fbc748-tn5sk,istio-proxy,66,92
default,geo-us-east-1-b94fbc748-zrtnz,hotel-reserv-geo,32,8
default,geo-us-east-1-b94fbc748-zrtnz,istio-proxy,60,93
default,geo-us-south-1-c67668f8-hwz5t,hotel-reserv-geo,31,7
default,geo-us-south-1-c67668f8-hwz5t,istio-proxy,56,92
default,geo-us-south-1-c67668f8-wql8q,hotel-reserv-geo,29,8
default,geo-us-south-1-c67668f8-wql8q,istio-proxy,48,93
default,geo-us-west-1-588d6df4d-m9vh6,hotel-reserv-geo,141,15
default,geo-us-west-1-588d6df4d-m9vh6,istio-proxy,446,96
default,geo-us-west-1-588d6df4d-szxsw,hotel-reserv-geo,229,14
default,geo-us-west-1-588d6df4d-szxsw,istio-proxy,416,98
default,jaeger-6685b674c6-kwb7f,hotel-reserv-jaeger,408,286
default,jaeger-6685b674c6-kwb7f,istio-proxy,3,92
