Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65f47dc684-rkrl2,consul,9,34
default,consul-65f47dc684-rkrl2,istio-proxy,5,93
default,frontend-us-central-1-5f68f75655-4thhn,hotel-reserv-frontend,38,8
default,frontend-us-central-1-5f68f75655-4thhn,istio-proxy,5,91
default,frontend-us-central-1-5f68f75655-kzbjq,hotel-reserv-frontend,62,12
default,frontend-us-central-1-5f68f75655-kzbjq,istio-proxy,4,106
default,frontend-us-east-1-7fd9cc965b-678wk,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7fd9cc965b-678wk,istio-proxy,5,93
default,frontend-us-east-1-7fd9cc965b-v7vkg,hotel-reserv-frontend,0,3
default,frontend-us-east-1-7fd9cc965b-v7vkg,istio-proxy,5,90
default,frontend-us-south-1-5b45fc44b4-nhvpz,hotel-reserv-frontend,0,20
default,frontend-us-south-1-5b45fc44b4-nhvpz,istio-proxy,5,130
default,frontend-us-south-1-5b45fc44b4-x7xbp,hotel-reserv-frontend,0,15
default,frontend-us-south-1-5b45fc44b4-x7xbp,istio-proxy,5,114
default,frontend-us-west-1-866465f85b-dgnd6,hotel-reserv-frontend,1,5
default,frontend-us-west-1-866465f85b-dgnd6,istio-proxy,5,94
default,frontend-us-west-1-866465f85b-mln8w,hotel-reserv-frontend,27,8
default,frontend-us-west-1-866465f85b-mln8w,istio-proxy,5,94
default,geo-us-central-1-5bc7b57c95-6h6vp,hotel-reserv-geo,6,7
default,geo-us-central-1-5bc7b57c95-6h6vp,istio-proxy,5,92
default,geo-us-central-1-5bc7b57c95-7jdrj,hotel-reserv-geo,N/A,N/A
default,geo-us-central-1-5bc7b57c95-7jdrj,istio-proxy,N/A,N/A
default,geo-us-east-1-b94fbc748-tn5sk,hotel-reserv-geo,0,9
default,geo-us-east-1-b94fbc748-tn5sk,istio-proxy,13,92
default,geo-us-east-1-b94fbc748-zrtnz,hotel-reserv-geo,0,7
default,geo-us-east-1-b94fbc748-zrtnz,istio-proxy,4,93
default,geo-us-south-1-c67668f8-hwz5t,hotel-reserv-geo,2,10
default,geo-us-south-1-c67668f8-hwz5t,istio-proxy,6,91
default,geo-us-south-1-c67668f8-wql8q,hotel-reserv-geo,1,10
default,geo-us-south-1-c67668f8-wql8q,istio-proxy,5,93
default,geo-us-west-1-588d6df4d-m9vh6,hotel-reserv-geo,0,6
default,geo-us-west-1-588d6df4d-m9vh6,istio-proxy,5,91
default,geo-us-west-1-588d6df4d-szxsw,hotel-reserv-geo,0,6
default,geo-us-west-1-588d6df4d-szxsw,istio-proxy,5,92
default,jaeger-6685b674c6-kwb7f,hotel-reserv-jaeger,0,11
default,jaeger-6685b674c6-kwb7f,istio-proxy,4,92
default,memcached-profile-us-central-1-5c89f5f6fc-lg5fw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5c89f5f6fc-lg5fw,istio-proxy,5,92
default,memcached-profile-us-central-1-5c89f5f6fc-x52wj,hotel-reserv-profile-mmc,0,1
