Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65f47dc684-rkrl2,consul,10,34
default,consul-65f47dc684-rkrl2,istio-proxy,5,93
default,frontend-us-central-1-5f68f75655-4thhn,hotel-reserv-frontend,17,9
default,frontend-us-central-1-5f68f75655-4thhn,istio-proxy,326,100
default,frontend-us-central-1-5f68f75655-kzbjq,hotel-reserv-frontend,283,14
default,frontend-us-central-1-5f68f75655-kzbjq,istio-proxy,457,109
default,frontend-us-east-1-7fd9cc965b-678wk,hotel-reserv-frontend,569,9
default,frontend-us-east-1-7fd9cc965b-678wk,istio-proxy,331,104
default,frontend-us-east-1-7fd9cc965b-v7vkg,hotel-reserv-frontend,106,9
default,frontend-us-east-1-7fd9cc965b-v7vkg,istio-proxy,485,103
default,frontend-us-south-1-5b45fc44b4-nhvpz,hotel-reserv-frontend,287,27
default,frontend-us-south-1-5b45fc44b4-nhvpz,istio-proxy,502,131
default,frontend-us-south-1-5b45fc44b4-x7xbp,hotel-reserv-frontend,0,20
default,frontend-us-south-1-5b45fc44b4-x7xbp,istio-proxy,247,118
default,frontend-us-west-1-866465f85b-dgnd6,hotel-reserv-frontend,483,18
default,frontend-us-west-1-866465f85b-dgnd6,istio-proxy,9,124
default,frontend-us-west-1-866465f85b-mln8w,hotel-reserv-frontend,0,21
default,frontend-us-west-1-866465f85b-mln8w,istio-proxy,663,129
default,geo-us-central-1-5bc7b57c95-6h6vp,hotel-reserv-geo,0,8
default,geo-us-central-1-5bc7b57c95-6h6vp,istio-proxy,9,93
default,geo-us-central-1-5bc7b57c95-7jdrj,hotel-reserv-geo,7,8
default,geo-us-central-1-5bc7b57c95-7jdrj,istio-proxy,16,93
default,geo-us-east-1-b94fbc748-tn5sk,hotel-reserv-geo,29,7
default,geo-us-east-1-b94fbc748-tn5sk,istio-proxy,20,92
default,geo-us-east-1-b94fbc748-zrtnz,hotel-reserv-geo,4,8
default,geo-us-east-1-b94fbc748-zrtnz,istio-proxy,49,93
default,geo-us-south-1-c67668f8-hwz5t,hotel-reserv-geo,14,8
default,geo-us-south-1-c67668f8-hwz5t,istio-proxy,56,92
default,geo-us-south-1-c67668f8-wql8q,hotel-reserv-geo,3,8
default,geo-us-south-1-c67668f8-wql8q,istio-proxy,48,93
default,geo-us-west-1-588d6df4d-m9vh6,hotel-reserv-geo,128,15
default,geo-us-west-1-588d6df4d-m9vh6,istio-proxy,9,97
default,geo-us-west-1-588d6df4d-szxsw,hotel-reserv-geo,151,14
default,geo-us-west-1-588d6df4d-szxsw,istio-proxy,416,98
default,jaeger-6685b674c6-kwb7f,hotel-reserv-jaeger,167,506
default,jaeger-6685b674c6-kwb7f,istio-proxy,5,92
default,memcached-profile-us-central-1-5c89f5f6fc-lg5fw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5c89f5f6fc-lg5fw,istio-proxy,6,92
default,memcached-profile-us-central-1-5c89f5f6fc-x52wj,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5c89f5f6fc-x52wj,istio-proxy,4,91
default,memcached-profile-us-east-1-7fdb4665d8-w76lg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7fdb4665d8-w76lg,istio-proxy,4,91
default,memcached-profile-us-east-1-7fdb4665d8-xz448,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7fdb4665d8-xz448,istio-proxy,6,95
default,memcached-profile-us-south-1-58b74d6b4b-58kdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-58b74d6b4b-58kdc,istio-proxy,5,93
default,memcached-profile-us-south-1-58b74d6b4b-7qnln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-58b74d6b4b-7qnln,istio-proxy,6,91
default,memcached-profile-us-west-1-6d589c8848-bpcwf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6d589c8848-bpcwf,istio-proxy,8,92
default,memcached-profile-us-west-1-6d589c8848-bwpkz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6d589c8848-bwpkz,istio-proxy,7,92
default,memcached-rate-us-central-1-5cc8cb5bb7-5k972,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5cc8cb5bb7-5k972,istio-proxy,5,93
default,memcached-rate-us-central-1-5cc8cb5bb7-c5zr9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-5cc8cb5bb7-c5zr9,istio-proxy,6,92
default,memcached-rate-us-east-1-bf8f8c665-6mvbk,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-bf8f8c665-6mvbk,istio-proxy,9,91
default,memcached-rate-us-east-1-bf8f8c665-jz6vj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-bf8f8c665-jz6vj,istio-proxy,4,90
default,memcached-rate-us-south-1-79bdbbcddc-8d8wf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-79bdbbcddc-8d8wf,istio-proxy,7,91
default,memcached-rate-us-south-1-79bdbbcddc-rrmbt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-79bdbbcddc-rrmbt,istio-proxy,6,93
default,memcached-rate-us-west-1-69bbc7db57-kgn97,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-69bbc7db57-kgn97,istio-proxy,7,91
default,memcached-rate-us-west-1-69bbc7db57-vmnlm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-69bbc7db57-vmnlm,istio-proxy,7,93
default,memcached-reserve-us-central-1-cb98fd764-f52tc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-cb98fd764-f52tc,istio-proxy,8,91
default,memcached-reserve-us-central-1-cb98fd764-k2pnl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-cb98fd764-k2pnl,istio-proxy,7,91
default,memcached-reserve-us-east-1-5457489596-c2njc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5457489596-c2njc,istio-proxy,7,91
default,memcached-reserve-us-east-1-5457489596-szmjt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5457489596-szmjt,istio-proxy,4,93
default,memcached-reserve-us-south-1-5b8899cd44-hd9vd,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5b8899cd44-hd9vd,istio-proxy,8,93
default,memcached-reserve-us-south-1-5b8899cd44-kmvgn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5b8899cd44-kmvgn,istio-proxy,6,93
default,memcached-reserve-us-west-1-cd994dbdc-dxptb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-cd994dbdc-dxptb,istio-proxy,7,92
default,memcached-reserve-us-west-1-cd994dbdc-rsg76,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-cd994dbdc-rsg76,istio-proxy,7,93
