Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-65f47dc684-rkrl2,consul,10,34
default,consul-65f47dc684-rkrl2,istio-proxy,6,94
default,frontend-us-central-1-5f68f75655-4thhn,hotel-reserv-frontend,N/A,N/A
default,frontend-us-central-1-5f68f75655-4thhn,istio-proxy,N/A,N/A
default,frontend-us-central-1-5f68f75655-kzbjq,hotel-reserv-frontend,N/A,N/A
default,frontend-us-central-1-5f68f75655-kzbjq,istio-proxy,N/A,N/A
default,frontend-us-east-1-7fd9cc965b-678wk,hotel-reserv-frontend,0,4
default,frontend-us-east-1-7fd9cc965b-678wk,istio-proxy,6,93
default,frontend-us-east-1-7fd9cc965b-v7vkg,hotel-reserv-frontend,0,3
default,frontend-us-east-1-7fd9cc965b-v7vkg,istio-proxy,6,90
default,frontend-us-south-1-5b45fc44b4-nhvpz,hotel-reserv-frontend,0,20
default,frontend-us-south-1-5b45fc44b4-nhvpz,istio-proxy,6,130
default,frontend-us-south-1-5b45fc44b4-x7xbp,hotel-reserv-frontend,0,15
default,frontend-us-south-1-5b45fc44b4-x7xbp,istio-proxy,6,114
default,frontend-us-west-1-866465f85b-dgnd6,hotel-reserv-frontend,0,4
default,frontend-us-west-1-866465f85b-dgnd6,istio-proxy,5,94
default,frontend-us-west-1-866465f85b-mln8w,hotel-reserv-frontend,0,4
default,frontend-us-west-1-866465f85b-mln8w,istio-proxy,6,94
default,geo-us-central-1-5bc7b57c95-6h6vp,hotel-reserv-geo,N/A,N/A
default,geo-us-central-1-5bc7b57c95-6h6vp,istio-proxy,N/A,N/A
default,geo-us-central-1-5bc7b57c95-7jdrj,hotel-reserv-geo,N/A,N/A
default,geo-us-central-1-5bc7b57c95-7jdrj,istio-proxy,N/A,N/A
default,geo-us-east-1-b94fbc748-tn5sk,hotel-reserv-geo,0,9
default,geo-us-east-1-b94fbc748-tn5sk,istio-proxy,6,92
default,geo-us-east-1-b94fbc748-zrtnz,hotel-reserv-geo,0,7
default,geo-us-east-1-b94fbc748-zrtnz,istio-proxy,5,93
default,geo-us-south-1-c67668f8-hwz5t,hotel-reserv-geo,0,10
default,geo-us-south-1-c67668f8-hwz5t,istio-proxy,8,91
default,geo-us-south-1-c67668f8-wql8q,hotel-reserv-geo,0,10
default,geo-us-south-1-c67668f8-wql8q,istio-proxy,5,93
default,geo-us-west-1-588d6df4d-m9vh6,hotel-reserv-geo,0,6
default,geo-us-west-1-588d6df4d-m9vh6,istio-proxy,6,91
default,geo-us-west-1-588d6df4d-szxsw,hotel-reserv-geo,0,6
default,geo-us-west-1-588d6df4d-szxsw,istio-proxy,5,92
default,jaeger-6685b674c6-kwb7f,hotel-reserv-jaeger,0,11
default,jaeger-6685b674c6-kwb7f,istio-proxy,5,92
default,memcached-profile-us-central-1-5c89f5f6fc-lg5fw,hotel-reserv-profile-mmc,N/A,N/A
default,memcached-profile-us-central-1-5c89f5f6fc-lg5fw,istio-proxy,N/A,N/A
default,memcached-profile-us-central-1-5c89f5f6fc-x52wj,hotel-reserv-profile-mmc,N/A,N/A
default,memcached-profile-us-central-1-5c89f5f6fc-x52wj,istio-proxy,N/A,N/A
default,memcached-profile-us-east-1-7fdb4665d8-w76lg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7fdb4665d8-w76lg,istio-proxy,6,91
default,memcached-profile-us-east-1-7fdb4665d8-xz448,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-7fdb4665d8-xz448,istio-proxy,6,94
default,memcached-profile-us-south-1-58b74d6b4b-58kdc,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-58b74d6b4b-58kdc,istio-proxy,6,93
default,memcached-profile-us-south-1-58b74d6b4b-7qnln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-58b74d6b4b-7qnln,istio-proxy,6,91
default,memcached-profile-us-west-1-6d589c8848-bpcwf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6d589c8848-bpcwf,istio-proxy,7,93
default,memcached-profile-us-west-1-6d589c8848-bwpkz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-6d589c8848-bwpkz,istio-proxy,7,92
default,memcached-rate-us-central-1-5cc8cb5bb7-5k972,hotel-reserv-rate-mmc,N/A,N/A
default,memcached-rate-us-central-1-5cc8cb5bb7-5k972,istio-proxy,N/A,N/A
default,memcached-rate-us-central-1-5cc8cb5bb7-c5zr9,hotel-reserv-rate-mmc,N/A,N/A
default,memcached-rate-us-central-1-5cc8cb5bb7-c5zr9,istio-proxy,N/A,N/A
default,memcached-rate-us-east-1-bf8f8c665-6mvbk,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-bf8f8c665-6mvbk,istio-proxy,6,91
default,memcached-rate-us-east-1-bf8f8c665-jz6vj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-bf8f8c665-jz6vj,istio-proxy,6,90
default,memcached-rate-us-south-1-79bdbbcddc-8d8wf,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-79bdbbcddc-8d8wf,istio-proxy,6,91
default,memcached-rate-us-south-1-79bdbbcddc-rrmbt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-79bdbbcddc-rrmbt,istio-proxy,6,93
default,memcached-rate-us-west-1-69bbc7db57-kgn97,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-69bbc7db57-kgn97,istio-proxy,5,92
default,memcached-rate-us-west-1-69bbc7db57-vmnlm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-69bbc7db57-vmnlm,istio-proxy,5,93
default,memcached-reserve-us-central-1-cb98fd764-f52tc,hotel-reserv-reservation-mmc,N/A,N/A
default,memcached-reserve-us-central-1-cb98fd764-f52tc,istio-proxy,N/A,N/A
default,memcached-reserve-us-central-1-cb98fd764-k2pnl,hotel-reserv-reservation-mmc,N/A,N/A
default,memcached-reserve-us-central-1-cb98fd764-k2pnl,istio-proxy,N/A,N/A
default,memcached-reserve-us-east-1-5457489596-c2njc,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5457489596-c2njc,istio-proxy,5,90
default,memcached-reserve-us-east-1-5457489596-szmjt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-5457489596-szmjt,istio-proxy,6,93
default,memcached-reserve-us-south-1-5b8899cd44-hd9vd,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5b8899cd44-hd9vd,istio-proxy,6,93
default,memcached-reserve-us-south-1-5b8899cd44-kmvgn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5b8899cd44-kmvgn,istio-proxy,5,94
default,memcached-reserve-us-west-1-cd994dbdc-dxptb,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-cd994dbdc-dxptb,istio-proxy,6,92
default,memcached-reserve-us-west-1-cd994dbdc-rsg76,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-cd994dbdc-rsg76,istio-proxy,6,93
default,mongodb-geo-us-central-1-fb8c6c7f6-rrfl9,hotel-reserv-geo-mongo,N/A,N/A
default,mongodb-geo-us-central-1-fb8c6c7f6-rrfl9,istio-proxy,N/A,N/A
default,mongodb-geo-us-east-1-7f4c485c5b-m7cnp,hotel-reserv-geo-mongo,3,158
default,mongodb-geo-us-east-1-7f4c485c5b-m7cnp,istio-proxy,5,91
default,mongodb-geo-us-south-1-79dcb4bfd8-p79jj,hotel-reserv-geo-mongo,3,158
default,mongodb-geo-us-south-1-79dcb4bfd8-p79jj,istio-proxy,5,93
