Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-59c5cb664-sp6p7,consul,10,35
default,consul-59c5cb664-sp6p7,istio-proxy,3,93
default,frontend-us-central-1-6c9d7f6f5f-5w522,hotel-reserv-frontend,192,8
default,frontend-us-central-1-6c9d7f6f5f-5w522,istio-proxy,484,95
default,frontend-us-central-1-6c9d7f6f5f-bvdlj,hotel-reserv-frontend,195,8
default,frontend-us-central-1-6c9d7f6f5f-bvdlj,istio-proxy,481,93
default,frontend-us-east-1-6d6956c597-mrr8f,hotel-reserv-frontend,174,8
default,frontend-us-east-1-6d6956c597-mrr8f,istio-proxy,487,94
default,frontend-us-east-1-6d6956c597-tqx5q,hotel-reserv-frontend,200,8
default,frontend-us-east-1-6d6956c597-tqx5q,istio-proxy,273,93
default,frontend-us-south-1-5fc4d5f79d-czdx5,hotel-reserv-frontend,94,8
default,frontend-us-south-1-5fc4d5f79d-czdx5,istio-proxy,499,94
default,frontend-us-south-1-5fc4d5f79d-xkm2g,hotel-reserv-frontend,190,8
default,frontend-us-south-1-5fc4d5f79d-xkm2g,istio-proxy,471,96
default,frontend-us-west-1-8498bc4c5d-4n68g,hotel-reserv-frontend,687,15
default,frontend-us-west-1-8498bc4c5d-4n68g,istio-proxy,2330,114
default,frontend-us-west-1-8498bc4c5d-z99fm,hotel-reserv-frontend,312,38
default,frontend-us-west-1-8498bc4c5d-z99fm,istio-proxy,936,149
default,geo-us-central-1-76f66c7f65-kf9xg,hotel-reserv-geo,26,8
default,geo-us-central-1-76f66c7f65-kf9xg,istio-proxy,55,94
default,geo-us-central-1-76f66c7f65-t68nc,hotel-reserv-geo,26,8
default,geo-us-central-1-76f66c7f65-t68nc,istio-proxy,25,93
default,geo-us-east-1-89fcbc469-hbmg2,hotel-reserv-geo,23,8
default,geo-us-east-1-89fcbc469-hbmg2,istio-proxy,42,94
default,geo-us-east-1-89fcbc469-qbmdw,hotel-reserv-geo,27,8
default,geo-us-east-1-89fcbc469-qbmdw,istio-proxy,52,92
default,geo-us-south-1-769b85dcdb-5454q,hotel-reserv-geo,28,8
default,geo-us-south-1-769b85dcdb-5454q,istio-proxy,53,92
default,geo-us-south-1-769b85dcdb-67hfs,hotel-reserv-geo,27,8
default,geo-us-south-1-769b85dcdb-67hfs,istio-proxy,56,93
default,geo-us-west-1-7d9858476d-c5zlw,hotel-reserv-geo,105,8
default,geo-us-west-1-7d9858476d-c5zlw,istio-proxy,233,92
default,geo-us-west-1-7d9858476d-c6fmv,hotel-reserv-geo,110,9
default,geo-us-west-1-7d9858476d-c6fmv,istio-proxy,181,94
default,jaeger-6855fc9c56-55k69,hotel-reserv-jaeger,255,165
default,jaeger-6855fc9c56-55k69,istio-proxy,3,95
default,memcached-profile-us-central-1-f67d8b6bf-bcmld,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f67d8b6bf-bcmld,istio-proxy,3,92
default,memcached-profile-us-central-1-f67d8b6bf-mf7rf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f67d8b6bf-mf7rf,istio-proxy,4,92
default,memcached-profile-us-east-1-5b7cddcdb9-j27wb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5b7cddcdb9-j27wb,istio-proxy,4,90
default,memcached-profile-us-east-1-5b7cddcdb9-tchwr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-5b7cddcdb9-tchwr,istio-proxy,4,92
default,memcached-profile-us-south-1-55f4797b8-655bf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-55f4797b8-655bf,istio-proxy,4,92
default,memcached-profile-us-south-1-55f4797b8-rv7xf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-55f4797b8-rv7xf,istio-proxy,4,91
default,memcached-profile-us-west-1-86ccf79dfd-6hqmk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-86ccf79dfd-6hqmk,istio-proxy,4,90
default,memcached-profile-us-west-1-86ccf79dfd-w6562,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-86ccf79dfd-w6562,istio-proxy,5,93
default,memcached-rate-us-central-1-9c69b5d7d-92h9w,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-9c69b5d7d-92h9w,istio-proxy,3,92
default,memcached-rate-us-central-1-9c69b5d7d-bdlwt,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-9c69b5d7d-bdlwt,istio-proxy,4,92
default,memcached-rate-us-east-1-74d587d7b9-2ndcv,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-74d587d7b9-2ndcv,istio-proxy,4,91
default,memcached-rate-us-east-1-74d587d7b9-8wx4g,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-74d587d7b9-8wx4g,istio-proxy,4,90
default,memcached-rate-us-south-1-56d5fb6ff5-4gzvj,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-56d5fb6ff5-4gzvj,istio-proxy,4,92
default,memcached-rate-us-south-1-56d5fb6ff5-7fg82,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-56d5fb6ff5-7fg82,istio-proxy,4,91
default,memcached-rate-us-west-1-788c969fb9-ct8gs,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-788c969fb9-ct8gs,istio-proxy,5,91
default,memcached-rate-us-west-1-788c969fb9-z6bc4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-788c969fb9-z6bc4,istio-proxy,4,93
default,memcached-reserve-us-central-1-d8b4c988c-d4j9q,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-d8b4c988c-d4j9q,istio-proxy,4,91
default,memcached-reserve-us-central-1-d8b4c988c-t5qw2,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-d8b4c988c-t5qw2,istio-proxy,4,91
default,memcached-reserve-us-east-1-c788f9dfc-ddrkh,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-c788f9dfc-ddrkh,istio-proxy,4,93
default,memcached-reserve-us-east-1-c788f9dfc-zd9tr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-c788f9dfc-zd9tr,istio-proxy,4,94
default,memcached-reserve-us-south-1-8579f4c794-j4pj6,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-8579f4c794-j4pj6,istio-proxy,4,91
default,memcached-reserve-us-south-1-8579f4c794-nnwp6,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-8579f4c794-nnwp6,istio-proxy,4,91
