Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-59c5cb664-sp6p7,consul,12,34
default,consul-59c5cb664-sp6p7,istio-proxy,9,93
default,frontend-us-central-1-6c9d7f6f5f-5w522,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6c9d7f6f5f-5w522,istio-proxy,6,93
default,frontend-us-central-1-6c9d7f6f5f-bvdlj,hotel-reserv-frontend,0,4
default,frontend-us-central-1-6c9d7f6f5f-bvdlj,istio-proxy,6,90
default,frontend-us-east-1-6d6956c597-mrr8f,hotel-reserv-frontend,0,4
default,frontend-us-east-1-6d6956c597-mrr8f,istio-proxy,6,93
default,frontend-us-east-1-6d6956c597-tqx5q,hotel-reserv-frontend,0,4
default,frontend-us-east-1-6d6956c597-tqx5q,istio-proxy,6,92
default,frontend-us-south-1-5fc4d5f79d-czdx5,hotel-reserv-frontend,0,4
default,frontend-us-south-1-5fc4d5f79d-czdx5,istio-proxy,7,92
default,frontend-us-south-1-5fc4d5f79d-xkm2g,hotel-reserv-frontend,0,4
default,frontend-us-south-1-5fc4d5f79d-xkm2g,istio-proxy,6,93
default,frontend-us-west-1-8498bc4c5d-4n68g,hotel-reserv-frontend,0,4
default,frontend-us-west-1-8498bc4c5d-4n68g,istio-proxy,6,94
default,frontend-us-west-1-8498bc4c5d-z99fm,hotel-reserv-frontend,0,4
default,frontend-us-west-1-8498bc4c5d-z99fm,istio-proxy,7,93
default,geo-us-central-1-76f66c7f65-kf9xg,hotel-reserv-geo,0,10
default,geo-us-central-1-76f66c7f65-kf9xg,istio-proxy,6,93
default,geo-us-central-1-76f66c7f65-t68nc,hotel-reserv-geo,0,9
default,geo-us-central-1-76f66c7f65-t68nc,istio-proxy,6,93
default,geo-us-east-1-89fcbc469-hbmg2,hotel-reserv-geo,0,6
default,geo-us-east-1-89fcbc469-hbmg2,istio-proxy,8,93
default,geo-us-east-1-89fcbc469-qbmdw,hotel-reserv-geo,0,6
default,geo-us-east-1-89fcbc469-qbmdw,istio-proxy,6,91
default,geo-us-south-1-769b85dcdb-5454q,hotel-reserv-geo,0,10
default,geo-us-south-1-769b85dcdb-5454q,istio-proxy,5,92
default,geo-us-south-1-769b85dcdb-67hfs,hotel-reserv-geo,0,9
default,geo-us-south-1-769b85dcdb-67hfs,istio-proxy,6,93
default,geo-us-west-1-7d9858476d-c5zlw,hotel-reserv-geo,0,6
default,geo-us-west-1-7d9858476d-c5zlw,istio-proxy,5,91
default,geo-us-west-1-7d9858476d-c6fmv,hotel-reserv-geo,0,7
default,geo-us-west-1-7d9858476d-c6fmv,istio-proxy,5,93
default,jaeger-6855fc9c56-55k69,hotel-reserv-jaeger,0,10
default,jaeger-6855fc9c56-55k69,istio-proxy,4,95
default,memcached-profile-us-central-1-f67d8b6bf-bcmld,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f67d8b6bf-bcmld,istio-proxy,7,92
default,memcached-profile-us-central-1-f67d8b6bf-mf7rf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f67d8b6bf-mf7rf,istio-proxy,6,92
default,memcached-profile-us-east-1-5b7cddcdb9-j27wb,hotel-reserv-profile-mmc,0,1
