Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-9496468b7-6r88f,consul,9,34
default,consul-9496468b7-6r88f,istio-proxy,3,95
default,frontend-us-central-1-d9b54bcd8-8zzdr,hotel-reserv-frontend,141,8
default,frontend-us-central-1-d9b54bcd8-8zzdr,istio-proxy,4,93
default,frontend-us-central-1-d9b54bcd8-c6w5l,hotel-reserv-frontend,106,7
default,frontend-us-central-1-d9b54bcd8-c6w5l,istio-proxy,399,95
default,frontend-us-east-1-7bd8794cc6-lktxt,hotel-reserv-frontend,203,8
default,frontend-us-east-1-7bd8794cc6-lktxt,istio-proxy,313,93
default,frontend-us-east-1-7bd8794cc6-m7vsq,hotel-reserv-frontend,96,8
default,frontend-us-east-1-7bd8794cc6-m7vsq,istio-proxy,160,93
default,frontend-us-south-1-6b498bfcc6-lsc4s,hotel-reserv-frontend,185,8
default,frontend-us-south-1-6b498bfcc6-lsc4s,istio-proxy,336,96
default,frontend-us-south-1-6b498bfcc6-nj85v,hotel-reserv-frontend,72,7
default,frontend-us-south-1-6b498bfcc6-nj85v,istio-proxy,321,95
default,frontend-us-west-1-789f7797ff-2mq8k,hotel-reserv-frontend,326,28
default,frontend-us-west-1-789f7797ff-2mq8k,istio-proxy,2491,134
default,frontend-us-west-1-789f7797ff-9v6v7,hotel-reserv-frontend,424,28
default,frontend-us-west-1-789f7797ff-9v6v7,istio-proxy,2208,135
default,geo-us-central-1-b4fc97d58-hn26f,hotel-reserv-geo,19,8
default,geo-us-central-1-b4fc97d58-hn26f,istio-proxy,34,94
default,geo-us-central-1-b4fc97d58-qn5tv,hotel-reserv-geo,6,8
default,geo-us-central-1-b4fc97d58-qn5tv,istio-proxy,18,93
default,geo-us-east-1-fd745867b-2lwmx,hotel-reserv-geo,22,8
default,geo-us-east-1-fd745867b-2lwmx,istio-proxy,55,91
default,geo-us-east-1-fd745867b-vpbsm,hotel-reserv-geo,10,8
default,geo-us-east-1-fd745867b-vpbsm,istio-proxy,53,92
default,geo-us-south-1-797f76c5b6-6gzvj,hotel-reserv-geo,24,8
default,geo-us-south-1-797f76c5b6-6gzvj,istio-proxy,36,96
default,geo-us-south-1-797f76c5b6-lq7hg,hotel-reserv-geo,6,7
default,geo-us-south-1-797f76c5b6-lq7hg,istio-proxy,21,92
default,geo-us-west-1-64494b4cb8-8cbzt,hotel-reserv-geo,87,10
default,geo-us-west-1-64494b4cb8-8cbzt,istio-proxy,163,93
default,geo-us-west-1-64494b4cb8-j898n,hotel-reserv-geo,106,11
default,geo-us-west-1-64494b4cb8-j898n,istio-proxy,149,93
default,jaeger-659995d6df-p9b6q,hotel-reserv-jaeger,152,159
default,jaeger-659995d6df-p9b6q,istio-proxy,3,92
default,memcached-profile-us-central-1-d4cbcd666-6nmqr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-d4cbcd666-6nmqr,istio-proxy,4,90
default,memcached-profile-us-central-1-d4cbcd666-fsmc6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-d4cbcd666-fsmc6,istio-proxy,4,92
default,memcached-profile-us-east-1-8448f47dd4-c9f99,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-8448f47dd4-c9f99,istio-proxy,4,93
default,memcached-profile-us-east-1-8448f47dd4-cn8mf,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-8448f47dd4-cn8mf,istio-proxy,4,91
default,memcached-profile-us-south-1-6f55c44cc8-9nxt8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6f55c44cc8-9nxt8,istio-proxy,4,92
default,memcached-profile-us-south-1-6f55c44cc8-kvp2r,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-6f55c44cc8-kvp2r,istio-proxy,4,89
default,memcached-profile-us-west-1-5456489988-pbq8r,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5456489988-pbq8r,istio-proxy,5,93
default,memcached-profile-us-west-1-5456489988-vjrpv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5456489988-vjrpv,istio-proxy,4,91
default,memcached-rate-us-central-1-667744745f-fkpxh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-667744745f-fkpxh,istio-proxy,4,91
default,memcached-rate-us-central-1-667744745f-xqbjm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-667744745f-xqbjm,istio-proxy,4,92
default,memcached-rate-us-east-1-6b7cc77489-cwvxb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6b7cc77489-cwvxb,istio-proxy,3,94
default,memcached-rate-us-east-1-6b7cc77489-wptb6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-6b7cc77489-wptb6,istio-proxy,4,93
default,memcached-rate-us-south-1-55d8c59647-j7fxr,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-55d8c59647-j7fxr,istio-proxy,4,94
default,memcached-rate-us-south-1-55d8c59647-z74rl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-55d8c59647-z74rl,istio-proxy,3,94
default,memcached-rate-us-west-1-77d9dbd77c-ch786,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-77d9dbd77c-ch786,istio-proxy,5,91
default,memcached-rate-us-west-1-77d9dbd77c-fxkxh,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-77d9dbd77c-fxkxh,istio-proxy,4,92
default,memcached-reserve-us-central-1-774fcd58dd-l7n8z,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-774fcd58dd-l7n8z,istio-proxy,4,92
default,memcached-reserve-us-central-1-774fcd58dd-xrfzp,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-774fcd58dd-xrfzp,istio-proxy,4,93
default,memcached-reserve-us-east-1-698f66c6f6-fgbsn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-698f66c6f6-fgbsn,istio-proxy,4,91
default,memcached-reserve-us-east-1-698f66c6f6-kgs4z,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-698f66c6f6-kgs4z,istio-proxy,4,93
default,memcached-reserve-us-south-1-5d6b75b548-w2d8p,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5d6b75b548-w2d8p,istio-proxy,3,95
default,memcached-reserve-us-south-1-5d6b75b548-wbsqj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-5d6b75b548-wbsqj,istio-proxy,4,90
default,memcached-reserve-us-west-1-6478b4c76d-28vbd,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6478b4c76d-28vbd,istio-proxy,4,94
default,memcached-reserve-us-west-1-6478b4c76d-h8kdm,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-6478b4c76d-h8kdm,istio-proxy,4,93
default,mongodb-geo-us-central-1-577b7c7b85-xsnhf,hotel-reserv-geo-mongo,3,161
default,mongodb-geo-us-central-1-577b7c7b85-xsnhf,istio-proxy,4,92
default,mongodb-geo-us-east-1-85885c6fb7-htqnj,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-85885c6fb7-htqnj,istio-proxy,4,91
default,mongodb-geo-us-south-1-6cb8596d69-v8q4r,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-south-1-6cb8596d69-v8q4r,istio-proxy,4,92
default,mongodb-geo-us-west-1-6b665f6cc9-qghdv,hotel-reserv-geo-mongo,5,161
default,mongodb-geo-us-west-1-6b665f6cc9-qghdv,istio-proxy,5,91
default,mongodb-profile-us-central-1-6c6d77cbdb-fxdqc,hotel-reserv-profile-mongo,29,162
default,mongodb-profile-us-central-1-6c6d77cbdb-fxdqc,istio-proxy,45,94
