Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-76588c898f-dg9b5,consul,13,37
default,consul-76588c898f-dg9b5,istio-proxy,3,97
default,frontend-us-central-1-75bdb7c45d-cf757,hotel-reserv-frontend,195,8
default,frontend-us-central-1-75bdb7c45d-cf757,istio-proxy,486,94
default,frontend-us-central-1-75bdb7c45d-fgk2s,hotel-reserv-frontend,198,8
default,frontend-us-central-1-75bdb7c45d-fgk2s,istio-proxy,493,95
default,frontend-us-east-1-84c79bb5f4-m82td,hotel-reserv-frontend,197,8
default,frontend-us-east-1-84c79bb5f4-m82td,istio-proxy,424,94
default,frontend-us-east-1-84c79bb5f4-n5g9j,hotel-reserv-frontend,182,8
default,frontend-us-east-1-84c79bb5f4-n5g9j,istio-proxy,471,95
default,frontend-us-south-1-8546667f74-clxmz,hotel-reserv-frontend,196,8
default,frontend-us-south-1-8546667f74-clxmz,istio-proxy,484,93
default,frontend-us-south-1-8546667f74-kg6g8,hotel-reserv-frontend,197,8
default,frontend-us-south-1-8546667f74-kg6g8,istio-proxy,475,96
default,frontend-us-west-1-6b9b4f66c7-j44sw,hotel-reserv-frontend,662,32
default,frontend-us-west-1-6b9b4f66c7-j44sw,istio-proxy,2572,145
default,frontend-us-west-1-6b9b4f66c7-spvw7,hotel-reserv-frontend,511,34
default,frontend-us-west-1-6b9b4f66c7-spvw7,istio-proxy,1894,142
default,geo-us-central-1-5699fcfbd4-rsspv,hotel-reserv-geo,26,8
default,geo-us-central-1-5699fcfbd4-rsspv,istio-proxy,52,94
default,geo-us-central-1-5699fcfbd4-wh2gz,hotel-reserv-geo,28,8
default,geo-us-central-1-5699fcfbd4-wh2gz,istio-proxy,54,93
default,geo-us-east-1-599c6d69db-gs7ml,hotel-reserv-geo,29,8
default,geo-us-east-1-599c6d69db-gs7ml,istio-proxy,55,92
default,geo-us-east-1-599c6d69db-swjlf,hotel-reserv-geo,27,8
default,geo-us-east-1-599c6d69db-swjlf,istio-proxy,55,93
default,geo-us-south-1-7b6457ff7b-fftnj,hotel-reserv-geo,27,8
default,geo-us-south-1-7b6457ff7b-fftnj,istio-proxy,49,95
default,geo-us-south-1-7b6457ff7b-kwn7w,hotel-reserv-geo,27,8
default,geo-us-south-1-7b6457ff7b-kwn7w,istio-proxy,55,94
default,geo-us-west-1-86cc958895-vknhm,hotel-reserv-geo,192,16
default,geo-us-west-1-86cc958895-vknhm,istio-proxy,363,96
