Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-76588c898f-dg9b5,consul,11,34
default,consul-76588c898f-dg9b5,istio-proxy,8,97
default,frontend-us-central-1-75bdb7c45d-cf757,hotel-reserv-frontend,0,4
default,frontend-us-central-1-75bdb7c45d-cf757,istio-proxy,9,92
default,frontend-us-central-1-75bdb7c45d-fgk2s,hotel-reserv-frontend,0,4
default,frontend-us-central-1-75bdb7c45d-fgk2s,istio-proxy,7,93
default,frontend-us-east-1-84c79bb5f4-m82td,hotel-reserv-frontend,0,4
default,frontend-us-east-1-84c79bb5f4-m82td,istio-proxy,4,92
default,frontend-us-east-1-84c79bb5f4-n5g9j,hotel-reserv-frontend,0,4
default,frontend-us-east-1-84c79bb5f4-n5g9j,istio-proxy,4,92
default,frontend-us-south-1-8546667f74-clxmz,hotel-reserv-frontend,0,4
default,frontend-us-south-1-8546667f74-clxmz,istio-proxy,8,91
default,frontend-us-south-1-8546667f74-kg6g8,hotel-reserv-frontend,0,3
default,frontend-us-south-1-8546667f74-kg6g8,istio-proxy,5,94
default,frontend-us-west-1-6b9b4f66c7-j44sw,hotel-reserv-frontend,0,4
default,frontend-us-west-1-6b9b4f66c7-j44sw,istio-proxy,5,91
default,frontend-us-west-1-6b9b4f66c7-spvw7,hotel-reserv-frontend,0,12
default,frontend-us-west-1-6b9b4f66c7-spvw7,istio-proxy,5,109
default,geo-us-central-1-5699fcfbd4-rsspv,hotel-reserv-geo,0,9
default,geo-us-central-1-5699fcfbd4-rsspv,istio-proxy,4,93
default,geo-us-central-1-5699fcfbd4-wh2gz,hotel-reserv-geo,0,9
default,geo-us-central-1-5699fcfbd4-wh2gz,istio-proxy,5,92
default,geo-us-east-1-599c6d69db-gs7ml,hotel-reserv-geo,0,10
default,geo-us-east-1-599c6d69db-gs7ml,istio-proxy,6,91
default,geo-us-east-1-599c6d69db-swjlf,hotel-reserv-geo,0,10
default,geo-us-east-1-599c6d69db-swjlf,istio-proxy,6,92
default,geo-us-south-1-7b6457ff7b-fftnj,hotel-reserv-geo,0,10
default,geo-us-south-1-7b6457ff7b-fftnj,istio-proxy,9,94
default,geo-us-south-1-7b6457ff7b-kwn7w,hotel-reserv-geo,0,10
default,geo-us-south-1-7b6457ff7b-kwn7w,istio-proxy,4,93
default,geo-us-west-1-86cc958895-vknhm,hotel-reserv-geo,0,6
default,geo-us-west-1-86cc958895-vknhm,istio-proxy,4,92
default,geo-us-west-1-86cc958895-wrssj,hotel-reserv-geo,0,10
default,geo-us-west-1-86cc958895-wrssj,istio-proxy,6,92
default,jaeger-659ddcfd79-lpztw,hotel-reserv-jaeger,0,10
default,jaeger-659ddcfd79-lpztw,istio-proxy,7,94
default,memcached-profile-us-central-1-f44bc5d4d-grwf9,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f44bc5d4d-grwf9,istio-proxy,4,92
default,memcached-profile-us-central-1-f44bc5d4d-zq7pb,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-f44bc5d4d-zq7pb,istio-proxy,7,91
default,memcached-profile-us-east-1-6dd9864bb9-56jln,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6dd9864bb9-56jln,istio-proxy,5,92
default,memcached-profile-us-east-1-6dd9864bb9-8ngcm,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-6dd9864bb9-8ngcm,istio-proxy,5,93
default,memcached-profile-us-south-1-844c558bd5-b2fwq,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-844c558bd5-b2fwq,istio-proxy,5,93
default,memcached-profile-us-south-1-844c558bd5-pmpfk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-844c558bd5-pmpfk,istio-proxy,7,95
default,memcached-profile-us-west-1-d97b674b5-ptdx6,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-d97b674b5-ptdx6,istio-proxy,4,94
default,memcached-profile-us-west-1-d97b674b5-qbjmz,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-d97b674b5-qbjmz,istio-proxy,4,91
default,memcached-rate-us-central-1-75b8b9fddf-7nhhm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-75b8b9fddf-7nhhm,istio-proxy,4,91
default,memcached-rate-us-central-1-75b8b9fddf-z5c6z,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-75b8b9fddf-z5c6z,istio-proxy,8,94
default,memcached-rate-us-east-1-776d44bdf5-4rlb4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-776d44bdf5-4rlb4,istio-proxy,4,93
default,memcached-rate-us-east-1-776d44bdf5-67q7s,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-776d44bdf5-67q7s,istio-proxy,4,94
default,memcached-rate-us-south-1-8fd74b584-8bpkw,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-8fd74b584-8bpkw,istio-proxy,5,92
default,memcached-rate-us-south-1-8fd74b584-cj2ks,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-8fd74b584-cj2ks,istio-proxy,4,91
default,memcached-rate-us-west-1-77cb65bbfb-2tj95,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-77cb65bbfb-2tj95,istio-proxy,7,92
default,memcached-rate-us-west-1-77cb65bbfb-4kktg,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-77cb65bbfb-4kktg,istio-proxy,5,93
default,memcached-reserve-us-central-1-c89d9457d-k2tq4,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c89d9457d-k2tq4,istio-proxy,10,93
default,memcached-reserve-us-central-1-c89d9457d-s9g8c,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-c89d9457d-s9g8c,istio-proxy,5,92
default,memcached-reserve-us-east-1-68bb8fb87d-47gm8,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-68bb8fb87d-47gm8,istio-proxy,5,92
default,memcached-reserve-us-east-1-68bb8fb87d-hhz7t,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-68bb8fb87d-hhz7t,istio-proxy,5,94
default,memcached-reserve-us-south-1-79d55994b6-4npwp,hotel-reserv-reservation-mmc,0,1
