counter,region,service,endpoint,rps
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,108
1,us-east-1,user,user@POST@/user.User/CheckUser,213
1,us-east-1,frontend,frontend@POST@/user,110
1,us-east-1,frontend,frontend@GET@/recommendations,106
1,us-east-1,frontend,frontend@POST@/reservation,113
1,us-east-1,frontend,frontend@GET@/hotels,113
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,117
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,109
1,us-east-1,search,search@POST@/search.Search/Nearby,111
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,214
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,105
1,us-east-1,slateingress,slateingress@GET@/recommendations,112
1,us-east-1,slateingress,slateingress@POST@/user,115
1,us-east-1,slateingress,slateingress@POST@/reservation,112
1,us-east-1,slateingress,slateingress@GET@/hotels,112
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,106
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,59
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,106
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,86
1,us-south-1,search,search@POST@/search.Search/Nearby,49
1,us-south-1,frontend,frontend@POST@/user,66
1,us-south-1,frontend,frontend@GET@/hotels,27
1,us-south-1,frontend,frontend@GET@/recommendations,57
1,us-south-1,frontend,frontend@POST@/reservation,43
1,us-south-1,user,user@POST@/user.User/CheckUser,152
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,75
1,us-south-1,slateingress,slateingress@POST@/user,73
1,us-south-1,slateingress,slateingress@GET@/recommendations,60
1,us-south-1,slateingress,slateingress@GET@/hotels,32
1,us-south-1,slateingress,slateingress@POST@/reservation,52
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,68
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,131
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,197
1,us-central-1,slateingress,slateingress@GET@/recommendations,111
1,us-central-1,slateingress,slateingress@POST@/reservation,114
1,us-central-1,slateingress,slateingress@POST@/user,107
1,us-central-1,slateingress,slateingress@GET@/hotels,108
1,us-central-1,frontend,frontend@POST@/user,110
1,us-central-1,frontend,frontend@GET@/recommendations,105
1,us-central-1,frontend,frontend@POST@/reservation,109
1,us-central-1,frontend,frontend@GET@/hotels,92
1,us-central-1,user,user@POST@/user.User/CheckUser,209
1,us-central-1,search,search@POST@/search.Search/Nearby,115
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,113
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,101
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,121
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,112
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,98
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,435
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,631
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,165
1,us-west-1,slateingress,slateingress@POST@/user,187
1,us-west-1,slateingress,slateingress@GET@/recommendations,176
1,us-west-1,slateingress,slateingress@POST@/reservation,435
1,us-west-1,slateingress,slateingress@GET@/hotels,641
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,588
