Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-56958c99c8-n7zkf,consul,13,34
default,consul-56958c99c8-n7zkf,istio-proxy,3,94
default,frontend-us-central-1-75cd9948cc-4l4m5,hotel-reserv-frontend,68,8
default,frontend-us-central-1-75cd9948cc-4l4m5,istio-proxy,504,93
default,frontend-us-central-1-75cd9948cc-pf5zq,hotel-reserv-frontend,118,8
default,frontend-us-central-1-75cd9948cc-pf5zq,istio-proxy,278,94
default,frontend-us-east-1-86c8575c54-6nr2b,hotel-reserv-frontend,147,8
default,frontend-us-east-1-86c8575c54-6nr2b,istio-proxy,939,95
default,frontend-us-east-1-86c8575c54-tcfth,hotel-reserv-frontend,260,8
default,frontend-us-east-1-86c8575c54-tcfth,istio-proxy,973,92
default,frontend-us-south-1-6c45dd58fd-578hp,hotel-reserv-frontend,89,8
default,frontend-us-south-1-6c45dd58fd-578hp,istio-proxy,127,93
default,frontend-us-south-1-6c45dd58fd-j4ktw,hotel-reserv-frontend,90,8
default,frontend-us-south-1-6c45dd58fd-j4ktw,istio-proxy,272,92
default,frontend-us-west-1-8b9d5f886-cxfwv,hotel-reserv-frontend,24,18
default,frontend-us-west-1-8b9d5f886-cxfwv,istio-proxy,1546,153
default,frontend-us-west-1-8b9d5f886-j22h6,hotel-reserv-frontend,0,3
default,frontend-us-west-1-8b9d5f886-j22h6,istio-proxy,978,146
default,geo-us-central-1-944dc6fbd-297kh,hotel-reserv-geo,5,7
default,geo-us-central-1-944dc6fbd-297kh,istio-proxy,40,90
default,geo-us-central-1-944dc6fbd-6blgm,hotel-reserv-geo,8,7
default,geo-us-central-1-944dc6fbd-6blgm,istio-proxy,28,93
default,geo-us-east-1-7dbf549b5d-5c424,hotel-reserv-geo,42,8
default,geo-us-east-1-7dbf549b5d-5c424,istio-proxy,75,93
default,geo-us-east-1-7dbf549b5d-9xzxd,hotel-reserv-geo,45,8
default,geo-us-east-1-7dbf549b5d-9xzxd,istio-proxy,62,94
default,geo-us-south-1-7fc76fc476-k9djd,hotel-reserv-geo,0,10
default,geo-us-south-1-7fc76fc476-k9djd,istio-proxy,34,91
default,geo-us-south-1-7fc76fc476-km8vq,hotel-reserv-geo,0,10
default,geo-us-south-1-7fc76fc476-km8vq,istio-proxy,27,93
default,geo-us-west-1-6b99cc7fcd-pppfn,hotel-reserv-geo,149,17
default,geo-us-west-1-6b99cc7fcd-pppfn,istio-proxy,119,95
default,geo-us-west-1-6b99cc7fcd-prtdn,hotel-reserv-geo,73,13
default,geo-us-west-1-6b99cc7fcd-prtdn,istio-proxy,253,93
default,jaeger-59966b948b-m24h7,hotel-reserv-jaeger,164,118
default,jaeger-59966b948b-m24h7,istio-proxy,3,95
default,memcached-profile-us-central-1-7fdcddfc6d-g8cs8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7fdcddfc6d-g8cs8,istio-proxy,4,94
default,memcached-profile-us-central-1-7fdcddfc6d-vg42n,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7fdcddfc6d-vg42n,istio-proxy,4,91
default,memcached-profile-us-east-1-85748444b-jhfmg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-85748444b-jhfmg,istio-proxy,6,92
default,memcached-profile-us-east-1-85748444b-nkhq8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-85748444b-nkhq8,istio-proxy,7,92
default,memcached-profile-us-south-1-7f9cbffbcb-6qdnw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7f9cbffbcb-6qdnw,istio-proxy,4,91
default,memcached-profile-us-south-1-7f9cbffbcb-f7gjd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7f9cbffbcb-f7gjd,istio-proxy,4,93
default,memcached-profile-us-west-1-5bc5789bf8-4jp5q,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5bc5789bf8-4jp5q,istio-proxy,5,91
default,memcached-profile-us-west-1-5bc5789bf8-7wrlx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5bc5789bf8-7wrlx,istio-proxy,5,94
default,memcached-rate-us-central-1-b56f8f4db-4skn2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-b56f8f4db-4skn2,istio-proxy,4,93
default,memcached-rate-us-central-1-b56f8f4db-ptr5b,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-b56f8f4db-ptr5b,istio-proxy,4,93
default,memcached-rate-us-east-1-5557bf5d4b-btfmk,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-5557bf5d4b-btfmk,istio-proxy,7,92
