Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-56958c99c8-n7zkf,consul,10,34
default,consul-56958c99c8-n7zkf,istio-proxy,3,94
default,frontend-us-central-1-75cd9948cc-4l4m5,hotel-reserv-frontend,196,8
default,frontend-us-central-1-75cd9948cc-4l4m5,istio-proxy,504,93
default,frontend-us-central-1-75cd9948cc-pf5zq,hotel-reserv-frontend,192,8
default,frontend-us-central-1-75cd9948cc-pf5zq,istio-proxy,487,95
default,frontend-us-east-1-86c8575c54-6nr2b,hotel-reserv-frontend,388,8
default,frontend-us-east-1-86c8575c54-6nr2b,istio-proxy,939,95
default,frontend-us-east-1-86c8575c54-tcfth,hotel-reserv-frontend,391,8
default,frontend-us-east-1-86c8575c54-tcfth,istio-proxy,948,92
default,frontend-us-south-1-6c45dd58fd-578hp,hotel-reserv-frontend,192,9
default,frontend-us-south-1-6c45dd58fd-578hp,istio-proxy,481,93
default,frontend-us-south-1-6c45dd58fd-j4ktw,hotel-reserv-frontend,194,8
default,frontend-us-south-1-6c45dd58fd-j4ktw,istio-proxy,486,94
default,frontend-us-west-1-8b9d5f886-cxfwv,hotel-reserv-frontend,513,41
default,frontend-us-west-1-8b9d5f886-cxfwv,istio-proxy,1919,158
default,frontend-us-west-1-8b9d5f886-j22h6,hotel-reserv-frontend,553,41
default,frontend-us-west-1-8b9d5f886-j22h6,istio-proxy,2013,159
default,geo-us-central-1-944dc6fbd-297kh,hotel-reserv-geo,27,8
default,geo-us-central-1-944dc6fbd-297kh,istio-proxy,52,90
default,geo-us-central-1-944dc6fbd-6blgm,hotel-reserv-geo,27,8
default,geo-us-central-1-944dc6fbd-6blgm,istio-proxy,54,93
default,geo-us-east-1-7dbf549b5d-5c424,hotel-reserv-geo,53,8
default,geo-us-east-1-7dbf549b5d-5c424,istio-proxy,103,93
default,geo-us-east-1-7dbf549b5d-9xzxd,hotel-reserv-geo,52,8
default,geo-us-east-1-7dbf549b5d-9xzxd,istio-proxy,103,94
default,geo-us-south-1-7fc76fc476-k9djd,hotel-reserv-geo,28,8
default,geo-us-south-1-7fc76fc476-k9djd,istio-proxy,53,91
default,geo-us-south-1-7fc76fc476-km8vq,hotel-reserv-geo,25,7
default,geo-us-south-1-7fc76fc476-km8vq,istio-proxy,27,93
default,geo-us-west-1-6b99cc7fcd-pppfn,hotel-reserv-geo,149,17
default,geo-us-west-1-6b99cc7fcd-pppfn,istio-proxy,336,95
default,geo-us-west-1-6b99cc7fcd-prtdn,hotel-reserv-geo,163,18
default,geo-us-west-1-6b99cc7fcd-prtdn,istio-proxy,343,94
default,jaeger-59966b948b-m24h7,hotel-reserv-jaeger,254,239
default,jaeger-59966b948b-m24h7,istio-proxy,3,95
default,memcached-profile-us-central-1-7fdcddfc6d-g8cs8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7fdcddfc6d-g8cs8,istio-proxy,4,94
default,memcached-profile-us-central-1-7fdcddfc6d-vg42n,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-7fdcddfc6d-vg42n,istio-proxy,4,91
default,memcached-profile-us-east-1-85748444b-jhfmg,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-85748444b-jhfmg,istio-proxy,7,92
default,memcached-profile-us-east-1-85748444b-nkhq8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-85748444b-nkhq8,istio-proxy,7,92
default,memcached-profile-us-south-1-7f9cbffbcb-6qdnw,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7f9cbffbcb-6qdnw,istio-proxy,3,91
default,memcached-profile-us-south-1-7f9cbffbcb-f7gjd,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7f9cbffbcb-f7gjd,istio-proxy,4,93
default,memcached-profile-us-west-1-5bc5789bf8-4jp5q,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5bc5789bf8-4jp5q,istio-proxy,5,91
default,memcached-profile-us-west-1-5bc5789bf8-7wrlx,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-5bc5789bf8-7wrlx,istio-proxy,5,94
default,memcached-rate-us-central-1-b56f8f4db-4skn2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-b56f8f4db-4skn2,istio-proxy,4,93
default,memcached-rate-us-central-1-b56f8f4db-ptr5b,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-b56f8f4db-ptr5b,istio-proxy,3,93
default,memcached-rate-us-east-1-5557bf5d4b-btfmk,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-5557bf5d4b-btfmk,istio-proxy,6,92
default,memcached-rate-us-east-1-5557bf5d4b-dwtw2,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-5557bf5d4b-dwtw2,istio-proxy,8,91
default,memcached-rate-us-south-1-6c8665cb98-cxj7j,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6c8665cb98-cxj7j,istio-proxy,4,92
default,memcached-rate-us-south-1-6c8665cb98-nvwrl,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6c8665cb98-nvwrl,istio-proxy,4,91
default,memcached-rate-us-west-1-b874f86-2vrxb,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-b874f86-2vrxb,istio-proxy,5,91
default,memcached-rate-us-west-1-b874f86-mmm2t,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-b874f86-mmm2t,istio-proxy,5,91
default,memcached-reserve-us-central-1-56997f7cb-d5kp4,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-56997f7cb-d5kp4,istio-proxy,3,90
default,memcached-reserve-us-central-1-56997f7cb-z27w9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-56997f7cb-z27w9,istio-proxy,4,92
default,memcached-reserve-us-east-1-59f449f669-bhwxf,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-59f449f669-bhwxf,istio-proxy,6,92
default,memcached-reserve-us-east-1-59f449f669-hnzpj,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-59f449f669-hnzpj,istio-proxy,7,93
default,memcached-reserve-us-south-1-97b675f99-j66bv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-97b675f99-j66bv,istio-proxy,3,93
default,memcached-reserve-us-south-1-97b675f99-rztbl,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-97b675f99-rztbl,istio-proxy,4,91
default,memcached-reserve-us-west-1-7c6c46bc69-76dnr,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7c6c46bc69-76dnr,istio-proxy,5,94
default,memcached-reserve-us-west-1-7c6c46bc69-qprg5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-7c6c46bc69-qprg5,istio-proxy,5,93
default,mongodb-geo-us-central-1-77fff6dfd6-4rhx5,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-central-1-77fff6dfd6-4rhx5,istio-proxy,4,92
default,mongodb-geo-us-east-1-945bc8f9-jn6qg,hotel-reserv-geo-mongo,7,161
default,mongodb-geo-us-east-1-945bc8f9-jn6qg,istio-proxy,7,93
default,mongodb-geo-us-south-1-798c757dbf-xzj42,hotel-reserv-geo-mongo,4,163
default,mongodb-geo-us-south-1-798c757dbf-xzj42,istio-proxy,4,92
