Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7658bf4f99-77tp9,consul,10,33
default,consul-7658bf4f99-77tp9,istio-proxy,3,92
default,frontend-us-central-1-7c4866574d-52xf9,hotel-reserv-frontend,708,9
default,frontend-us-central-1-7c4866574d-52xf9,istio-proxy,1260,97
default,frontend-us-central-1-7c4866574d-6vkp2,hotel-reserv-frontend,667,9
default,frontend-us-central-1-7c4866574d-6vkp2,istio-proxy,1532,99
default,frontend-us-east-1-9c4455f44-l8xnc,hotel-reserv-frontend,662,42
default,frontend-us-east-1-9c4455f44-l8xnc,istio-proxy,1601,185
default,frontend-us-east-1-9c4455f44-x4sp7,hotel-reserv-frontend,745,38
default,frontend-us-east-1-9c4455f44-x4sp7,istio-proxy,2635,158
default,frontend-us-south-1-6dd79f95d8-h8x6s,hotel-reserv-frontend,413,8
default,frontend-us-south-1-6dd79f95d8-h8x6s,istio-proxy,1112,98
default,frontend-us-south-1-6dd79f95d8-p4ttt,hotel-reserv-frontend,451,9
default,frontend-us-south-1-6dd79f95d8-p4ttt,istio-proxy,1115,97
default,frontend-us-west-1-7c9476875c-g6qqb,hotel-reserv-frontend,456,20
default,frontend-us-west-1-7c9476875c-g6qqb,istio-proxy,2051,119
default,frontend-us-west-1-7c9476875c-xx9nv,hotel-reserv-frontend,522,19
default,frontend-us-west-1-7c9476875c-xx9nv,istio-proxy,2050,121
default,geo-us-central-1-d6bb8464d-qstgb,hotel-reserv-geo,32,8
default,geo-us-central-1-d6bb8464d-qstgb,istio-proxy,64,92
default,geo-us-central-1-d6bb8464d-z9zbx,hotel-reserv-geo,32,7
default,geo-us-central-1-d6bb8464d-z9zbx,istio-proxy,59,92
default,geo-us-east-1-7bc99ff4d6-mcvwg,hotel-reserv-geo,31,8
default,geo-us-east-1-7bc99ff4d6-mcvwg,istio-proxy,102,93
default,geo-us-east-1-7bc99ff4d6-whwrl,hotel-reserv-geo,42,8
default,geo-us-east-1-7bc99ff4d6-whwrl,istio-proxy,101,94
default,geo-us-south-1-b4f57f874-p2b6d,hotel-reserv-geo,30,8
default,geo-us-south-1-b4f57f874-p2b6d,istio-proxy,58,97
default,geo-us-south-1-b4f57f874-x4gmg,hotel-reserv-geo,29,8
default,geo-us-south-1-b4f57f874-x4gmg,istio-proxy,59,93
default,geo-us-west-1-78544df6fb-2vt87,hotel-reserv-geo,227,12
default,geo-us-west-1-78544df6fb-2vt87,istio-proxy,475,95
default,geo-us-west-1-78544df6fb-rb59t,hotel-reserv-geo,229,14
default,geo-us-west-1-78544df6fb-rb59t,istio-proxy,522,96
default,jaeger-5d68c47d88-pb2fl,hotel-reserv-jaeger,408,436
default,jaeger-5d68c47d88-pb2fl,istio-proxy,3,94
default,memcached-profile-us-central-1-5bd6ff7bd9-7shm8,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5bd6ff7bd9-7shm8,istio-proxy,4,90
default,memcached-profile-us-central-1-5bd6ff7bd9-vwc5n,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-5bd6ff7bd9-vwc5n,istio-proxy,4,91
