Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-7658bf4f99-77tp9,consul,10,33
default,consul-7658bf4f99-77tp9,istio-proxy,6,92
default,frontend-us-central-1-7c4866574d-52xf9,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7c4866574d-52xf9,istio-proxy,5,94
default,frontend-us-central-1-7c4866574d-6vkp2,hotel-reserv-frontend,0,4
default,frontend-us-central-1-7c4866574d-6vkp2,istio-proxy,5,93
default,frontend-us-east-1-9c4455f44-l8xnc,hotel-reserv-frontend,0,4
default,frontend-us-east-1-9c4455f44-l8xnc,istio-proxy,8,92
default,frontend-us-east-1-9c4455f44-x4sp7,hotel-reserv-frontend,0,4
default,frontend-us-east-1-9c4455f44-x4sp7,istio-proxy,8,92
default,frontend-us-south-1-6dd79f95d8-h8x6s,hotel-reserv-frontend,0,3
default,frontend-us-south-1-6dd79f95d8-h8x6s,istio-proxy,4,94
default,frontend-us-south-1-6dd79f95d8-p4ttt,hotel-reserv-frontend,0,4
default,frontend-us-south-1-6dd79f95d8-p4ttt,istio-proxy,5,93
default,frontend-us-west-1-7c9476875c-g6qqb,hotel-reserv-frontend,0,4
default,frontend-us-west-1-7c9476875c-g6qqb,istio-proxy,6,93
default,frontend-us-west-1-7c9476875c-xx9nv,hotel-reserv-frontend,0,4
default,frontend-us-west-1-7c9476875c-xx9nv,istio-proxy,5,93
default,geo-us-central-1-d6bb8464d-qstgb,hotel-reserv-geo,0,10
default,geo-us-central-1-d6bb8464d-qstgb,istio-proxy,3,92
default,geo-us-central-1-d6bb8464d-z9zbx,hotel-reserv-geo,0,9
default,geo-us-central-1-d6bb8464d-z9zbx,istio-proxy,4,92
default,geo-us-east-1-7bc99ff4d6-mcvwg,hotel-reserv-geo,0,6
default,geo-us-east-1-7bc99ff4d6-mcvwg,istio-proxy,8,92
default,geo-us-east-1-7bc99ff4d6-whwrl,hotel-reserv-geo,1,6
default,geo-us-east-1-7bc99ff4d6-whwrl,istio-proxy,9,94
default,geo-us-south-1-b4f57f874-p2b6d,hotel-reserv-geo,0,9
default,geo-us-south-1-b4f57f874-p2b6d,istio-proxy,4,96
default,geo-us-south-1-b4f57f874-x4gmg,hotel-reserv-geo,0,9
