counter,region,service,endpoint,rps
1,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,109
1,us-east-1,slateingress,slateingress@GET@/recommendations,112
1,us-east-1,slateingress,slateingress@POST@/reservation,98
1,us-east-1,slateingress,slateingress@POST@/user,116
1,us-east-1,slateingress,slateingress@GET@/hotels,113
1,us-east-1,geo,geo@POST@/geo.Geo/Nearby,110
1,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,205
1,us-east-1,rate,rate@POST@/rate.Rate/GetRates,92
1,us-east-1,search,search@POST@/search.Search/Nearby,72
1,us-east-1,user,user@POST@/user.User/CheckUser,188
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,90
1,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,97
1,us-east-1,frontend,frontend@POST@/user,114
1,us-east-1,frontend,frontend@GET@/recommendations,115
1,us-east-1,frontend,frontend@GET@/hotels,100
1,us-east-1,frontend,frontend@POST@/reservation,111
1,us-west-1,geo,geo@POST@/geo.Geo/Nearby,618
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,111
1,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,736
1,us-west-1,search,search@POST@/search.Search/Nearby,720
1,us-west-1,slateingress,slateingress@POST@/user,110
1,us-west-1,slateingress,slateingress@GET@/hotels,712
1,us-west-1,slateingress,slateingress@GET@/recommendations,107
1,us-west-1,slateingress,slateingress@POST@/reservation,103
1,us-west-1,frontend,frontend@POST@/user,108
1,us-west-1,frontend,frontend@POST@/reservation,110
1,us-west-1,frontend,frontend@GET@/hotels,669
1,us-west-1,frontend,frontend@GET@/recommendations,101
1,us-west-1,user,user@POST@/user.User/CheckUser,211
1,us-west-1,rate,rate@POST@/rate.Rate/GetRates,627
1,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,104
1,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,799
1,us-south-1,search,search@POST@/search.Search/Nearby,41
1,us-south-1,geo,geo@POST@/geo.Geo/Nearby,7
1,us-south-1,frontend,frontend@POST@/user,67
1,us-south-1,frontend,frontend@GET@/hotels,26
1,us-south-1,frontend,frontend@GET@/recommendations,47
1,us-south-1,frontend,frontend@POST@/reservation,40
1,us-south-1,slateingress,slateingress@GET@/recommendations,54
1,us-south-1,slateingress,slateingress@POST@/user,61
1,us-south-1,slateingress,slateingress@POST@/reservation,43
1,us-south-1,slateingress,slateingress@GET@/hotels,23
1,us-south-1,profile,profile@POST@/profile.Profile/GetProfiles,102
1,us-south-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,68
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,86
1,us-south-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,60
1,us-south-1,user,user@POST@/user.User/CheckUser,138
1,us-south-1,rate,rate@POST@/rate.Rate/GetRates,8
1,us-central-1,frontend,frontend@POST@/user,86
1,us-central-1,frontend,frontend@GET@/recommendations,74
1,us-central-1,frontend,frontend@POST@/reservation,66
1,us-central-1,frontend,frontend@GET@/hotels,134
1,us-central-1,search,search@POST@/search.Search/Nearby,274
1,us-central-1,geo,geo@POST@/geo.Geo/Nearby,130
1,us-central-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,57
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,66
1,us-central-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,139
1,us-central-1,user,user@POST@/user.User/CheckUser,172
1,us-central-1,slateingress,slateingress@POST@/user,94
1,us-central-1,slateingress,slateingress@GET@/recommendations,84
1,us-central-1,slateingress,slateingress@POST@/reservation,81
1,us-central-1,slateingress,slateingress@GET@/hotels,201
1,us-central-1,rate,rate@POST@/rate.Rate/GetRates,333
1,us-central-1,profile,profile@POST@/profile.Profile/GetProfiles,146
2,us-east-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,113
2,us-east-1,slateingress,slateingress@GET@/recommendations,101
2,us-east-1,slateingress,slateingress@POST@/reservation,103
2,us-east-1,slateingress,slateingress@POST@/user,95
2,us-east-1,slateingress,slateingress@GET@/hotels,107
2,us-east-1,geo,geo@POST@/geo.Geo/Nearby,102
2,us-east-1,profile,profile@POST@/profile.Profile/GetProfiles,194
2,us-east-1,rate,rate@POST@/rate.Rate/GetRates,102
2,us-east-1,search,search@POST@/search.Search/Nearby,103
2,us-east-1,user,user@POST@/user.User/CheckUser,211
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,101
2,us-east-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,107
2,us-east-1,frontend,frontend@POST@/user,101
2,us-east-1,frontend,frontend@GET@/recommendations,108
2,us-east-1,frontend,frontend@GET@/hotels,106
2,us-east-1,frontend,frontend@POST@/reservation,102
2,us-west-1,geo,geo@POST@/geo.Geo/Nearby,727
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/MakeReservation,107
2,us-west-1,reservation,reservation@POST@/reservation.Reservation/CheckAvailability,732
2,us-west-1,search,search@POST@/search.Search/Nearby,720
2,us-west-1,slateingress,slateingress@POST@/user,94
2,us-west-1,slateingress,slateingress@GET@/hotels,711
2,us-west-1,slateingress,slateingress@GET@/recommendations,108
2,us-west-1,slateingress,slateingress@POST@/reservation,122
2,us-west-1,frontend,frontend@POST@/user,110
2,us-west-1,frontend,frontend@POST@/reservation,103
2,us-west-1,frontend,frontend@GET@/hotels,718
2,us-west-1,frontend,frontend@GET@/recommendations,108
2,us-west-1,user,user@POST@/user.User/CheckUser,213
2,us-west-1,rate,rate@POST@/rate.Rate/GetRates,731
2,us-west-1,recommendation,recommendation@POST@/recommendation.Recommendation/GetRecommendations,111
2,us-west-1,profile,profile@POST@/profile.Profile/GetProfiles,824
2,us-south-1,search,search@POST@/search.Search/Nearby,87
2,us-south-1,geo,geo@POST@/geo.Geo/Nearby,114
2,us-south-1,frontend,frontend@POST@/user,109
2,us-south-1,frontend,frontend@GET@/hotels,64
2,us-south-1,frontend,frontend@GET@/recommendations,99
2,us-south-1,frontend,frontend@POST@/reservation,92
2,us-south-1,slateingress,slateingress@GET@/recommendations,93
2,us-south-1,slateingress,slateingress@POST@/user,107
2,us-south-1,slateingress,slateingress@POST@/reservation,95
2,us-south-1,slateingress,slateingress@GET@/hotels,69
