Namespace,Pod Name,Container Name,CPU Usage,Memory Usage
default,consul-64985cb856-grsqz,consul,12,36
default,consul-64985cb856-grsqz,istio-proxy,3,92
default,frontend-us-central-1-69f7bf5675-2g492,hotel-reserv-frontend,297,10
default,frontend-us-central-1-69f7bf5675-2g492,istio-proxy,884,100
default,frontend-us-central-1-69f7bf5675-4lsl6,hotel-reserv-frontend,361,11
default,frontend-us-central-1-69f7bf5675-4lsl6,istio-proxy,1102,100
default,frontend-us-east-1-549d4b89bf-7q5w2,hotel-reserv-frontend,276,8
default,frontend-us-east-1-549d4b89bf-7q5w2,istio-proxy,672,96
default,frontend-us-east-1-549d4b89bf-gr9zv,hotel-reserv-frontend,128,8
default,frontend-us-east-1-549d4b89bf-gr9zv,istio-proxy,801,96
default,frontend-us-south-1-6859b65675-gl88h,hotel-reserv-frontend,235,8
default,frontend-us-south-1-6859b65675-gl88h,istio-proxy,718,95
default,frontend-us-south-1-6859b65675-qs4qp,hotel-reserv-frontend,342,9
default,frontend-us-south-1-6859b65675-qs4qp,istio-proxy,891,95
default,frontend-us-west-1-6ff999cbcb-fjdgl,hotel-reserv-frontend,283,10
default,frontend-us-west-1-6ff999cbcb-fjdgl,istio-proxy,1211,98
default,frontend-us-west-1-6ff999cbcb-scgzh,hotel-reserv-frontend,279,10
default,frontend-us-west-1-6ff999cbcb-scgzh,istio-proxy,1124,100
default,geo-us-central-1-646c77fdb7-f6zp9,hotel-reserv-geo,118,8
default,geo-us-central-1-646c77fdb7-f6zp9,istio-proxy,213,93
default,geo-us-central-1-646c77fdb7-q8brh,hotel-reserv-geo,106,10
default,geo-us-central-1-646c77fdb7-q8brh,istio-proxy,303,93
default,geo-us-east-1-94b97858c-hk9wp,hotel-reserv-geo,31,8
default,geo-us-east-1-94b97858c-hk9wp,istio-proxy,17,94
default,geo-us-east-1-94b97858c-vst7g,hotel-reserv-geo,11,7
default,geo-us-east-1-94b97858c-vst7g,istio-proxy,108,93
default,geo-us-south-1-68447df967-6zsnm,hotel-reserv-geo,93,8
default,geo-us-south-1-68447df967-6zsnm,istio-proxy,91,92
default,geo-us-south-1-68447df967-d8k8h,hotel-reserv-geo,68,8
default,geo-us-south-1-68447df967-d8k8h,istio-proxy,12,94
default,geo-us-west-1-bd46ccf48-f68ql,hotel-reserv-geo,120,9
default,geo-us-west-1-bd46ccf48-f68ql,istio-proxy,238,94
default,geo-us-west-1-bd46ccf48-t7m6f,hotel-reserv-geo,19,9
default,geo-us-west-1-bd46ccf48-t7m6f,istio-proxy,182,93
default,jaeger-5fdbfc944-dd6bn,hotel-reserv-jaeger,329,205
default,jaeger-5fdbfc944-dd6bn,istio-proxy,4,93
default,memcached-profile-us-central-1-75c5d4767c-jmxp2,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-75c5d4767c-jmxp2,istio-proxy,4,92
default,memcached-profile-us-central-1-75c5d4767c-kp87c,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-central-1-75c5d4767c-kp87c,istio-proxy,4,93
default,memcached-profile-us-east-1-59559c464f-6jtpl,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-59559c464f-6jtpl,istio-proxy,4,91
default,memcached-profile-us-east-1-59559c464f-glbzr,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-east-1-59559c464f-glbzr,istio-proxy,4,94
default,memcached-profile-us-south-1-7568b5c4b9-pmgjv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7568b5c4b9-pmgjv,istio-proxy,4,93
default,memcached-profile-us-south-1-7568b5c4b9-sdcnk,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-south-1-7568b5c4b9-sdcnk,istio-proxy,4,91
default,memcached-profile-us-west-1-69566596b8-6smkv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69566596b8-6smkv,istio-proxy,5,94
default,memcached-profile-us-west-1-69566596b8-9hpsv,hotel-reserv-profile-mmc,0,1
default,memcached-profile-us-west-1-69566596b8-9hpsv,istio-proxy,4,93
default,memcached-rate-us-central-1-7885dc6cdd-2lwsm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7885dc6cdd-2lwsm,istio-proxy,4,91
default,memcached-rate-us-central-1-7885dc6cdd-jt5tm,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-central-1-7885dc6cdd-jt5tm,istio-proxy,4,94
default,memcached-rate-us-east-1-688984ff84-gdbr9,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-688984ff84-gdbr9,istio-proxy,4,92
default,memcached-rate-us-east-1-688984ff84-wv9w6,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-east-1-688984ff84-wv9w6,istio-proxy,4,91
default,memcached-rate-us-south-1-6b849f8bfb-gwr8x,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6b849f8bfb-gwr8x,istio-proxy,3,93
default,memcached-rate-us-south-1-6b849f8bfb-rtqjc,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-south-1-6b849f8bfb-rtqjc,istio-proxy,4,92
default,memcached-rate-us-west-1-6648c7fbbd-khn8f,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6648c7fbbd-khn8f,istio-proxy,4,91
default,memcached-rate-us-west-1-6648c7fbbd-wmkj4,hotel-reserv-rate-mmc,0,1
default,memcached-rate-us-west-1-6648c7fbbd-wmkj4,istio-proxy,4,93
default,memcached-reserve-us-central-1-d6db69c9-66gcn,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-d6db69c9-66gcn,istio-proxy,4,92
default,memcached-reserve-us-central-1-d6db69c9-kbh7z,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-central-1-d6db69c9-kbh7z,istio-proxy,4,91
default,memcached-reserve-us-east-1-67764798df-5wnjw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-67764798df-5wnjw,istio-proxy,4,91
default,memcached-reserve-us-east-1-67764798df-tbrhv,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-east-1-67764798df-tbrhv,istio-proxy,4,91
default,memcached-reserve-us-south-1-cffc78487-hghqw,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-cffc78487-hghqw,istio-proxy,4,92
default,memcached-reserve-us-south-1-cffc78487-wwnb5,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-south-1-cffc78487-wwnb5,istio-proxy,4,92
default,memcached-reserve-us-west-1-68d564fd49-6s5b9,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-68d564fd49-6s5b9,istio-proxy,4,94
default,memcached-reserve-us-west-1-68d564fd49-zkgrt,hotel-reserv-reservation-mmc,0,1
default,memcached-reserve-us-west-1-68d564fd49-zkgrt,istio-proxy,4,94
default,mongodb-geo-us-central-1-774d6f779f-bbczk,hotel-reserv-geo-mongo,4,157
default,mongodb-geo-us-central-1-774d6f779f-bbczk,istio-proxy,4,93
default,mongodb-geo-us-east-1-b6b49cc97-69vqh,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-east-1-b6b49cc97-69vqh,istio-proxy,5,91
default,mongodb-geo-us-south-1-59bcb55b47-m6svs,hotel-reserv-geo-mongo,4,157
default,mongodb-geo-us-south-1-59bcb55b47-m6svs,istio-proxy,5,92
default,mongodb-geo-us-west-1-56576f9969-hm7dc,hotel-reserv-geo-mongo,4,161
default,mongodb-geo-us-west-1-56576f9969-hm7dc,istio-proxy,4,91
default,mongodb-profile-us-central-1-7c6d977c85-22rq2,hotel-reserv-profile-mongo,45,163
default,mongodb-profile-us-central-1-7c6d977c85-22rq2,istio-proxy,46,94
default,mongodb-profile-us-east-1-6bb8747978-946kk,hotel-reserv-profile-mongo,57,162
default,mongodb-profile-us-east-1-6bb8747978-946kk,istio-proxy,45,91
default,mongodb-profile-us-south-1-5f98f57d-fpg8v,hotel-reserv-profile-mongo,87,164
default,mongodb-profile-us-south-1-5f98f57d-fpg8v,istio-proxy,48,93
default,mongodb-profile-us-west-1-fcdf577cc-pqqdh,hotel-reserv-profile-mongo,88,163
default,mongodb-profile-us-west-1-fcdf577cc-pqqdh,istio-proxy,44,91
default,mongodb-rate-us-central-1-7bccc759bd-hb5hg,hotel-reserv-rate-mongo,912,165
default,mongodb-rate-us-central-1-7bccc759bd-hb5hg,istio-proxy,96,91
default,mongodb-rate-us-east-1-645c44d994-7vd6z,hotel-reserv-rate-mongo,314,161
default,mongodb-rate-us-east-1-645c44d994-7vd6z,istio-proxy,48,95
default,mongodb-rate-us-south-1-bb88bb4d8-l4p8z,hotel-reserv-rate-mongo,224,160
default,mongodb-rate-us-south-1-bb88bb4d8-l4p8z,istio-proxy,42,91
default,mongodb-rate-us-west-1-7f879c898b-pnr5v,hotel-reserv-rate-mongo,996,164
default,mongodb-rate-us-west-1-7f879c898b-pnr5v,istio-proxy,83,92
default,mongodb-recommendation-us-central-1-6f56f755c4-7pq72,hotel-reserv-recommendation-mongo,4,158
default,mongodb-recommendation-us-central-1-6f56f755c4-7pq72,istio-proxy,5,92
default,mongodb-recommendation-us-east-1-7d6b674594-x8v4w,hotel-reserv-recommendation-mongo,5,167
default,mongodb-recommendation-us-east-1-7d6b674594-x8v4w,istio-proxy,4,92
default,mongodb-recommendation-us-south-1-5db75d8d58-ttkp4,hotel-reserv-recommendation-mongo,4,157
default,mongodb-recommendation-us-south-1-5db75d8d58-ttkp4,istio-proxy,4,92
default,mongodb-recommendation-us-west-1-6685fbdd6-v887g,hotel-reserv-recommendation-mongo,4,166
default,mongodb-recommendation-us-west-1-6685fbdd6-v887g,istio-proxy,4,91
default,mongodb-reservation-us-central-1-64f995b94d-2qvhn,hotel-reserv-reservation-mongo,4,162
default,mongodb-reservation-us-central-1-64f995b94d-2qvhn,istio-proxy,4,90
default,mongodb-reservation-us-east-1-96fb58b99-5p2zr,hotel-reserv-reservation-mongo,4,157
default,mongodb-reservation-us-east-1-96fb58b99-5p2zr,istio-proxy,5,91
default,mongodb-reservation-us-south-1-759f8d748f-gld22,hotel-reserv-reservation-mongo,4,157
default,mongodb-reservation-us-south-1-759f8d748f-gld22,istio-proxy,4,94
default,mongodb-reservation-us-west-1-58f858cc67-jfswp,hotel-reserv-reservation-mongo,4,157
default,mongodb-reservation-us-west-1-58f858cc67-jfswp,istio-proxy,5,93
default,mongodb-user-us-central-1-757597788f-mcrfj,hotel-reserv-user-mongo,4,194
default,mongodb-user-us-central-1-757597788f-mcrfj,istio-proxy,5,92
default,mongodb-user-us-east-1-bcc797447-nqqhc,hotel-reserv-user-mongo,3,196
default,mongodb-user-us-east-1-bcc797447-nqqhc,istio-proxy,4,91
default,mongodb-user-us-south-1-fbb5c5d77-t2hcv,hotel-reserv-user-mongo,4,157
default,mongodb-user-us-south-1-fbb5c5d77-t2hcv,istio-proxy,4,94
default,mongodb-user-us-west-1-6cd488575-g9lxp,hotel-reserv-user-mongo,4,196
default,mongodb-user-us-west-1-6cd488575-g9lxp,istio-proxy,4,92
default,profile-us-central-1-848cf7cdbf-rrr6s,hotel-reserv-profile,215,11
default,profile-us-central-1-848cf7cdbf-rrr6s,istio-proxy,293,94
default,profile-us-central-1-848cf7cdbf-s62s6,hotel-reserv-profile,216,11
default,profile-us-central-1-848cf7cdbf-s62s6,istio-proxy,329,96
default,profile-us-east-1-58b5f6756-k49nh,hotel-reserv-profile,20,7
default,profile-us-east-1-58b5f6756-k49nh,istio-proxy,193,95
default,profile-us-east-1-58b5f6756-lfm9n,hotel-reserv-profile,114,9
default,profile-us-east-1-58b5f6756-lfm9n,istio-proxy,189,92
default,profile-us-south-1-95f467d66-4x8kh,hotel-reserv-profile,204,9
default,profile-us-south-1-95f467d66-4x8kh,istio-proxy,232,90
default,profile-us-south-1-95f467d66-787zf,hotel-reserv-profile,203,9
default,profile-us-south-1-95f467d66-787zf,istio-proxy,186,91
default,profile-us-west-1-75bcd8bdb8-trsbv,hotel-reserv-profile,129,10
default,profile-us-west-1-75bcd8bdb8-trsbv,istio-proxy,305,94
default,profile-us-west-1-75bcd8bdb8-x57wm,hotel-reserv-profile,192,10
default,profile-us-west-1-75bcd8bdb8-x57wm,istio-proxy,234,95
default,rate-us-central-1-59ffbc8fdb-459f8,hotel-reserv-rate,114,10
default,rate-us-central-1-59ffbc8fdb-459f8,istio-proxy,238,92
default,rate-us-central-1-59ffbc8fdb-j5m64,hotel-reserv-rate,361,11
default,rate-us-central-1-59ffbc8fdb-j5m64,istio-proxy,373,94
default,rate-us-east-1-7b6ff97674-h4m9t,hotel-reserv-rate,190,9
default,rate-us-east-1-7b6ff97674-h4m9t,istio-proxy,160,97
default,rate-us-east-1-7b6ff97674-khlnl,hotel-reserv-rate,170,8
default,rate-us-east-1-7b6ff97674-khlnl,istio-proxy,206,93
default,rate-us-south-1-79b57f5d95-fcn5k,hotel-reserv-rate,9,7
default,rate-us-south-1-79b57f5d95-fcn5k,istio-proxy,230,94
default,rate-us-south-1-79b57f5d95-jf4gv,hotel-reserv-rate,319,9
default,rate-us-south-1-79b57f5d95-jf4gv,istio-proxy,181,94
default,rate-us-west-1-5cf9594cb9-cxc2t,hotel-reserv-rate,344,12
default,rate-us-west-1-5cf9594cb9-cxc2t,istio-proxy,190,93
default,rate-us-west-1-5cf9594cb9-j2w9z,hotel-reserv-rate,339,10
default,rate-us-west-1-5cf9594cb9-j2w9z,istio-proxy,294,91
default,recommendation-us-central-1-7d9fbd55b5-596g9,hotel-reserv-recommendation,24,7
default,recommendation-us-central-1-7d9fbd55b5-596g9,istio-proxy,66,92
default,recommendation-us-central-1-7d9fbd55b5-gn699,hotel-reserv-recommendation,25,8
default,recommendation-us-central-1-7d9fbd55b5-gn699,istio-proxy,62,94
default,recommendation-us-east-1-795cfb9777-kkxjx,hotel-reserv-recommendation,25,8
default,recommendation-us-east-1-795cfb9777-kkxjx,istio-proxy,60,92
default,recommendation-us-east-1-795cfb9777-xn5c4,hotel-reserv-recommendation,30,8
